Year,Territorio,Comarca,Municipio,Units,GeoCode,Value
2022,,,,PER_10000,,39.9
2020,,,,PER_10000,,33.9
2019,,,,PER_10000,,36.5
2021,,,,PER_10000,,34.3
2023,,,,PER_10000,,42.8
2023,,,ES48001,PER_10000,ES48001,20.5
2020,,,ES48001,PER_10000,ES48001,18.2
2022,,,ES48001,PER_10000,ES48001,23.3
2021,,,ES48001,PER_10000,ES48001,31.0
2019,,,ES48001,PER_10000,ES48001,28.6
2021,,,ES20001,PER_10000,ES20001,0.0
2019,,,ES20001,PER_10000,ES20001,0.0
2020,,,ES20001,PER_10000,ES20001,68.7
2023,,,ES20001,PER_10000,ES20001,0.0
2022,,,ES20001,PER_10000,ES20001,0.0
2022,,,ES48002,PER_10000,ES48002,52.4
2023,,,ES48002,PER_10000,ES48002,55.2
2020,,,ES48002,PER_10000,ES48002,49.7
2021,,,ES48002,PER_10000,ES48002,52.2
2019,,,ES48002,PER_10000,ES48002,32.9
2023,,,ES20002,PER_10000,ES20002,0.0
2019,,,ES20002,PER_10000,ES20002,0.0
2022,,,ES20002,PER_10000,ES20002,0.0
2021,,,ES20002,PER_10000,ES20002,0.0
2020,,,ES20002,PER_10000,ES20002,136.1
2021,,,ES01051,PER_10000,ES01051,18.8
2020,,,ES01051,PER_10000,ES01051,49.1
2022,,,ES01051,PER_10000,ES01051,30.6
2019,,,ES01051,PER_10000,ES01051,22.7
2023,,,ES01051,PER_10000,ES01051,58.1
2023,,,ES20016,PER_10000,ES20016,20.1
2022,,,ES20016,PER_10000,ES20016,0.0
2019,,,ES20016,PER_10000,ES20016,31.8
2021,,,ES20016,PER_10000,ES20016,0.0
2020,,,ES20016,PER_10000,ES20016,32.0
2023,,,ES20003,PER_10000,ES20003,0.0
2022,,,ES20003,PER_10000,ES20003,0.0
2020,,,ES20003,PER_10000,ES20003,0.0
2019,,,ES20003,PER_10000,ES20003,0.0
2021,,,ES20003,PER_10000,ES20003,26.5
2022,,,ES48911,PER_10000,ES48911,0.0
2019,,,ES48911,PER_10000,ES48911,0.0
2020,,,ES48911,PER_10000,ES48911,0.0
2021,,,ES48911,PER_10000,ES48911,0.0
2023,,,ES48911,PER_10000,ES48911,0.0
2022,,,ES20004,PER_10000,ES20004,0.0
2021,,,ES20004,PER_10000,ES20004,0.0
2019,,,ES20004,PER_10000,ES20004,0.0
2023,,,ES20004,PER_10000,ES20004,67.1
2020,,,ES20004,PER_10000,ES20004,0.0
2023,,,ES20005,PER_10000,ES20005,34.9
2019,,,ES20005,PER_10000,ES20005,47.2
2022,,,ES20005,PER_10000,ES20005,23.0
2020,,,ES20005,PER_10000,ES20005,23.7
2021,,,ES20005,PER_10000,ES20005,23.4
2022,,,ES01001,PER_10000,ES01001,52.7
2019,,,ES01001,PER_10000,ES01001,26.9
2023,,,ES01001,PER_10000,ES01001,25.8
2021,,,ES01001,PER_10000,ES01001,33.1
2020,,,ES01001,PER_10000,ES01001,40.0
2023,,,ES20006,PER_10000,ES20006,0.0
2022,,,ES20006,PER_10000,ES20006,0.0
2019,,,ES20006,PER_10000,ES20006,0.0
2021,,,ES20006,PER_10000,ES20006,0.0
2020,,,ES20006,PER_10000,ES20006,0.0
2021,,,ES48912,PER_10000,ES48912,60.6
2020,,,ES48912,PER_10000,ES48912,20.1
2023,,,ES48912,PER_10000,ES48912,19.8
2022,,,ES48912,PER_10000,ES48912,26.8
2019,,,ES48912,PER_10000,ES48912,53.7
2019,,,ES20906,PER_10000,ES20906,0.0
2021,,,ES20906,PER_10000,ES20906,0.0
2020,,,ES20906,PER_10000,ES20906,0.0
2022,,,ES20906,PER_10000,ES20906,0.0
2023,,,ES20906,PER_10000,ES20906,0.0
2023,,,ES20007,PER_10000,ES20007,0.0
2020,,,ES20007,PER_10000,ES20007,0.0
2022,,,ES20007,PER_10000,ES20007,0.0
2021,,,ES20007,PER_10000,ES20007,0.0
2019,,,ES20007,PER_10000,ES20007,0.0
2019,,,ES20008,PER_10000,ES20008,0.0
2021,,,ES20008,PER_10000,ES20008,22.9
2022,,,ES20008,PER_10000,ES20008,0.0
2020,,,ES20008,PER_10000,ES20008,23.1
2023,,,ES20008,PER_10000,ES20008,0.0
2020,,,ES48003,PER_10000,ES48003,26.2
2023,,,ES48003,PER_10000,ES48003,33.7
2022,,,ES48003,PER_10000,ES48003,41.2
2021,,,ES48003,PER_10000,ES48003,26.0
2019,,,ES48003,PER_10000,ES48003,26.4
2023,,,ES48004,PER_10000,ES48004,0.0
2022,,,ES48004,PER_10000,ES48004,0.0
2020,,,ES48004,PER_10000,ES48004,0.0
2019,,,ES48004,PER_10000,ES48004,48.2
2021,,,ES48004,PER_10000,ES48004,0.0
2020,,,ES01002,PER_10000,ES01002,30.4
2021,,,ES01002,PER_10000,ES01002,17.1
2022,,,ES01002,PER_10000,ES01002,32.3
2019,,,ES01002,PER_10000,ES01002,26.7
2023,,,ES01002,PER_10000,ES01002,36.1
2020,,,ES20009,PER_10000,ES20009,32.0
2023,,,ES20009,PER_10000,ES20009,39.2
2022,,,ES20009,PER_10000,ES20009,44.1
2019,,,ES20009,PER_10000,ES20009,30.7
2021,,,ES20009,PER_10000,ES20009,25.4
2019,,,ES20010,PER_10000,ES20010,10.5
2022,,,ES20010,PER_10000,ES20010,20.0
2020,,,ES20010,PER_10000,ES20010,31.1
2021,,,ES20010,PER_10000,ES20010,30.7
2023,,,ES20010,PER_10000,ES20010,9.7
2021,,,ES20011,PER_10000,ES20011,18.2
2020,,,ES20011,PER_10000,ES20011,18.0
2019,,,ES20011,PER_10000,ES20011,36.1
2023,,,ES20011,PER_10000,ES20011,18.6
2022,,,ES20011,PER_10000,ES20011,9.2
2021,,,ES01049,PER_10000,ES01049,0.0
2019,,,ES01049,PER_10000,ES01049,0.0
2023,,,ES01049,PER_10000,ES01049,0.0
2020,,,ES01049,PER_10000,ES01049,0.0
2022,,,ES01049,PER_10000,ES01049,0.0
2022,,,ES48005,PER_10000,ES48005,0.0
2020,,,ES48005,PER_10000,ES48005,0.0
2019,,,ES48005,PER_10000,ES48005,0.0
2023,,,ES48005,PER_10000,ES48005,0.0
2021,,,ES48005,PER_10000,ES48005,0.0
2023,,,ES20012,PER_10000,ES20012,0.0
2021,,,ES20012,PER_10000,ES20012,0.0
2020,,,ES20012,PER_10000,ES20012,0.0
2022,,,ES20012,PER_10000,ES20012,0.0
2019,,,ES20012,PER_10000,ES20012,0.0
2020,,,ES01003,PER_10000,ES01003,0.0
2022,,,ES01003,PER_10000,ES01003,0.0
2019,,,ES01003,PER_10000,ES01003,0.0
2021,,,ES01003,PER_10000,ES01003,13.9
2023,,,ES01003,PER_10000,ES01003,14.3
2023,,,ES48006,PER_10000,ES48006,151.5
2021,,,ES48006,PER_10000,ES48006,53.9
2022,,,ES48006,PER_10000,ES48006,0.0
2020,,,ES48006,PER_10000,ES48006,0.0
2019,,,ES48006,PER_10000,ES48006,167.1
2023,,,ES48093,PER_10000,ES48093,62.5
2019,,,ES48093,PER_10000,ES48093,64.2
2021,,,ES48093,PER_10000,ES48093,32.0
2022,,,ES48093,PER_10000,ES48093,31.1
2020,,,ES48093,PER_10000,ES48093,64.1
2021,,,ES20013,PER_10000,ES20013,17.1
2019,,,ES20013,PER_10000,ES20013,5.8
2022,,,ES20013,PER_10000,ES20013,25.5
2020,,,ES20013,PER_10000,ES20013,14.4
2023,,,ES20013,PER_10000,ES20013,16.9
2019,,,ES01006,PER_10000,ES01006,0.0
2021,,,ES01006,PER_10000,ES01006,0.0
2023,,,ES01006,PER_10000,ES01006,94.3
2020,,,ES01006,PER_10000,ES01006,0.0
2022,,,ES01006,PER_10000,ES01006,0.0
2022,,,ES01037,PER_10000,ES01037,0.0
2021,,,ES01037,PER_10000,ES01037,62.1
2019,,,ES01037,PER_10000,ES01037,31.5
2020,,,ES01037,PER_10000,ES01037,31.1
2023,,,ES01037,PER_10000,ES01037,27.4
2019,,,ES48009,PER_10000,ES48009,19.7
2020,,,ES48009,PER_10000,ES48009,0.0
2022,,,ES48009,PER_10000,ES48009,38.8
2023,,,ES48009,PER_10000,ES48009,39.1
2021,,,ES48009,PER_10000,ES48009,39.2
