Year,Series,Gaixotasun ez-transmitigarria,Sexua,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2019,Heriotza-tasa 100.000 biztanleko,,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,737.7
2022,Heriotza-tasa 100.000 biztanleko,,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,537.5
2011,Heriotza-tasa 100.000 biztanleko,,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,625.7
2018,Heriotza-tasa 100.000 biztanleko,,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,745.2
2014,Heriotza-tasa 100.000 biztanleko,,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,703.6
2012,Heriotza-tasa 100.000 biztanleko,,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,716.4
2021,Heriotza-tasa 100.000 biztanleko,,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,512.4
2020,Heriotza-tasa 100.000 biztanleko,,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,560.7
2015,Heriotza-tasa 100.000 biztanleko,,,,,Abanto y Ciérvana-Abanto Zierbena,100.000 biztanleko,Abanto y Ciérvana-Abanto Zierbena,999.6
2012,Heriotza-tasa 100.000 biztanleko,,,,,Aduna,100.000 biztanleko,Aduna,222.2
2022,Heriotza-tasa 100.000 biztanleko,,,,,Aduna,100.000 biztanleko,Aduna,611.0
2024,Heriotza-tasa 100.000 biztanleko,,,,,Aduna,100.000 biztanleko,Aduna,403.2
2016,Heriotza-tasa 100.000 biztanleko,,,,,Aduna,100.000 biztanleko,Aduna,211.4
2023,Heriotza-tasa 100.000 biztanleko,,,,,Aduna,100.000 biztanleko,Aduna,402.4
2020,Heriotza-tasa 100.000 biztanleko,,,,,Aduna,100.000 biztanleko,Aduna,1040.6
2017,Heriotza-tasa 100.000 biztanleko,,,,,Aduna,100.000 biztanleko,Aduna,1040.6
2011,Heriotza-tasa 100.000 biztanleko,,,,,Aduna,100.000 biztanleko,Aduna,223.7
2013,Heriotza-tasa 100.000 biztanleko,,,,,Aduna,100.000 biztanleko,Aduna,217.4
2015,Heriotza-tasa 100.000 biztanleko,,,,,Aduna,100.000 biztanleko,Aduna,215.1
2018,Heriotza-tasa 100.000 biztanleko,,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,455.6
2012,Heriotza-tasa 100.000 biztanleko,,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,394.1
2021,Heriotza-tasa 100.000 biztanleko,,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,401.9
2015,Heriotza-tasa 100.000 biztanleko,,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,467.8
2023,Heriotza-tasa 100.000 biztanleko,,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,606.9
2019,Heriotza-tasa 100.000 biztanleko,,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,638.6
2014,Heriotza-tasa 100.000 biztanleko,,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,373.8
2022,Heriotza-tasa 100.000 biztanleko,,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,458.5
2020,Heriotza-tasa 100.000 biztanleko,,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,435.3
2013,Heriotza-tasa 100.000 biztanleko,,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,452.7
2010,Heriotza-tasa 100.000 biztanleko,,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,816.1
2017,Heriotza-tasa 100.000 biztanleko,,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,610.3
2024,Heriotza-tasa 100.000 biztanleko,,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,506.7
2011,Heriotza-tasa 100.000 biztanleko,,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,602.2
2016,Heriotza-tasa 100.000 biztanleko,,,,,Agurain / Salvatierra,100.000 biztanleko,Agurain / Salvatierra,519.2
2019,Heriotza-tasa 100.000 biztanleko,,,,,Aia,100.000 biztanleko,Aia,652.8
