Year,Units,Value
2010,IX,-17.19
2011,IX,-25.9
2012,IX,-21.64
2013,IX,-28.59
2014,IX,-29.31
2015,IX,-27.84
2016,IX,-28.02
2017,IX,-25.72
2018,IX,-26.89
2019,IX,-23.06
2020,IX,-32.28
2021,IX,-26.48
2022,IX,-20.65
