Year,Series,Units,Value
2011,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,573.0
2014,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,870.0
2017,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,1081.0
2020,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,1259.46
2010,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,422.54
2022,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,1464.9
2015,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,944.0
2016,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,993.0
2021,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,1406.46
2018,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,1157.0
2012,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,660.0
2019,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,1215.46
2013,Superficie de suelo recuperado para nuevos usos (acumulado),Hectáreas,783.0
2010,Porcentaje de suelo recuperado para nuevos usos (acumulado),Porcentaje,5.01
2011,Porcentaje de suelo recuperado para nuevos usos (acumulado),Porcentaje,6.47
2012,Porcentaje de suelo recuperado para nuevos usos (acumulado),Porcentaje,7.15
2013,Porcentaje de suelo recuperado para nuevos usos (acumulado),Porcentaje,8.35
2014,Porcentaje de suelo recuperado para nuevos usos (acumulado),Porcentaje,9.24
2015,Porcentaje de suelo recuperado para nuevos usos (acumulado),Porcentaje,10.0
2016,Porcentaje de suelo recuperado para nuevos usos (acumulado),Porcentaje,10.91
2017,Porcentaje de suelo recuperado para nuevos usos (acumulado),Porcentaje,11.37
2018,Porcentaje de suelo recuperado para nuevos usos (acumulado),Porcentaje,12.61
2019,Porcentaje de suelo recuperado para nuevos usos (acumulado),Porcentaje,13.19
2020,Porcentaje de suelo recuperado para nuevos usos (acumulado),Porcentaje,13.99
2021,Porcentaje de suelo recuperado para nuevos usos (acumulado),Porcentaje,14.58
2022,Porcentaje de suelo recuperado para nuevos usos (acumulado),Porcentaje,16.07
