Year,Series,Sexo,Territorio,Units,Value
2018,EU_SDG_11_52_PER_100000,M,ES213,PER_100000,47.0
2017,EU_SDG_11_52_PER_100000,M,ES213,PER_100000,35.9
2021,EU_SDG_11_52_PER_100000,M,ES213,PER_100000,38.0
2015,EU_SDG_11_52_PER_100000,M,ES213,PER_100000,46.1
2020,EU_SDG_11_52_PER_100000,M,ES213,PER_100000,37.0
2022,EU_SDG_11_52_PER_100000,M,ES213,PER_100000,44.2
2023,EU_SDG_11_52_PER_100000,M,ES213,PER_100000,35.2
2019,EU_SDG_11_52_PER_100000,M,ES213,PER_100000,36.9
2023,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,20.4
2021,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,23.3
2016,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,19.0
2020,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,21.5
2015,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,32.3
2017,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,21.1
2018,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,36.2
2019,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,26.2
2022,EU_SDG_11_52_PER_100000,M,ES212,PER_100000,29.7
2023,EU_SDG_11_52_NR,,,NR,569.0
2021,EU_SDG_11_52_NR,,,NR,607.0
2016,EU_SDG_11_52_NR,,,NR,560.0
2020,EU_SDG_11_52_NR,,,NR,606.0
2018,EU_SDG_11_52_NR,,,NR,836.0
2019,EU_SDG_11_52_NR,,,NR,636.0
2015,EU_SDG_11_52_NR,,,NR,821.0
2017,EU_SDG_11_52_NR,,,NR,594.0
2022,EU_SDG_11_52_NR,,,NR,750.0
2017,EU_SDG_11_52_NR,,ES211,NR,79.0
2015,EU_SDG_11_52_NR,,ES211,NR,115.0
2019,EU_SDG_11_52_NR,,ES211,NR,91.0
2020,EU_SDG_11_52_NR,,ES211,NR,90.0
2021,EU_SDG_11_52_NR,,ES211,NR,79.0
2022,EU_SDG_11_52_NR,,ES211,NR,108.0
2016,EU_SDG_11_52_NR,,ES211,NR,79.0
2018,EU_SDG_11_52_NR,,ES211,NR,119.0
2023,EU_SDG_11_52_NR,,ES211,NR,73.0
2017,EU_SDG_11_52_NR,,ES213,NR,377.0
2022,EU_SDG_11_52_NR,,ES213,NR,456.0
2020,EU_SDG_11_52_NR,,ES213,NR,381.0
2023,EU_SDG_11_52_NR,,ES213,NR,367.0
2016,EU_SDG_11_52_NR,,ES213,NR,357.0
2018,EU_SDG_11_52_NR,,ES213,NR,488.0
2015,EU_SDG_11_52_NR,,ES213,NR,494.0
2021,EU_SDG_11_52_NR,,ES213,NR,384.0
