Year,Units,Value
2015,PER_100000,3.9
2016,PER_100000,3.0
2017,PER_100000,3.3
2018,PER_100000,4.5
2019,PER_100000,5.1
2020,PER_100000,6.6
2021,PER_100000,30.9
2022,PER_100000,56.8
