Year,Profession,Employment status,Sex,Province,Units,Value
2025,,,,Bizkaia,"Per 10,000 inhabitants",191.4
2016,,,,Bizkaia,"Per 10,000 inhabitants",162.3
2022,,Not retired,,Bizkaia,"Per 10,000 inhabitants",166.4
2023,,Not retired,,Bizkaia,"Per 10,000 inhabitants",167.5
2024,,,,Bizkaia,"Per 10,000 inhabitants",187.2
2020,,Not retired,,Bizkaia,"Per 10,000 inhabitants",162.5
2024,,Retired,,Bizkaia,"Per 10,000 inhabitants",18.0
2018,,,,Bizkaia,"Per 10,000 inhabitants",168.2
2011,,Not retired,,Bizkaia,"Per 10,000 inhabitants",134.2
2018,,Retired,,Bizkaia,"Per 10,000 inhabitants",9.9
2025,,Not retired,,Bizkaia,"Per 10,000 inhabitants",171.9
2022,,Retired,,Bizkaia,"Per 10,000 inhabitants",14.6
2014,,Retired,,Bizkaia,"Per 10,000 inhabitants",6.6
2013,,Retired,,Bizkaia,"Per 10,000 inhabitants",6.3
2020,,Retired,,Bizkaia,"Per 10,000 inhabitants",13.1
2025,,Retired,,Bizkaia,"Per 10,000 inhabitants",19.5
2021,,Not retired,,Bizkaia,"Per 10,000 inhabitants",164.3
2021,,Retired,,Bizkaia,"Per 10,000 inhabitants",14.4
2015,,Retired,,Bizkaia,"Per 10,000 inhabitants",7.1
2014,,Not retired,,Bizkaia,"Per 10,000 inhabitants",148.9
2015,,Not retired,,Bizkaia,"Per 10,000 inhabitants",151.8
2011,,Retired,,Bizkaia,"Per 10,000 inhabitants",5.8
2014,,,,Bizkaia,"Per 10,000 inhabitants",156.0
2020,,,,Bizkaia,"Per 10,000 inhabitants",176.0
2013,,Not retired,,Bizkaia,"Per 10,000 inhabitants",146.5
2012,,,,Bizkaia,"Per 10,000 inhabitants",150.9
2023,,Retired,,Bizkaia,"Per 10,000 inhabitants",16.8
2021,,,,Bizkaia,"Per 10,000 inhabitants",179.2
2024,,Not retired,,Bizkaia,"Per 10,000 inhabitants",169.1
2019,,,,Bizkaia,"Per 10,000 inhabitants",170.8
2010,,,,Bizkaia,"Per 10,000 inhabitants",144.3
2017,,,,Bizkaia,"Per 10,000 inhabitants",165.0
2019,,Not retired,,Bizkaia,"Per 10,000 inhabitants",158.6
2012,,Retired,,Bizkaia,"Per 10,000 inhabitants",6.3
2016,,Not retired,,Bizkaia,"Per 10,000 inhabitants",154.0
2023,,,,Bizkaia,"Per 10,000 inhabitants",184.4
2018,,Not retired,,Bizkaia,"Per 10,000 inhabitants",157.9
2016,,Retired,,Bizkaia,"Per 10,000 inhabitants",7.9
2011,,,,Bizkaia,"Per 10,000 inhabitants",148.2
2012,,Not retired,,Bizkaia,"Per 10,000 inhabitants",144.2
2015,,,,Bizkaia,"Per 10,000 inhabitants",159.4
2019,,Retired,,Bizkaia,"Per 10,000 inhabitants",11.8
2010,,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",135.6
2023,,,,Gipuzkoa,"Per 10,000 inhabitants",194.7
2013,,Not retired,,Gipuzkoa,"Per 10,000 inhabitants",139.4
2019,,Retired,,Gipuzkoa,"Per 10,000 inhabitants",11.7
