Year,Profession,Employment status,Sex,Province,Units,Value
2023,Physician,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",65.2
2010,Physician,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",0.6
2024,Physician,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",9.9
2015,Physician,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",2.1
2023,Physician,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",9.0
2024,Physician,,Female,Araba/Álava,"Per 10,000 inhabitants",77.3
2012,Physician,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",0.6
2020,Physician,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",61.3
2013,Physician,,Female,Araba/Álava,"Per 10,000 inhabitants",59.5
2011,Physician,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",0.6
2013,Physician,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",58.8
2021,Physician,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",6.7
2022,Physician,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",64.0
2017,Physician,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",59.6
2019,Physician,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",60.0
2025,Physician,,Female,Araba/Álava,"Per 10,000 inhabitants",80.8
2020,Physician,Retired,Female,Araba/Álava,"Per 10,000 inhabitants",6.3
2014,Physician,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",59.6
2015,Physician,,Female,Araba/Álava,"Per 10,000 inhabitants",61.9
2024,Physician,Not retired,Female,Araba/Álava,"Per 10,000 inhabitants",67.5
2014,Physician,,Female,Araba/Álava,"Per 10,000 inhabitants",61.0
2021,Physician,,Female,Bizkaia,"Per 10,000 inhabitants",79.8
2024,Physician,,Female,Bizkaia,"Per 10,000 inhabitants",88.0
2014,Physician,,Female,Bizkaia,"Per 10,000 inhabitants",62.4
2019,Physician,,Female,Bizkaia,"Per 10,000 inhabitants",73.7
2024,Physician,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",76.5
2016,Physician,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",62.9
2025,Physician,Retired,Female,Bizkaia,"Per 10,000 inhabitants",13.0
2022,Physician,,Female,Bizkaia,"Per 10,000 inhabitants",82.3
2013,Physician,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",59.3
2011,Physician,,Female,Bizkaia,"Per 10,000 inhabitants",56.4
2010,Physician,,Female,Bizkaia,"Per 10,000 inhabitants",54.4
2012,Physician,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",57.4
2019,Physician,Retired,Female,Bizkaia,"Per 10,000 inhabitants",6.5
2020,Physician,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",69.6
2017,Physician,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",64.2
2015,Physician,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",61.8
2014,Physician,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",60.4
2023,Physician,,Female,Bizkaia,"Per 10,000 inhabitants",85.3
2015,Physician,,Female,Bizkaia,"Per 10,000 inhabitants",64.3
2017,Physician,,Female,Bizkaia,"Per 10,000 inhabitants",68.3
2025,Physician,,Female,Bizkaia,"Per 10,000 inhabitants",91.5
2013,Physician,Retired,Female,Bizkaia,"Per 10,000 inhabitants",1.9
2017,Physician,Retired,Female,Bizkaia,"Per 10,000 inhabitants",4.1
2012,Physician,Retired,Female,Bizkaia,"Per 10,000 inhabitants",1.8
2021,Physician,Retired,Female,Bizkaia,"Per 10,000 inhabitants",8.7
2014,Physician,Retired,Female,Bizkaia,"Per 10,000 inhabitants",2.0
2016,Physician,Retired,Female,Bizkaia,"Per 10,000 inhabitants",3.3
2018,Physician,Retired,Female,Bizkaia,"Per 10,000 inhabitants",5.0
2022,Physician,Retired,Female,Bizkaia,"Per 10,000 inhabitants",8.7
2024,Physician,Retired,Female,Bizkaia,"Per 10,000 inhabitants",11.6
2010,Physician,Retired,Female,Bizkaia,"Per 10,000 inhabitants",1.2
2011,Physician,Retired,Female,Bizkaia,"Per 10,000 inhabitants",1.5
2025,Physician,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",78.5
2020,Physician,Retired,Female,Bizkaia,"Per 10,000 inhabitants",7.5
2023,Physician,Retired,Female,Bizkaia,"Per 10,000 inhabitants",10.5
2023,Physician,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",74.8
2010,Physician,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",53.2
2018,Physician,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",65.7
2019,Physician,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",67.2
2011,Physician,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",54.9
2020,Physician,,Female,Bizkaia,"Per 10,000 inhabitants",77.1
2022,Physician,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",73.7
2015,Physician,Retired,Female,Bizkaia,"Per 10,000 inhabitants",2.5
2013,Physician,,Female,Bizkaia,"Per 10,000 inhabitants",61.1
2018,Physician,,Female,Bizkaia,"Per 10,000 inhabitants",70.7
2012,Physician,,Female,Bizkaia,"Per 10,000 inhabitants",59.2
2016,Physician,,Female,Bizkaia,"Per 10,000 inhabitants",66.2
2021,Physician,Not retired,Female,Bizkaia,"Per 10,000 inhabitants",71.1
2025,Physician,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",12.6
2011,Physician,,Female,Gipuzkoa,"Per 10,000 inhabitants",50.8
2024,Physician,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",11.3
2022,Physician,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",9.3
2020,Physician,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",6.7
2019,Physician,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",6.1
2021,Physician,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",7.8
2018,Physician,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",5.2
2017,Physician,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",4.5
2023,Physician,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",10.3
2014,Physician,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",2.8
2012,Physician,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",2.2
2011,Physician,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",1.4
2024,Physician,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",65.5
2025,Physician,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",67.3
2023,Physician,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",64.8
2021,Physician,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",62.8
2017,Physician,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",55.6
2016,Physician,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",54.4
2019,Physician,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",58.1
2018,Physician,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",56.9
2020,Physician,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",60.7
2015,Physician,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",53.9
2013,Physician,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",2.3
2015,Physician,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",3.2
2010,Physician,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",47.7
2013,Physician,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",51.8
2011,Physician,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",49.1
2012,Physician,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",50.3
2016,Physician,,Female,Gipuzkoa,"Per 10,000 inhabitants",58.1
2016,Physician,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",3.8
2022,Physician,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",63.6
2012,Physician,,Female,Gipuzkoa,"Per 10,000 inhabitants",52.4
2018,Physician,,Female,Gipuzkoa,"Per 10,000 inhabitants",62.1
2015,Physician,,Female,Gipuzkoa,"Per 10,000 inhabitants",57.1
2017,Physician,,Female,Gipuzkoa,"Per 10,000 inhabitants",60.1
2010,Physician,,Female,Gipuzkoa,"Per 10,000 inhabitants",48.9
2022,Physician,,Female,Gipuzkoa,"Per 10,000 inhabitants",72.9
2025,Physician,,Female,Gipuzkoa,"Per 10,000 inhabitants",79.9
2019,Physician,,Female,Gipuzkoa,"Per 10,000 inhabitants",64.2
2021,Physician,,Female,Gipuzkoa,"Per 10,000 inhabitants",70.6
2020,Physician,,Female,Gipuzkoa,"Per 10,000 inhabitants",67.4
2010,Physician,Retired,Female,Gipuzkoa,"Per 10,000 inhabitants",1.1
2013,Physician,,Female,Gipuzkoa,"Per 10,000 inhabitants",54.1
2023,Physician,,Female,Gipuzkoa,"Per 10,000 inhabitants",75.0
2014,Physician,,Female,Gipuzkoa,"Per 10,000 inhabitants",55.7
2014,Physician,Not retired,Female,Gipuzkoa,"Per 10,000 inhabitants",53.0
2024,Physician,,Female,Gipuzkoa,"Per 10,000 inhabitants",76.8
2016,Physician,Retired,Male,,"Per 10,000 inhabitants",10.9
2017,Physician,Not retired,Male,,"Per 10,000 inhabitants",47.1
2013,Physician,Retired,Male,,"Per 10,000 inhabitants",8.7
2011,Physician,Retired,Male,,"Per 10,000 inhabitants",7.5
2016,Physician,Not retired,Male,,"Per 10,000 inhabitants",47.8
2021,Physician,Retired,Male,,"Per 10,000 inhabitants",17.0
2022,Physician,Retired,Male,,"Per 10,000 inhabitants",17.8
2024,Physician,,Male,,"Per 10,000 inhabitants",63.1
2024,Physician,Not retired,Male,,"Per 10,000 inhabitants",42.7
2024,Physician,Retired,Male,,"Per 10,000 inhabitants",20.4
2017,Physician,,Male,,"Per 10,000 inhabitants",59.1
2022,Physician,,Male,,"Per 10,000 inhabitants",62.3
2016,Physician,,Male,,"Per 10,000 inhabitants",58.7
2019,Physician,,Male,,"Per 10,000 inhabitants",60.4
2020,Physician,Not retired,Male,,"Per 10,000 inhabitants",45.6
2015,Physician,,Male,,"Per 10,000 inhabitants",58.4
2014,Physician,Retired,Male,,"Per 10,000 inhabitants",9.3
2011,Physician,,Male,,"Per 10,000 inhabitants",56.9
2019,Physician,Not retired,Male,,"Per 10,000 inhabitants",45.8
2023,Physician,Not retired,Male,,"Per 10,000 inhabitants",43.3
2022,Physician,Not retired,Male,,"Per 10,000 inhabitants",44.6
2025,Physician,Not retired,Male,,"Per 10,000 inhabitants",42.4
2021,Physician,Not retired,Male,,"Per 10,000 inhabitants",45.0
2023,Physician,Retired,Male,,"Per 10,000 inhabitants",19.4
2018,Physician,Not retired,Male,,"Per 10,000 inhabitants",46.9
2020,Physician,Retired,Male,,"Per 10,000 inhabitants",15.8
2021,Physician,,Male,,"Per 10,000 inhabitants",62.0
2012,Physician,Retired,Male,,"Per 10,000 inhabitants",8.4
2019,Physician,Retired,Male,,"Per 10,000 inhabitants",14.6
2018,Physician,,Male,,"Per 10,000 inhabitants",59.7
2013,Physician,Not retired,Male,,"Per 10,000 inhabitants",49.2
2025,Physician,Retired,Male,,"Per 10,000 inhabitants",21.6
2010,Physician,Retired,Male,,"Per 10,000 inhabitants",7.3
2025,Physician,,Male,,"Per 10,000 inhabitants",64.0
2011,Physician,Not retired,Male,,"Per 10,000 inhabitants",49.4
2010,Physician,Not retired,Male,,"Per 10,000 inhabitants",49.2
2023,Physician,,Male,,"Per 10,000 inhabitants",62.7
2013,Physician,,Male,,"Per 10,000 inhabitants",57.9
2015,Physician,Retired,Male,,"Per 10,000 inhabitants",10.2
2012,Physician,Not retired,Male,,"Per 10,000 inhabitants",49.0
2014,Physician,Not retired,Male,,"Per 10,000 inhabitants",49.2
2014,Physician,,Male,,"Per 10,000 inhabitants",58.5
2017,Physician,Retired,Male,,"Per 10,000 inhabitants",11.9
2020,Physician,,Male,,"Per 10,000 inhabitants",61.4
2012,Physician,,Male,,"Per 10,000 inhabitants",57.4
2018,Physician,Retired,Male,,"Per 10,000 inhabitants",12.8
2015,Physician,Not retired,Male,,"Per 10,000 inhabitants",48.2
2010,Physician,,Male,,"Per 10,000 inhabitants",56.5
2017,Physician,,Male,Araba/Álava,"Per 10,000 inhabitants",54.6
2018,Physician,,Male,Araba/Álava,"Per 10,000 inhabitants",54.3
2019,Physician,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",39.9
2020,Physician,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",39.1
2018,Physician,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",40.3
2010,Physician,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",44.0
2022,Physician,,Male,Araba/Álava,"Per 10,000 inhabitants",54.7
2015,Physician,,Male,Araba/Álava,"Per 10,000 inhabitants",53.8
2025,Physician,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",19.6
2013,Physician,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",8.6
2011,Physician,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",6.7
2016,Physician,,Male,Araba/Álava,"Per 10,000 inhabitants",53.8
2011,Physician,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",45.5
2012,Physician,,Male,Araba/Álava,"Per 10,000 inhabitants",53.2
2022,Physician,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",18.2
2019,Physician,,Male,Araba/Álava,"Per 10,000 inhabitants",54.7
2011,Physician,,Male,Araba/Álava,"Per 10,000 inhabitants",52.2
2025,Physician,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",36.1
2021,Physician,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",16.4
2025,Physician,,Male,Araba/Álava,"Per 10,000 inhabitants",55.7
2019,Physician,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",14.7
2013,Physician,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",44.8
2014,Physician,,Male,Araba/Álava,"Per 10,000 inhabitants",54.0
2024,Physician,,Male,Araba/Álava,"Per 10,000 inhabitants",54.4
2023,Physician,,Male,Araba/Álava,"Per 10,000 inhabitants",54.8
2021,Physician,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",38.2
2017,Physician,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",41.4
2010,Physician,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",6.9
2015,Physician,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",43.4
2022,Physician,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",36.5
2024,Physician,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",35.8
2014,Physician,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",44.7
2023,Physician,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",35.9
2024,Physician,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",18.6
2016,Physician,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",12.0
2012,Physician,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",7.5
2016,Physician,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",41.8
2023,Physician,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",18.8
2017,Physician,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",13.2
2015,Physician,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",10.5
2018,Physician,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",13.9
2014,Physician,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",9.3
2012,Physician,Not retired,Male,Araba/Álava,"Per 10,000 inhabitants",45.7
2020,Physician,,Male,Araba/Álava,"Per 10,000 inhabitants",54.8
2021,Physician,,Male,Araba/Álava,"Per 10,000 inhabitants",54.6
2010,Physician,,Male,Araba/Álava,"Per 10,000 inhabitants",50.9
2013,Physician,,Male,Araba/Álava,"Per 10,000 inhabitants",53.4
2020,Physician,Retired,Male,Araba/Álava,"Per 10,000 inhabitants",15.7
2020,Physician,,Male,Bizkaia,"Per 10,000 inhabitants",67.6
2010,Physician,,Male,Bizkaia,"Per 10,000 inhabitants",60.2
2023,Physician,Retired,Male,Bizkaia,"Per 10,000 inhabitants",21.2
2019,Physician,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",50.4
2018,Physician,,Male,Bizkaia,"Per 10,000 inhabitants",65.3
2016,Physician,,Male,Bizkaia,"Per 10,000 inhabitants",63.4
2012,Physician,,Male,Bizkaia,"Per 10,000 inhabitants",61.1
2017,Physician,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",51.7
2011,Physician,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",52.1
2010,Physician,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",52.1
2020,Physician,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",50.5
2016,Physician,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",52.4
2012,Physician,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",51.8
2022,Physician,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",50.2
2021,Physician,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",50.3
2025,Physician,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",47.4
2015,Physician,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",52.5
2013,Physician,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",52.7
2018,Physician,Retired,Male,Bizkaia,"Per 10,000 inhabitants",13.3
2020,Physician,Retired,Male,Bizkaia,"Per 10,000 inhabitants",17.1
2013,Physician,Retired,Male,Bizkaia,"Per 10,000 inhabitants",9.2
2016,Physician,Retired,Male,Bizkaia,"Per 10,000 inhabitants",11.0
2014,Physician,Retired,Male,Bizkaia,"Per 10,000 inhabitants",9.7
2018,Physician,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",52.0
2017,Physician,Retired,Male,Bizkaia,"Per 10,000 inhabitants",12.2
2019,Physician,Retired,Male,Bizkaia,"Per 10,000 inhabitants",15.6
2024,Physician,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",48.0
2021,Physician,Retired,Male,Bizkaia,"Per 10,000 inhabitants",18.3
2022,Physician,Retired,Male,Bizkaia,"Per 10,000 inhabitants",18.9
2023,Physician,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",48.8
2014,Physician,Not retired,Male,Bizkaia,"Per 10,000 inhabitants",53.0
2015,Physician,Retired,Male,Bizkaia,"Per 10,000 inhabitants",10.3
2010,Physician,Retired,Male,Bizkaia,"Per 10,000 inhabitants",8.1
2011,Physician,Retired,Male,Bizkaia,"Per 10,000 inhabitants",8.6
2012,Physician,Retired,Male,Bizkaia,"Per 10,000 inhabitants",9.3
2019,Physician,,Male,Bizkaia,"Per 10,000 inhabitants",66.0
2015,Physician,,Male,Bizkaia,"Per 10,000 inhabitants",62.7
2025,Physician,,Male,Bizkaia,"Per 10,000 inhabitants",71.3
2014,Physician,,Male,Bizkaia,"Per 10,000 inhabitants",62.7
2011,Physician,,Male,Bizkaia,"Per 10,000 inhabitants",60.7
2024,Physician,,Male,Bizkaia,"Per 10,000 inhabitants",70.6
2025,Physician,Retired,Male,Bizkaia,"Per 10,000 inhabitants",23.9
2023,Physician,,Male,Bizkaia,"Per 10,000 inhabitants",70.1
2024,Physician,Retired,Male,Bizkaia,"Per 10,000 inhabitants",22.5
2017,Physician,,Male,Bizkaia,"Per 10,000 inhabitants",63.9
2013,Physician,,Male,Bizkaia,"Per 10,000 inhabitants",62.0
2022,Physician,,Male,Bizkaia,"Per 10,000 inhabitants",69.0
2021,Physician,,Male,Bizkaia,"Per 10,000 inhabitants",68.6
2014,Physician,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",45.1
2021,Physician,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",15.0
2019,Physician,,Male,Gipuzkoa,"Per 10,000 inhabitants",54.2
2011,Physician,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",6.0
2019,Physician,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",12.8
2012,Physician,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",7.3
2010,Physician,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",6.1
2015,Physician,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",9.8
2013,Physician,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",7.8
2024,Physician,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",17.8
2023,Physician,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",38.1
2014,Physician,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",8.7
2023,Physician,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",16.9
2022,Physician,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",15.9
2025,Physician,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",18.8
2023,Physician,,Male,Gipuzkoa,"Per 10,000 inhabitants",55.0
2016,Physician,,Male,Gipuzkoa,"Per 10,000 inhabitants",53.6
2024,Physician,,Male,Gipuzkoa,"Per 10,000 inhabitants",55.4
2012,Physician,,Male,Gipuzkoa,"Per 10,000 inhabitants",53.3
2010,Physician,,Male,Gipuzkoa,"Per 10,000 inhabitants",53.0
2014,Physician,,Male,Gipuzkoa,"Per 10,000 inhabitants",53.8
2013,Physician,,Male,Gipuzkoa,"Per 10,000 inhabitants",53.4
2022,Physician,,Male,Gipuzkoa,"Per 10,000 inhabitants",55.4
2011,Physician,,Male,Gipuzkoa,"Per 10,000 inhabitants",52.9
2020,Physician,,Male,Gipuzkoa,"Per 10,000 inhabitants",54.7
2017,Physician,,Male,Gipuzkoa,"Per 10,000 inhabitants",53.6
2021,Physician,,Male,Gipuzkoa,"Per 10,000 inhabitants",55.0
2025,Physician,,Male,Gipuzkoa,"Per 10,000 inhabitants",56.2
2018,Physician,,Male,Gipuzkoa,"Per 10,000 inhabitants",53.4
2015,Physician,,Male,Gipuzkoa,"Per 10,000 inhabitants",53.5
2011,Physician,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",46.7
2013,Physician,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",45.6
2010,Physician,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",46.9
2012,Physician,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",46.0
2017,Physician,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",42.6
2016,Physician,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",43.4
2015,Physician,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",43.7
2016,Physician,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",10.2
2020,Physician,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",13.9
2020,Physician,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",40.8
2019,Physician,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",41.4
2017,Physician,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",10.9
2025,Physician,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",37.4
2024,Physician,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",37.6
2022,Physician,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",39.5
2021,Physician,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",40.0
2018,Physician,Not retired,Male,Gipuzkoa,"Per 10,000 inhabitants",41.8
2018,Physician,Retired,Male,Gipuzkoa,"Per 10,000 inhabitants",11.6
2022,Nursing and midwifery professionals,,,,"Per 10,000 inhabitants",79.6
2023,Nursing and midwifery professionals,Not retired,,,"Per 10,000 inhabitants",80.8
2020,Nursing and midwifery professionals,Retired,,,"Per 10,000 inhabitants",0.1
2024,Nursing and midwifery professionals,Retired,,,"Per 10,000 inhabitants",6.7
2020,Nursing and midwifery professionals,,,,"Per 10,000 inhabitants",78.6
2021,Nursing and midwifery professionals,Retired,,,"Per 10,000 inhabitants",0.1
2025,Nursing and midwifery professionals,,,,"Per 10,000 inhabitants",90.5
2016,Nursing and midwifery professionals,Not retired,,,"Per 10,000 inhabitants",74.5
2016,Nursing and midwifery professionals,,,,"Per 10,000 inhabitants",74.5
2018,Nursing and midwifery professionals,,,,"Per 10,000 inhabitants",75.8
2013,Nursing and midwifery professionals,Retired,,,"Per 10,000 inhabitants",0.1
2014,Nursing and midwifery professionals,Retired,,,"Per 10,000 inhabitants",0.0
2010,Nursing and midwifery professionals,Not retired,,,"Per 10,000 inhabitants",67.9
2010,Nursing and midwifery professionals,Retired,,,"Per 10,000 inhabitants",0.1
2011,Nursing and midwifery professionals,,,,"Per 10,000 inhabitants",69.9
2015,Nursing and midwifery professionals,,,,"Per 10,000 inhabitants",73.6
2016,Nursing and midwifery professionals,Retired,,,"Per 10,000 inhabitants",0.1
2011,Nursing and midwifery professionals,Retired,,,"Per 10,000 inhabitants",0.2
2025,Nursing and midwifery professionals,Not retired,,,"Per 10,000 inhabitants",83.4
2017,Nursing and midwifery professionals,Retired,,,"Per 10,000 inhabitants",0.0
2014,Nursing and midwifery professionals,,,,"Per 10,000 inhabitants",72.1
2012,Nursing and midwifery professionals,,,,"Per 10,000 inhabitants",70.4
2022,Nursing and midwifery professionals,Retired,,,"Per 10,000 inhabitants",0.1
2019,Nursing and midwifery professionals,,,,"Per 10,000 inhabitants",76.5
2024,Nursing and midwifery professionals,Not retired,,,"Per 10,000 inhabitants",81.7
2015,Nursing and midwifery professionals,Retired,,,"Per 10,000 inhabitants",0.1
2023,Nursing and midwifery professionals,,,,"Per 10,000 inhabitants",89.2
2013,Nursing and midwifery professionals,,,,"Per 10,000 inhabitants",70.7
2018,Nursing and midwifery professionals,Retired,,,"Per 10,000 inhabitants",0.0
2021,Nursing and midwifery professionals,Not retired,,,"Per 10,000 inhabitants",79.3
2018,Nursing and midwifery professionals,Not retired,,,"Per 10,000 inhabitants",75.8
2010,Nursing and midwifery professionals,,,,"Per 10,000 inhabitants",68.0
2019,Nursing and midwifery professionals,Not retired,,,"Per 10,000 inhabitants",76.5
2023,Nursing and midwifery professionals,Retired,,,"Per 10,000 inhabitants",8.4
2017,Nursing and midwifery professionals,Not retired,,,"Per 10,000 inhabitants",75.1
2022,Nursing and midwifery professionals,Not retired,,,"Per 10,000 inhabitants",79.5
2012,Nursing and midwifery professionals,Retired,,,"Per 10,000 inhabitants",0.1
2013,Nursing and midwifery professionals,Not retired,,,"Per 10,000 inhabitants",70.7
2014,Nursing and midwifery professionals,Not retired,,,"Per 10,000 inhabitants",72.1
2012,Nursing and midwifery professionals,Not retired,,,"Per 10,000 inhabitants",70.3
2011,Nursing and midwifery professionals,Not retired,,,"Per 10,000 inhabitants",69.7
2024,Nursing and midwifery professionals,,,,"Per 10,000 inhabitants",88.5
2019,Nursing and midwifery professionals,Retired,,,"Per 10,000 inhabitants",0.0
2025,Nursing and midwifery professionals,Retired,,,"Per 10,000 inhabitants",7.1
2020,Nursing and midwifery professionals,Not retired,,,"Per 10,000 inhabitants",78.6
2021,Nursing and midwifery professionals,,,,"Per 10,000 inhabitants",79.4
2015,Nursing and midwifery professionals,Not retired,,,"Per 10,000 inhabitants",73.5
2017,Nursing and midwifery professionals,,,,"Per 10,000 inhabitants",75.2
2023,Nursing and midwifery professionals,Not retired,,Araba/Álava,"Per 10,000 inhabitants",88.5
2022,Nursing and midwifery professionals,Not retired,,Araba/Álava,"Per 10,000 inhabitants",88.0
2018,Nursing and midwifery professionals,,,Araba/Álava,"Per 10,000 inhabitants",86.8
2021,Nursing and midwifery professionals,Not retired,,Araba/Álava,"Per 10,000 inhabitants",88.1
2016,Nursing and midwifery professionals,Retired,,Araba/Álava,"Per 10,000 inhabitants",0.4
