Year,Units,Value
2007,Megajoules per constant USD PPP (GDP),2.9
2008,Megajoules per constant USD PPP (GDP),2.9
2009,Megajoules per constant USD PPP (GDP),2.8
2010,Megajoules per constant USD PPP (GDP),2.7
2011,Megajoules per constant USD PPP (GDP),2.5
2012,Megajoules per constant USD PPP (GDP),2.6
2013,Megajoules per constant USD PPP (GDP),2.5
2014,Megajoules per constant USD PPP (GDP),2.4
2015,Megajoules per constant USD PPP (GDP),2.4
2016,Megajoules per constant USD PPP (GDP),2.3
2017,Megajoules per constant USD PPP (GDP),2.3
2018,Megajoules per constant USD PPP (GDP),2.2
2019,Megajoules per constant USD PPP (GDP),2.2
2020,Megajoules per constant USD PPP (GDP),2.2
2021,Megajoules per constant USD PPP (GDP),2.2
2022,Megajoules per constant USD PPP (GDP),2.2
2023,Megajoules per constant USD PPP (GDP),1.9
