Year,Public services,Sex,Province,Units,Value
2018,,,,PT,57.4
2017,,,,PT,57.4
2019,,,,PT,57.3
2013,,,,PT,40.2
2020,,,,PT,54.1
2023,,,,PT,56.8
2022,,,,PT,51.0
2015,,,,PT,46.3
2014,,,,PT,41.2
2016,,,,PT,50.4
2011,,,,PT,47.7
2012,,,,PT,50.3
2021,,,,PT,55.1
2022,,,Araba/Álava,PT,42.7
2017,,,Araba/Álava,PT,60.5
2019,,,Araba/Álava,PT,54.8
2016,,,Araba/Álava,PT,49.6
2021,,,Araba/Álava,PT,48.2
2023,,,Araba/Álava,PT,55.7
2020,,,Araba/Álava,PT,47.3
2018,,,Araba/Álava,PT,56.0
2022,,,Bizkaia,PT,54.9
2018,,,Bizkaia,PT,55.7
2017,,,Bizkaia,PT,50.4
2020,,,Bizkaia,PT,56.9
2016,,,Bizkaia,PT,45.0
2021,,,Bizkaia,PT,57.9
2019,,,Bizkaia,PT,51.2
2023,,,Bizkaia,PT,53.1
2017,,,Gipuzkoa,PT,62.1
2019,,,Gipuzkoa,PT,61.6
2022,,,Gipuzkoa,PT,51.0
2018,,,Gipuzkoa,PT,59.8
2023,,,Gipuzkoa,PT,59.4
2021,,,Gipuzkoa,PT,54.8
2016,,,Gipuzkoa,PT,55.9
2020,,,Gipuzkoa,PT,54.9
2022,,Female,,PT,49.1
2017,,Female,,PT,57.0
2016,,Female,,PT,46.6
2021,,Female,,PT,53.1
2023,,Female,,PT,54.8
2019,,Female,,PT,54.6
2018,,Female,,PT,54.5
2020,,Female,,PT,50.2
2017,,Female,Araba/Álava,PT,56.2
2020,,Female,Araba/Álava,PT,44.6
2021,,Female,Araba/Álava,PT,32.2
2018,,Female,Araba/Álava,PT,58.0
2023,,Female,Araba/Álava,PT,56.8
2022,,Female,Araba/Álava,PT,41.2
2019,,Female,Araba/Álava,PT,52.2
2016,,Female,Araba/Álava,PT,48.0
2022,,Female,Bizkaia,PT,54.7
2019,,Female,Bizkaia,PT,45.0
2017,,Female,Bizkaia,PT,47.6
2021,,Female,Bizkaia,PT,55.5
2018,,Female,Bizkaia,PT,49.1
2016,,Female,Bizkaia,PT,36.8
2023,,Female,Bizkaia,PT,48.4
2020,,Female,Bizkaia,PT,52.2
2020,,Female,Gipuzkoa,PT,51.6
2023,,Female,Gipuzkoa,PT,58.6
2017,,Female,Gipuzkoa,PT,67.3
2022,,Female,Gipuzkoa,PT,47.6
2018,,Female,Gipuzkoa,PT,58.5
2021,,Female,Gipuzkoa,PT,54.0
2019,,Female,Gipuzkoa,PT,61.4
2016,,Female,Gipuzkoa,PT,55.2
2022,,Male,,PT,52.8
2017,,Male,,PT,57.8
2023,,Male,,PT,59.0
2021,,Male,,PT,57.5
2016,,Male,,PT,54.6
2018,,Male,,PT,59.9
2020,,Male,,PT,58.3
2019,,Male,,PT,60.3
2021,,Male,Araba/Álava,PT,57.9
2016,,Male,Araba/Álava,PT,51.1
2023,,Male,Araba/Álava,PT,55.0
2022,,Male,Araba/Álava,PT,44.4
2019,,Male,Araba/Álava,PT,56.8
2017,,Male,Araba/Álava,PT,63.9
2018,,Male,Araba/Álava,PT,53.8
2020,,Male,Araba/Álava,PT,51.1
2016,,Male,Bizkaia,PT,53.7
2022,,Male,Bizkaia,PT,55.8
2017,,Male,Bizkaia,PT,54.0
2020,,Male,Bizkaia,PT,61.0
2018,,Male,Bizkaia,PT,60.8
2023,,Male,Bizkaia,PT,60.0
2019,,Male,Bizkaia,PT,59.0
2021,,Male,Bizkaia,PT,61.3
2020,,Male,Gipuzkoa,PT,58.6
2021,,Male,Gipuzkoa,PT,55.6
2017,,Male,Gipuzkoa,PT,57.4
2022,,Male,Gipuzkoa,PT,53.7
2018,,Male,Gipuzkoa,PT,61.1
2023,,Male,Gipuzkoa,PT,60.5
2019,,Male,Gipuzkoa,PT,62.0
2016,,Male,Gipuzkoa,PT,56.9
2018,Teaching,,,PT,70.9
2013,Teaching,,,PT,45.5
2016,Teaching,,,PT,60.0
2023,Teaching,,,PT,65.3
2022,Teaching,,,PT,60.9
2020,Teaching,,,PT,56.5
2015,Teaching,,,PT,59.4
2014,Teaching,,,PT,54.0
2012,Teaching,,,PT,66.0
2019,Teaching,,,PT,72.2
2011,Teaching,,,PT,66.7
2021,Teaching,,,PT,54.4
2017,Teaching,,,PT,69.5
2020,Teaching,,Araba/Álava,PT,33.3
2017,Teaching,,Araba/Álava,PT,60.0
2018,Teaching,,Araba/Álava,PT,76.5
2021,Teaching,,Araba/Álava,PT,61.2
2016,Teaching,,Araba/Álava,PT,77.8
2023,Teaching,,Araba/Álava,PT,57.0
2019,Teaching,,Araba/Álava,PT,41.7
2022,Teaching,,Araba/Álava,PT,42.0
2019,Teaching,,Bizkaia,PT,69.0
2023,Teaching,,Bizkaia,PT,66.2
2017,Teaching,,Bizkaia,PT,72.2
2021,Teaching,,Bizkaia,PT,53.2
2018,Teaching,,Bizkaia,PT,58.3
2016,Teaching,,Bizkaia,PT,48.8
2022,Teaching,,Bizkaia,PT,63.9
2020,Teaching,,Bizkaia,PT,58.8
2017,Teaching,,Gipuzkoa,PT,72.7
2018,Teaching,,Gipuzkoa,PT,82.2
2016,Teaching,,Gipuzkoa,PT,63.6
2022,Teaching,,Gipuzkoa,PT,64.4
2019,Teaching,,Gipuzkoa,PT,80.3
2023,Teaching,,Gipuzkoa,PT,67.7
2020,Teaching,,Gipuzkoa,PT,66.0
2021,Teaching,,Gipuzkoa,PT,53.9
2022,Teaching,Female,,PT,63.0
2019,Teaching,Female,,PT,68.9
2021,Teaching,Female,,PT,59.6
2023,Teaching,Female,,PT,67.2
2018,Teaching,Female,,PT,70.4
2017,Teaching,Female,,PT,70.6
2016,Teaching,Female,,PT,51.9
2020,Teaching,Female,,PT,50.7
2021,Teaching,Female,Araba/Álava,PT,52.7
2023,Teaching,Female,Araba/Álava,PT,53.7
2018,Teaching,Female,Araba/Álava,PT,80.0
2017,Teaching,Female,Araba/Álava,PT,63.6
2019,Teaching,Female,Araba/Álava,PT,20.0
2016,Teaching,Female,Araba/Álava,PT,77.8
2020,Teaching,Female,Araba/Álava,PT,20.0
2022,Teaching,Female,Araba/Álava,PT,38.6
2016,Teaching,Female,Bizkaia,PT,42.9
2021,Teaching,Female,Bizkaia,PT,55.1
2019,Teaching,Female,Bizkaia,PT,60.9
2022,Teaching,Female,Bizkaia,PT,74.0
2023,Teaching,Female,Bizkaia,PT,70.0
2018,Teaching,Female,Bizkaia,PT,57.1
2017,Teaching,Female,Bizkaia,PT,72.2
2020,Teaching,Female,Bizkaia,PT,50.0
2018,Teaching,Female,Gipuzkoa,PT,78.3
2023,Teaching,Female,Gipuzkoa,PT,69.1
2016,Teaching,Female,Gipuzkoa,PT,50.0
2021,Teaching,Female,Gipuzkoa,PT,63.0
2019,Teaching,Female,Gipuzkoa,PT,81.8
2020,Teaching,Female,Gipuzkoa,PT,66.7
2017,Teaching,Female,Gipuzkoa,PT,72.7
2022,Teaching,Female,Gipuzkoa,PT,62.9
2023,Teaching,Male,,PT,63.0
2019,Teaching,Male,,PT,75.9
2016,Teaching,Male,,PT,68.6
2017,Teaching,Male,,PT,68.5
2022,Teaching,Male,,PT,58.9
2020,Teaching,Male,,PT,62.9
2021,Teaching,Male,,PT,47.9
2018,Teaching,Male,,PT,71.4
2017,Teaching,Male,Araba/Álava,PT,57.1
2019,Teaching,Male,Araba/Álava,PT,57.1
2020,Teaching,Male,Araba/Álava,PT,50.0
2016,Teaching,Male,Araba/Álava,PT,77.8
2021,Teaching,Male,Araba/Álava,PT,66.9
2018,Teaching,Male,Araba/Álava,PT,71.4
2023,Teaching,Male,Araba/Álava,PT,59.1
2022,Teaching,Male,Araba/Álava,PT,45.6
2020,Teaching,Male,Bizkaia,PT,66.7
2021,Teaching,Male,Bizkaia,PT,50.6
2019,Teaching,Male,Bizkaia,PT,78.9
2022,Teaching,Male,Bizkaia,PT,51.2
2023,Teaching,Male,Bizkaia,PT,60.8
2016,Teaching,Male,Bizkaia,PT,54.5
2018,Teaching,Male,Bizkaia,PT,59.3
2017,Teaching,Male,Bizkaia,PT,72.2
2021,Teaching,Male,Gipuzkoa,PT,42.1
2017,Teaching,Male,Gipuzkoa,PT,72.7
2020,Teaching,Male,Gipuzkoa,PT,65.2
2022,Teaching,Male,Gipuzkoa,PT,65.7
2019,Teaching,Male,Gipuzkoa,PT,78.6
2023,Teaching,Male,Gipuzkoa,PT,66.1
2018,Teaching,Male,Gipuzkoa,PT,86.4
2016,Teaching,Male,Gipuzkoa,PT,80.0
2017,Healthcare,,,PT,79.0
2013,Healthcare,,,PT,50.9
2018,Healthcare,,,PT,84.3
2011,Healthcare,,,PT,73.1
2014,Healthcare,,,PT,69.5
2019,Healthcare,,,PT,81.5
2022,Healthcare,,,PT,59.5
2021,Healthcare,,,PT,75.0
2023,Healthcare,,,PT,62.7
2020,Healthcare,,,PT,77.2
2012,Healthcare,,,PT,70.1
2016,Healthcare,,,PT,67.2
2015,Healthcare,,,PT,67.5
2017,Healthcare,,Araba/Álava,PT,73.1
2023,Healthcare,,Araba/Álava,PT,63.2
2019,Healthcare,,Araba/Álava,PT,71.4
2021,Healthcare,,Araba/Álava,PT,79.5
2016,Healthcare,,Araba/Álava,PT,84.2
2020,Healthcare,,Araba/Álava,PT,63.0
2018,Healthcare,,Araba/Álava,PT,95.0
2022,Healthcare,,Araba/Álava,PT,61.6
2021,Healthcare,,Bizkaia,PT,74.7
2019,Healthcare,,Bizkaia,PT,73.9
2022,Healthcare,,Bizkaia,PT,58.8
2017,Healthcare,,Bizkaia,PT,66.7
2016,Healthcare,,Bizkaia,PT,54.7
2023,Healthcare,,Bizkaia,PT,49.7
2020,Healthcare,,Bizkaia,PT,80.8
2018,Healthcare,,Bizkaia,PT,76.4
2018,Healthcare,,Gipuzkoa,PT,89.1
2016,Healthcare,,Gipuzkoa,PT,74.5
2020,Healthcare,,Gipuzkoa,PT,80.7
2019,Healthcare,,Gipuzkoa,PT,89.1
2021,Healthcare,,Gipuzkoa,PT,74.5
2022,Healthcare,,Gipuzkoa,PT,59.4
2023,Healthcare,,Gipuzkoa,PT,70.6
2017,Healthcare,,Gipuzkoa,PT,93.8
2016,Healthcare,Female,,PT,61.3
2017,Healthcare,Female,,PT,76.7
2021,Healthcare,Female,,PT,66.3
2019,Healthcare,Female,,PT,80.0
2023,Healthcare,Female,,PT,55.3
2020,Healthcare,Female,,PT,74.6
2022,Healthcare,Female,,PT,63.5
2018,Healthcare,Female,,PT,84.7
2022,Healthcare,Female,Araba/Álava,PT,77.3
2021,Healthcare,Female,Araba/Álava,PT,44.3
2020,Healthcare,Female,Araba/Álava,PT,62.5
2023,Healthcare,Female,Araba/Álava,PT,46.7
2017,Healthcare,Female,Araba/Álava,PT,75.0
2018,Healthcare,Female,Araba/Álava,PT,100.0
2016,Healthcare,Female,Araba/Álava,PT,77.8
2019,Healthcare,Female,Araba/Álava,PT,66.7
2020,Healthcare,Female,Bizkaia,PT,80.0
2023,Healthcare,Female,Bizkaia,PT,39.9
2017,Healthcare,Female,Bizkaia,PT,60.0
2021,Healthcare,Female,Bizkaia,PT,63.4
2018,Healthcare,Female,Bizkaia,PT,68.0
2022,Healthcare,Female,Bizkaia,PT,70.2
2019,Healthcare,Female,Bizkaia,PT,72.0
2016,Healthcare,Female,Bizkaia,PT,48.1
2016,Healthcare,Female,Gipuzkoa,PT,69.2
2017,Healthcare,Female,Gipuzkoa,PT,95.7
2018,Healthcare,Female,Gipuzkoa,PT,95.8
2022,Healthcare,Female,Gipuzkoa,PT,54.7
2020,Healthcare,Female,Gipuzkoa,PT,76.7
2023,Healthcare,Female,Gipuzkoa,PT,67.8
2021,Healthcare,Female,Gipuzkoa,PT,70.3
2019,Healthcare,Female,Gipuzkoa,PT,88.2
2018,Healthcare,Male,,PT,83.9
2023,Healthcare,Male,,PT,70.8
2019,Healthcare,Male,,PT,83.1
2017,Healthcare,Male,,PT,81.4
2021,Healthcare,Male,,PT,85.3
2020,Healthcare,Male,,PT,80.0
2016,Healthcare,Male,,PT,73.7
2022,Healthcare,Male,,PT,55.6
2017,Healthcare,Male,Araba/Álava,PT,71.4
2022,Healthcare,Male,Araba/Álava,PT,44.8
2021,Healthcare,Male,Araba/Álava,PT,100.0
2016,Healthcare,Male,Araba/Álava,PT,90.0
2023,Healthcare,Male,Araba/Álava,PT,73.3
2019,Healthcare,Male,Araba/Álava,PT,75.0
2020,Healthcare,Male,Araba/Álava,PT,63.6
2018,Healthcare,Male,Araba/Álava,PT,90.0
2023,Healthcare,Male,Bizkaia,PT,63.1
2018,Healthcare,Male,Bizkaia,PT,83.3
2016,Healthcare,Male,Bizkaia,PT,61.5
2017,Healthcare,Male,Bizkaia,PT,75.0
2019,Healthcare,Male,Bizkaia,PT,76.2
2020,Healthcare,Male,Bizkaia,PT,81.5
2021,Healthcare,Male,Bizkaia,PT,89.8
2022,Healthcare,Male,Bizkaia,PT,44.3
2021,Healthcare,Male,Gipuzkoa,PT,79.6
2023,Healthcare,Male,Gipuzkoa,PT,74.0
2019,Healthcare,Male,Gipuzkoa,PT,90.0
2016,Healthcare,Male,Gipuzkoa,PT,81.0
2017,Healthcare,Male,Gipuzkoa,PT,92.0
2022,Healthcare,Male,Gipuzkoa,PT,63.4
2020,Healthcare,Male,Gipuzkoa,PT,85.2
2018,Healthcare,Male,Gipuzkoa,PT,81.8
2016,Pension management,,,PT,23.5
2017,Pension management,,,PT,40.2
2019,Pension management,,,PT,30.9
2012,Pension management,,,PT,36.0
2015,Pension management,,,PT,21.5
2021,Pension management,,,PT,39.2
2011,Pension management,,,PT,32.0
2013,Pension management,,,PT,21.2
2023,Pension management,,,PT,52.4
2020,Pension management,,,PT,42.2
2018,Pension management,,,PT,19.1
2022,Pension management,,,PT,37.0
2014,Pension management,,,PT,21.3
2017,Pension management,,Araba/Álava,PT,65.2
2016,Pension management,,Araba/Álava,PT,21.4
2020,Pension management,,Araba/Álava,PT,37.0
2022,Pension management,,Araba/Álava,PT,28.9
2018,Pension management,,Araba/Álava,PT,11.1
2021,Pension management,,Araba/Álava,PT,27.6
2023,Pension management,,Araba/Álava,PT,58.7
2019,Pension management,,Araba/Álava,PT,0.0
2016,Pension management,,Bizkaia,PT,20.5
2018,Pension management,,Bizkaia,PT,25.0
2022,Pension management,,Bizkaia,PT,42.4
2021,Pension management,,Bizkaia,PT,56.1
2017,Pension management,,Bizkaia,PT,22.2
2023,Pension management,,Bizkaia,PT,42.7
2019,Pension management,,Bizkaia,PT,25.6
2020,Pension management,,Bizkaia,PT,43.5
2022,Pension management,,Gipuzkoa,PT,36.3
2019,Pension management,,Gipuzkoa,PT,39.3
2018,Pension management,,Gipuzkoa,PT,15.6
2016,Pension management,,Gipuzkoa,PT,27.3
2020,Pension management,,Gipuzkoa,PT,43.6
2021,Pension management,,Gipuzkoa,PT,32.3
2017,Pension management,,Gipuzkoa,PT,41.9
2023,Pension management,,Gipuzkoa,PT,56.0
2020,Pension management,Female,,PT,36.4
2023,Pension management,Female,,PT,48.5
2022,Pension management,Female,,PT,34.3
2018,Pension management,Female,,PT,19.3
2021,Pension management,Female,,PT,34.1
2017,Pension management,Female,,PT,45.1
2019,Pension management,Female,,PT,24.2
2016,Pension management,Female,,PT,20.0
2017,Pension management,Female,Araba/Álava,PT,63.6
2020,Pension management,Female,Araba/Álava,PT,33.3
2018,Pension management,Female,Araba/Álava,PT,20.0
2019,Pension management,Female,Araba/Álava,PT,0.0
2022,Pension management,Female,Araba/Álava,PT,38.6
2023,Pension management,Female,Araba/Álava,PT,70.7
2021,Pension management,Female,Araba/Álava,PT,0.0
2016,Pension management,Female,Araba/Álava,PT,28.6
2018,Pension management,Female,Bizkaia,PT,30.4
2019,Pension management,Female,Bizkaia,PT,20.8
2020,Pension management,Female,Bizkaia,PT,31.8
2021,Pension management,Female,Bizkaia,PT,44.5
2022,Pension management,Female,Bizkaia,PT,33.4
2023,Pension management,Female,Bizkaia,PT,34.0
2017,Pension management,Female,Bizkaia,PT,20.0
2016,Pension management,Female,Bizkaia,PT,16.7
2018,Pension management,Female,Gipuzkoa,PT,8.3
2019,Pension management,Female,Gipuzkoa,PT,29.4
2023,Pension management,Female,Gipuzkoa,PT,52.2
2022,Pension management,Female,Gipuzkoa,PT,33.2
2017,Pension management,Female,Gipuzkoa,PT,60.0
2020,Pension management,Female,Gipuzkoa,PT,41.4
2021,Pension management,Female,Gipuzkoa,PT,31.8
2016,Pension management,Female,Gipuzkoa,PT,20.8
2023,Pension management,Male,,PT,57.1
2019,Pension management,Male,,PT,39.6
2016,Pension management,Male,,PT,27.7
2021,Pension management,Male,,PT,45.7
2022,Pension management,Male,,PT,39.5
2020,Pension management,Male,,PT,48.4
2018,Pension management,Male,,PT,19.0
2017,Pension management,Male,,PT,35.3
2016,Pension management,Male,Araba/Álava,PT,14.3
2020,Pension management,Male,Araba/Álava,PT,41.7
2019,Pension management,Male,Araba/Álava,PT,0.0
2022,Pension management,Male,Araba/Álava,PT,18.5
2018,Pension management,Male,Araba/Álava,PT,0.0
2023,Pension management,Male,Araba/Álava,PT,51.0
2017,Pension management,Male,Araba/Álava,PT,66.7
2021,Pension management,Male,Araba/Álava,PT,43.2
2021,Pension management,Male,Bizkaia,PT,74.0
2023,Pension management,Male,Bizkaia,PT,56.4
2018,Pension management,Male,Bizkaia,PT,20.7
2016,Pension management,Male,Bizkaia,PT,25.0
2017,Pension management,Male,Bizkaia,PT,25.0
2020,Pension management,Male,Bizkaia,PT,54.2
2022,Pension management,Male,Bizkaia,PT,55.2
2019,Pension management,Male,Bizkaia,PT,33.3
2019,Pension management,Male,Gipuzkoa,PT,51.9
2020,Pension management,Male,Gipuzkoa,PT,46.2
2023,Pension management,Male,Gipuzkoa,PT,60.9
2022,Pension management,Male,Gipuzkoa,PT,38.1
2016,Pension management,Male,Gipuzkoa,PT,35.0
2017,Pension management,Male,Gipuzkoa,PT,26.1
2018,Pension management,Male,Gipuzkoa,PT,23.8
2021,Pension management,Male,Gipuzkoa,PT,32.9
2021,Administration of justice,,,PT,16.9
2016,Administration of justice,,,PT,11.4
2015,Administration of justice,,,PT,11.2
2019,Administration of justice,,,PT,19.4
2022,Administration of justice,,,PT,20.6
2013,Administration of justice,,,PT,13.5
2012,Administration of justice,,,PT,9.5
2017,Administration of justice,,,PT,19.4
2018,Administration of justice,,,PT,19.4
2011,Administration of justice,,,PT,15.0
2014,Administration of justice,,,PT,12.0
2020,Administration of justice,,,PT,17.5
2023,Administration of justice,,,PT,22.4
2019,Administration of justice,,Araba/Álava,PT,0.0
2020,Administration of justice,,Araba/Álava,PT,22.2
2016,Administration of justice,,Araba/Álava,PT,10.5
2021,Administration of justice,,Araba/Álava,PT,8.9
2023,Administration of justice,,Araba/Álava,PT,14.5
2022,Administration of justice,,Araba/Álava,PT,15.0
2018,Administration of justice,,Araba/Álava,PT,12.5
2017,Administration of justice,,Araba/Álava,PT,23.1
2022,Administration of justice,,Bizkaia,PT,30.0
2017,Administration of justice,,Bizkaia,PT,18.9
2023,Administration of justice,,Bizkaia,PT,33.1
2020,Administration of justice,,Bizkaia,PT,16.3
2016,Administration of justice,,Bizkaia,PT,10.4
2018,Administration of justice,,Bizkaia,PT,26.5
2019,Administration of justice,,Bizkaia,PT,12.5
