Year,Sex,Province,Units,Value
2018,,,PT,13.0
2023,,,PT,12.9
2012,,,PT,12.8
2013,,,PT,9.3
2020,,,PT,12.1
2019,,,PT,12.7
2014,,,PT,7.8
2015,,,PT,9.4
2022,,,PT,11.2
2016,,,PT,10.2
2017,,,PT,10.2
2021,,,PT,10.4
2018,,Araba/Álava,PT,8.6
2023,,Araba/Álava,PT,9.5
2016,,Araba/Álava,PT,6.1
2021,,Araba/Álava,PT,7.9
2017,,Araba/Álava,PT,6.0
2014,,Araba/Álava,PT,5.5
2012,,Araba/Álava,PT,9.4
2013,,Araba/Álava,PT,6.6
2020,,Araba/Álava,PT,8.1
2015,,Araba/Álava,PT,5.5
2022,,Araba/Álava,PT,7.7
2019,,Araba/Álava,PT,9.1
2021,,Bizkaia,PT,13.2
2023,,Bizkaia,PT,15.8
2022,,Bizkaia,PT,15.5
2016,,Bizkaia,PT,15.0
2017,,Bizkaia,PT,12.7
2014,,Bizkaia,PT,11.4
2019,,Bizkaia,PT,18.1
2015,,Bizkaia,PT,14.5
2012,,Bizkaia,PT,17.4
2018,,Bizkaia,PT,16.2
2020,,Bizkaia,PT,13.3
2013,,Bizkaia,PT,13.6
2023,,Gipuzkoa,PT,17.7
2016,,Gipuzkoa,PT,16.7
2021,,Gipuzkoa,PT,13.9
2022,,Gipuzkoa,PT,15.4
2015,,Gipuzkoa,PT,13.9
2014,,Gipuzkoa,PT,9.2
2020,,Gipuzkoa,PT,21.3
2013,,Gipuzkoa,PT,10.5
2018,,Gipuzkoa,PT,20.2
2012,,Gipuzkoa,PT,15.4
2019,,Gipuzkoa,PT,16.5
2017,,Gipuzkoa,PT,17.7
2019,Female,,PT,9.3
2013,Female,,PT,9.8
2023,Female,,PT,6.7
2015,Female,,PT,3.0
2014,Female,,PT,4.4
2016,Female,,PT,6.5
2022,Female,,PT,8.1
2012,Female,,PT,7.6
2018,Female,,PT,8.9
2020,Female,,PT,6.0
2017,Female,,PT,7.5
2021,Female,,PT,7.0
2012,Female,Araba/Álava,PT,6.7
2016,Female,Araba/Álava,PT,6.6
2013,Female,Araba/Álava,PT,9.7
2022,Female,Araba/Álava,PT,6.3
2021,Female,Araba/Álava,PT,5.4
2020,Female,Araba/Álava,PT,6.9
2018,Female,Araba/Álava,PT,9.5
2017,Female,Araba/Álava,PT,5.4
2014,Female,Araba/Álava,PT,6.3
2023,Female,Araba/Álava,PT,6.5
2015,Female,Araba/Álava,PT,4.2
2019,Female,Araba/Álava,PT,10.2
2014,Female,Bizkaia,PT,0.0
2013,Female,Bizkaia,PT,0.0
2012,Female,Bizkaia,PT,0.0
2015,Female,Bizkaia,PT,0.0
2023,Female,Bizkaia,PT,0.0
2019,Female,Bizkaia,PT,0.0
2021,Female,Bizkaia,PT,0.0
2022,Female,Bizkaia,PT,0.0
2020,Female,Bizkaia,PT,0.0
2018,Female,Bizkaia,PT,0.0
2017,Female,Bizkaia,PT,0.0
2016,Female,Bizkaia,PT,0.0
2023,Female,Gipuzkoa,PT,12.5
2022,Female,Gipuzkoa,PT,16.7
2020,Female,Gipuzkoa,PT,9.5
2019,Female,Gipuzkoa,PT,12.5
2018,Female,Gipuzkoa,PT,11.1
2021,Female,Gipuzkoa,PT,13.8
2017,Female,Gipuzkoa,PT,17.2
2016,Female,Gipuzkoa,PT,10.5
2015,Female,Gipuzkoa,PT,0.0
2013,Female,Gipuzkoa,PT,13.9
2012,Female,Gipuzkoa,PT,13.8
2014,Female,Gipuzkoa,PT,0.0
2012,Male,,PT,13.3
2017,Male,,PT,10.5
2022,Male,,PT,11.5
2016,Male,,PT,10.6
2015,Male,,PT,10.1
2013,Male,,PT,9.2
2019,Male,,PT,13.1
2023,Male,,PT,13.5
2014,Male,,PT,8.3
2021,Male,,PT,10.7
2020,Male,,PT,12.8
2018,Male,,PT,13.4
2013,Male,Araba/Álava,PT,6.0
2018,Male,Araba/Álava,PT,8.4
2023,Male,Araba/Álava,PT,9.8
2021,Male,Araba/Álava,PT,8.1
2014,Male,Araba/Álava,PT,5.3
2022,Male,Araba/Álava,PT,7.8
2016,Male,Araba/Álava,PT,6.1
2020,Male,Araba/Álava,PT,8.2
2017,Male,Araba/Álava,PT,6.1
2012,Male,Araba/Álava,PT,9.8
2015,Male,Araba/Álava,PT,5.7
2019,Male,Araba/Álava,PT,9.0
2018,Male,Bizkaia,PT,16.8
2017,Male,Bizkaia,PT,13.4
2016,Male,Bizkaia,PT,15.7
2015,Male,Bizkaia,PT,15.4
2014,Male,Bizkaia,PT,11.9
2013,Male,Bizkaia,PT,14.2
2012,Male,Bizkaia,PT,18.1
2023,Male,Bizkaia,PT,16.8
2022,Male,Bizkaia,PT,16.1
2021,Male,Bizkaia,PT,13.7
2020,Male,Bizkaia,PT,14.3
2019,Male,Bizkaia,PT,19.3
2018,Male,Gipuzkoa,PT,21.1
2017,Male,Gipuzkoa,PT,17.7
2016,Male,Gipuzkoa,PT,17.2
2015,Male,Gipuzkoa,PT,15.0
2014,Male,Gipuzkoa,PT,10.2
2013,Male,Gipuzkoa,PT,10.0
2012,Male,Gipuzkoa,PT,15.6
2023,Male,Gipuzkoa,PT,18.3
2022,Male,Gipuzkoa,PT,15.3
2021,Male,Gipuzkoa,PT,13.9
2020,Male,Gipuzkoa,PT,22.2
2019,Male,Gipuzkoa,PT,16.9
