Year,Units,Value
2010,PT,32.1
2011,PT,32.0
2012,PT,32.7
2013,PT,34.6
2014,PT,33.8
2015,PT,34.6
2016,PT,34.3
2017,PT,34.0
2018,PT,35.4
2019,PT,36.5
2020,PT,37.4
2021,PT,37.2
2022,PT,35.3
2023,PT,34.8
