Year,Series,Waste treatment operation,Province,Units,Value
2018,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Bizkaia,PT,0.1
2015,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Bizkaia,PT,0.4
2016,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Bizkaia,PT,0.4
2017,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Bizkaia,PT,0.1
2019,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Bizkaia,PT,0.1
2010,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Bizkaia,PT,0.8
2011,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Bizkaia,PT,0.1
2010,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Gipuzkoa,PT,1.2
2017,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Gipuzkoa,PT,0.3
2014,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Gipuzkoa,PT,2.4
2015,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Gipuzkoa,PT,1.5
2012,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Gipuzkoa,PT,0.2
2013,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Gipuzkoa,PT,0.2
2016,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Gipuzkoa,PT,2.0
2011,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Gipuzkoa,PT,0.2
2019,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Gipuzkoa,PT,0.5
2020,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Gipuzkoa,PT,1.2
2018,"Proportion of hazardous waste treated, broken down by treatment type",Incineration without energy recovery,Gipuzkoa,PT,0.2
