Year,Series,Units,Value
2011,Area of land recovered for new uses (cumulative),Hectares,573.0
2014,Area of land recovered for new uses (cumulative),Hectares,870.0
2017,Area of land recovered for new uses (cumulative),Hectares,1081.0
2020,Area of land recovered for new uses (cumulative),Hectares,1259.46
2010,Area of land recovered for new uses (cumulative),Hectares,422.54
2022,Area of land recovered for new uses (cumulative),Hectares,1464.9
2015,Area of land recovered for new uses (cumulative),Hectares,944.0
2016,Area of land recovered for new uses (cumulative),Hectares,993.0
2021,Area of land recovered for new uses (cumulative),Hectares,1406.46
2018,Area of land recovered for new uses (cumulative),Hectares,1157.0
2012,Area of land recovered for new uses (cumulative),Hectares,660.0
2019,Area of land recovered for new uses (cumulative),Hectares,1215.46
2013,Area of land recovered for new uses (cumulative),Hectares,783.0
2010,Percentage of land recovered for new uses (cumulative),PT,5.01
2011,Percentage of land recovered for new uses (cumulative),PT,6.47
2012,Percentage of land recovered for new uses (cumulative),PT,7.15
2013,Percentage of land recovered for new uses (cumulative),PT,8.35
2014,Percentage of land recovered for new uses (cumulative),PT,9.24
2015,Percentage of land recovered for new uses (cumulative),PT,10.0
2016,Percentage of land recovered for new uses (cumulative),PT,10.91
2017,Percentage of land recovered for new uses (cumulative),PT,11.37
2018,Percentage of land recovered for new uses (cumulative),PT,12.61
2019,Percentage of land recovered for new uses (cumulative),PT,13.19
2020,Percentage of land recovered for new uses (cumulative),PT,13.99
2021,Percentage of land recovered for new uses (cumulative),PT,14.58
2022,Percentage of land recovered for new uses (cumulative),PT,16.07
