Year,Series,Province,Units,Value
2022,Number of organizations with an Environmental Management and Audit Scheme (EMAS),,Organizations,93
2021,Number of organizations with an Environmental Management and Audit Scheme (EMAS),,Organizations,85
2023,Number of organizations with an Environmental Management and Audit Scheme (EMAS),,Organizations,99
2022,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Araba/Álava,Organizations,9
2023,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Araba/Álava,Organizations,9
2021,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Araba/Álava,Organizations,8
2023,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Bizkaia,Organizations,53
2022,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Bizkaia,Organizations,48
2021,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Bizkaia,Organizations,47
2022,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Gipuzkoa,Organizations,36
2021,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Gipuzkoa,Organizations,30
2023,Number of organizations with an Environmental Management and Audit Scheme (EMAS),Gipuzkoa,Organizations,37
2016,Number of Ecolabel licenses (European Ecolabel),,Licenses,40
2024,Number of Ecolabel licenses (European Ecolabel),,Licenses,65
2023,Number of Ecolabel licenses (European Ecolabel),,Licenses,61
2012,Number of Ecolabel licenses (European Ecolabel),,Licenses,16
2011,Number of Ecolabel licenses (European Ecolabel),,Licenses,15
2015,Number of Ecolabel licenses (European Ecolabel),,Licenses,19
2020,Number of Ecolabel licenses (European Ecolabel),,Licenses,55
2010,Number of Ecolabel licenses (European Ecolabel),,Licenses,13
2017,Number of Ecolabel licenses (European Ecolabel),,Licenses,43
2022,Number of Ecolabel licenses (European Ecolabel),,Licenses,58
2021,Number of Ecolabel licenses (European Ecolabel),,Licenses,57
2018,Number of Ecolabel licenses (European Ecolabel),,Licenses,52
2014,Number of Ecolabel licenses (European Ecolabel),,Licenses,19
2019,Number of Ecolabel licenses (European Ecolabel),,Licenses,51
2013,Number of Ecolabel licenses (European Ecolabel),,Licenses,18
2023,Number of Ecolabel licenses (European Ecolabel),Araba/Álava,Licenses,14
2021,Number of Ecolabel licenses (European Ecolabel),Araba/Álava,Licenses,14
2024,Number of Ecolabel licenses (European Ecolabel),Araba/Álava,Licenses,14
2022,Number of Ecolabel licenses (European Ecolabel),Araba/Álava,Licenses,14
2023,Number of Ecolabel licenses (European Ecolabel),Bizkaia,Licenses,25
2022,Number of Ecolabel licenses (European Ecolabel),Bizkaia,Licenses,25
2024,Number of Ecolabel licenses (European Ecolabel),Bizkaia,Licenses,26
2021,Number of Ecolabel licenses (European Ecolabel),Bizkaia,Licenses,26
2023,Number of Ecolabel licenses (European Ecolabel),Gipuzkoa,Licenses,22
2024,Number of Ecolabel licenses (European Ecolabel),Gipuzkoa,Licenses,25
2021,Number of Ecolabel licenses (European Ecolabel),Gipuzkoa,Licenses,17
2022,Number of Ecolabel licenses (European Ecolabel),Gipuzkoa,Licenses,19
