Year,Province,Units,Value
2013,,PT,0.6
2010,,PT,1.6
2017,,PT,0.8
2012,,PT,0.9
2022,,PT,3.7
2018,,PT,0.9
2014,,PT,0.9
2011,,PT,1.5
2019,,PT,1.1
2021,,PT,4.8
2016,,PT,1.2
2020,,PT,-7.8
2015,,PT,0.9
2015,Araba/Álava,PT,1.5
2016,Araba/Álava,PT,0.8
2013,Araba/Álava,PT,0.7
2019,Araba/Álava,PT,0.9
2010,Araba/Álava,PT,1.5
2017,Araba/Álava,PT,-0.2
2014,Araba/Álava,PT,2.5
2018,Araba/Álava,PT,0.0
2020,Araba/Álava,PT,-8.5
2022,Araba/Álava,PT,1.8
2011,Araba/Álava,PT,2.4
2021,Araba/Álava,PT,6.1
2012,Araba/Álava,PT,0.8
2011,Bizkaia,PT,1.4
2015,Bizkaia,PT,0.4
2017,Bizkaia,PT,1.3
2018,Bizkaia,PT,0.8
2019,Bizkaia,PT,0.8
2021,Bizkaia,PT,4.3
2022,Bizkaia,PT,5.1
2010,Bizkaia,PT,1.4
2012,Bizkaia,PT,0.7
2013,Bizkaia,PT,1.0
2014,Bizkaia,PT,0.7
2020,Bizkaia,PT,-7.0
2016,Bizkaia,PT,1.3
2020,Gipuzkoa,PT,-8.6
2021,Gipuzkoa,PT,4.9
2022,Gipuzkoa,PT,2.6
2010,Gipuzkoa,PT,1.8
2011,Gipuzkoa,PT,1.0
2012,Gipuzkoa,PT,1.3
2013,Gipuzkoa,PT,-0.1
2014,Gipuzkoa,PT,0.4
2015,Gipuzkoa,PT,1.2
2016,Gipuzkoa,PT,1.3
2017,Gipuzkoa,PT,0.5
2018,Gipuzkoa,PT,1.4
2019,Gipuzkoa,PT,1.7
