Year,Series,Edad,Sexo,EmpCont,Territorio,Comarca,Municipio,Units,GeoCode,Value
2018,EU_EMP_LFS,Y_GE16,,,,,ES48911,PT,ES48911,56.8
2020,EU_EMP_LFS,Y_GE16,,,,,ES48911,PT,ES48911,56.7
2015,EU_EMP_LFS,Y_GE16,,,,,ES48911,PT,ES48911,55.7
2016,EU_EMP_LFS,Y_GE16,,,,,ES48911,PT,ES48911,57.7
2022,EU_EMP_LFS,Y_GE16,,,,,ES48911,PT,ES48911,54.5
2020,EU_EMP_LFS,Y_GE16,,,,,ES20004,PT,ES20004,62.1
2022,EU_EMP_LFS,Y_GE16,,,,,ES20004,PT,ES20004,59.1
2015,EU_EMP_LFS,Y_GE16,,,,,ES20004,PT,ES20004,59.7
2018,EU_EMP_LFS,Y_GE16,,,,,ES20004,PT,ES20004,57.9
2023,EU_EMP_LFS,Y_GE16,,,,,ES20004,PT,ES20004,60.5
2016,EU_EMP_LFS,Y_GE16,,,,,ES20004,PT,ES20004,56.6
2010,EU_EMP_LFS,Y_GE16,,,,,ES20004,PT,ES20004,53.2
2019,EU_EMP_LFS,Y_GE16,,,,,ES20004,PT,ES20004,62.4
2021,EU_EMP_LFS,Y_GE16,,,,,ES20004,PT,ES20004,57.1
2019,EU_EMP_LFS,Y_GE16,,,,,ES20005,PT,ES20005,51.1
2020,EU_EMP_LFS,Y_GE16,,,,,ES20005,PT,ES20005,52.4
2023,EU_EMP_LFS,Y_GE16,,,,,ES20005,PT,ES20005,53.2
2010,EU_EMP_LFS,Y_GE16,,,,,ES20005,PT,ES20005,53.0
2015,EU_EMP_LFS,Y_GE16,,,,,ES20005,PT,ES20005,49.2
2022,EU_EMP_LFS,Y_GE16,,,,,ES20005,PT,ES20005,53.6
2021,EU_EMP_LFS,Y_GE16,,,,,ES20005,PT,ES20005,51.3
2018,EU_EMP_LFS,Y_GE16,,,,,ES20005,PT,ES20005,51.0
2016,EU_EMP_LFS,Y_GE16,,,,,ES20005,PT,ES20005,48.2
2016,EU_EMP_LFS,Y_GE16,,,,,ES01001,PT,ES01001,62.4
2019,EU_EMP_LFS,Y_GE16,,,,,ES01001,PT,ES01001,61.7
2021,EU_EMP_LFS,Y_GE16,,,,,ES01001,PT,ES01001,59.4
2023,EU_EMP_LFS,Y_GE16,,,,,ES01001,PT,ES01001,62.0
2018,EU_EMP_LFS,Y_GE16,,,,,ES01001,PT,ES01001,63.2
2020,EU_EMP_LFS,Y_GE16,,,,,ES01001,PT,ES01001,61.8
2010,EU_EMP_LFS,Y_GE16,,,,,ES01001,PT,ES01001,66.2
2015,EU_EMP_LFS,Y_GE16,,,,,ES01001,PT,ES01001,64.0
2022,EU_EMP_LFS,Y_GE16,,,,,ES01001,PT,ES01001,61.4
2018,EU_EMP_LFS,Y_GE16,,,,,ES20006,PT,ES20006,63.3
2010,EU_EMP_LFS,Y_GE16,,,,,ES20006,PT,ES20006,61.4
2019,EU_EMP_LFS,Y_GE16,,,,,ES20006,PT,ES20006,61.0
2022,EU_EMP_LFS,Y_GE16,,,,,ES20006,PT,ES20006,60.8
2015,EU_EMP_LFS,Y_GE16,,,,,ES20006,PT,ES20006,63.5
2020,EU_EMP_LFS,Y_GE16,,,,,ES20006,PT,ES20006,60.4
2021,EU_EMP_LFS,Y_GE16,,,,,ES20006,PT,ES20006,55.7
2016,EU_EMP_LFS,Y_GE16,,,,,ES20006,PT,ES20006,62.0
2023,EU_EMP_LFS,Y_GE16,,,,,ES20006,PT,ES20006,58.5
2023,EU_EMP_LFS,Y_GE16,,,,,ES48912,PT,ES48912,50.8
2022,EU_EMP_LFS,Y_GE16,,,,,ES48912,PT,ES48912,50.7
2019,EU_EMP_LFS,Y_GE16,,,,,ES48912,PT,ES48912,48.1
2016,EU_EMP_LFS,Y_GE16,,,,,ES48912,PT,ES48912,46.0
2021,EU_EMP_LFS,Y_GE16,,,,,ES48912,PT,ES48912,49.2
2015,EU_EMP_LFS,Y_GE16,,,,,ES48912,PT,ES48912,45.8
2010,EU_EMP_LFS,Y_GE16,,,,,ES48912,PT,ES48912,48.7
2018,EU_EMP_LFS,Y_GE16,,,,,ES48912,PT,ES48912,49.2
2020,EU_EMP_LFS,Y_GE16,,,,,ES48912,PT,ES48912,49.9
2022,EU_EMP_LFS,Y_GE16,,,,,ES20906,PT,ES20906,57.9
2020,EU_EMP_LFS,Y_GE16,,,,,ES20906,PT,ES20906,50.7
2019,EU_EMP_LFS,Y_GE16,,,,,ES20906,PT,ES20906,53.6
2015,EU_EMP_LFS,Y_GE16,,,,,ES20906,PT,ES20906,55.1
2021,EU_EMP_LFS,Y_GE16,,,,,ES20906,PT,ES20906,50.8
2018,EU_EMP_LFS,Y_GE16,,,,,ES20906,PT,ES20906,50.0
2023,EU_EMP_LFS,Y_GE16,,,,,ES20906,PT,ES20906,52.6
2010,EU_EMP_LFS,Y_GE16,,,,,ES20906,PT,ES20906,67.2
2016,EU_EMP_LFS,Y_GE16,,,,,ES20906,PT,ES20906,53.9
2020,EU_EMP_LFS,Y_GE16,,,,,ES20007,PT,ES20007,55.1
2010,EU_EMP_LFS,Y_GE16,,,,,ES20007,PT,ES20007,61.6
2015,EU_EMP_LFS,Y_GE16,,,,,ES20007,PT,ES20007,55.6
2019,EU_EMP_LFS,Y_GE16,,,,,ES20007,PT,ES20007,62.5
2022,EU_EMP_LFS,Y_GE16,,,,,ES20007,PT,ES20007,57.6
2023,EU_EMP_LFS,Y_GE16,,,,,ES20007,PT,ES20007,57.4
2016,EU_EMP_LFS,Y_GE16,,,,,ES20007,PT,ES20007,55.4
2021,EU_EMP_LFS,Y_GE16,,,,,ES20007,PT,ES20007,54.7
2018,EU_EMP_LFS,Y_GE16,,,,,ES20007,PT,ES20007,57.4
2018,EU_EMP_LFS,Y_GE16,,,,,ES20008,PT,ES20008,53.4
2020,EU_EMP_LFS,Y_GE16,,,,,ES20008,PT,ES20008,54.1
2016,EU_EMP_LFS,Y_GE16,,,,,ES20008,PT,ES20008,50.9
2010,EU_EMP_LFS,Y_GE16,,,,,ES20008,PT,ES20008,53.4
2019,EU_EMP_LFS,Y_GE16,,,,,ES20008,PT,ES20008,54.3
2015,EU_EMP_LFS,Y_GE16,,,,,ES20008,PT,ES20008,52.5
2022,EU_EMP_LFS,Y_GE16,,,,,ES20008,PT,ES20008,56.3
2021,EU_EMP_LFS,Y_GE16,,,,,ES20008,PT,ES20008,52.5
2023,EU_EMP_LFS,Y_GE16,,,,,ES20008,PT,ES20008,53.2
2019,EU_EMP_LFS,Y_GE16,,,,,ES48003,PT,ES48003,54.4
2021,EU_EMP_LFS,Y_GE16,,,,,ES48003,PT,ES48003,53.4
2018,EU_EMP_LFS,Y_GE16,,,,,ES48003,PT,ES48003,54.1
2016,EU_EMP_LFS,Y_GE16,,,,,ES48003,PT,ES48003,52.4
2020,EU_EMP_LFS,Y_GE16,,,,,ES48003,PT,ES48003,54.6
2010,EU_EMP_LFS,Y_GE16,,,,,ES48003,PT,ES48003,52.8
2023,EU_EMP_LFS,Y_GE16,,,,,ES48003,PT,ES48003,56.6
2015,EU_EMP_LFS,Y_GE16,,,,,ES48003,PT,ES48003,52.1
2022,EU_EMP_LFS,Y_GE16,,,,,ES48003,PT,ES48003,55.4
2019,EU_EMP_LFS,Y_GE16,,,,,ES48004,PT,ES48004,50.9
2020,EU_EMP_LFS,Y_GE16,,,,,ES48004,PT,ES48004,49.3
2015,EU_EMP_LFS,Y_GE16,,,,,ES48004,PT,ES48004,53.3
2016,EU_EMP_LFS,Y_GE16,,,,,ES48004,PT,ES48004,52.3
2018,EU_EMP_LFS,Y_GE16,,,,,ES48004,PT,ES48004,51.0
2023,EU_EMP_LFS,Y_GE16,,,,,ES48004,PT,ES48004,52.2
2010,EU_EMP_LFS,Y_GE16,,,,,ES48004,PT,ES48004,52.5
2021,EU_EMP_LFS,Y_GE16,,,,,ES48004,PT,ES48004,49.6
2022,EU_EMP_LFS,Y_GE16,,,,,ES48004,PT,ES48004,49.7
2018,EU_EMP_LFS,Y_GE16,,,,,ES01002,PT,ES01002,50.6
2020,EU_EMP_LFS,Y_GE16,,,,,ES01002,PT,ES01002,51.1
2015,EU_EMP_LFS,Y_GE16,,,,,ES01002,PT,ES01002,49.5
2022,EU_EMP_LFS,Y_GE16,,,,,ES01002,PT,ES01002,52.4
2021,EU_EMP_LFS,Y_GE16,,,,,ES01002,PT,ES01002,50.7
2016,EU_EMP_LFS,Y_GE16,,,,,ES01002,PT,ES01002,49.1
2019,EU_EMP_LFS,Y_GE16,,,,,ES01002,PT,ES01002,51.5
2010,EU_EMP_LFS,Y_GE16,,,,,ES01002,PT,ES01002,51.0
2023,EU_EMP_LFS,Y_GE16,,,,,ES01002,PT,ES01002,52.3
2021,EU_EMP_LFS,Y_GE16,,,,,ES20009,PT,ES20009,51.3
2010,EU_EMP_LFS,Y_GE16,,,,,ES20009,PT,ES20009,52.2
2023,EU_EMP_LFS,Y_GE16,,,,,ES20009,PT,ES20009,53.0
2018,EU_EMP_LFS,Y_GE16,,,,,ES20009,PT,ES20009,51.1
2019,EU_EMP_LFS,Y_GE16,,,,,ES20009,PT,ES20009,51.9
2016,EU_EMP_LFS,Y_GE16,,,,,ES20009,PT,ES20009,49.6
2020,EU_EMP_LFS,Y_GE16,,,,,ES20009,PT,ES20009,52.4
2022,EU_EMP_LFS,Y_GE16,,,,,ES20009,PT,ES20009,52.1
2015,EU_EMP_LFS,Y_GE16,,,,,ES20009,PT,ES20009,50.1
2018,EU_EMP_LFS,Y_GE16,,,,,ES20010,PT,ES20010,57.0
2020,EU_EMP_LFS,Y_GE16,,,,,ES20010,PT,ES20010,58.3
2015,EU_EMP_LFS,Y_GE16,,,,,ES20010,PT,ES20010,54.2
2010,EU_EMP_LFS,Y_GE16,,,,,ES20010,PT,ES20010,55.3
2016,EU_EMP_LFS,Y_GE16,,,,,ES20010,PT,ES20010,54.6
2021,EU_EMP_LFS,Y_GE16,,,,,ES20010,PT,ES20010,56.6
2019,EU_EMP_LFS,Y_GE16,,,,,ES20010,PT,ES20010,57.8
2023,EU_EMP_LFS,Y_GE16,,,,,ES20010,PT,ES20010,58.0
2022,EU_EMP_LFS,Y_GE16,,,,,ES20010,PT,ES20010,57.7
2010,EU_EMP_LFS,Y_GE16,,,,,ES20011,PT,ES20011,55.9
2019,EU_EMP_LFS,Y_GE16,,,,,ES20011,PT,ES20011,57.1
2020,EU_EMP_LFS,Y_GE16,,,,,ES20011,PT,ES20011,57.1
2018,EU_EMP_LFS,Y_GE16,,,,,ES20011,PT,ES20011,57.6
2016,EU_EMP_LFS,Y_GE16,,,,,ES20011,PT,ES20011,55.7
2021,EU_EMP_LFS,Y_GE16,,,,,ES20011,PT,ES20011,56.2
2015,EU_EMP_LFS,Y_GE16,,,,,ES20011,PT,ES20011,55.4
2022,EU_EMP_LFS,Y_GE16,,,,,ES20011,PT,ES20011,58.4
2023,EU_EMP_LFS,Y_GE16,,,,,ES20011,PT,ES20011,57.2
2022,EU_EMP_LFS,Y_GE16,,,,,ES01049,PT,ES01049,53.3
2016,EU_EMP_LFS,Y_GE16,,,,,ES01049,PT,ES01049,49.7
2018,EU_EMP_LFS,Y_GE16,,,,,ES01049,PT,ES01049,53.3
2021,EU_EMP_LFS,Y_GE16,,,,,ES01049,PT,ES01049,54.3
2020,EU_EMP_LFS,Y_GE16,,,,,ES01049,PT,ES01049,54.0
2019,EU_EMP_LFS,Y_GE16,,,,,ES01049,PT,ES01049,55.7
2023,EU_EMP_LFS,Y_GE16,,,,,ES01049,PT,ES01049,53.7
2015,EU_EMP_LFS,Y_GE16,,,,,ES01049,PT,ES01049,43.7
2010,EU_EMP_LFS,Y_GE16,,,,,ES01049,PT,ES01049,46.3
2016,EU_EMP_LFS,Y_GE16,,,,,ES48005,PT,ES48005,62.2
2019,EU_EMP_LFS,Y_GE16,,,,,ES48005,PT,ES48005,62.4
2022,EU_EMP_LFS,Y_GE16,,,,,ES48005,PT,ES48005,63.1
2020,EU_EMP_LFS,Y_GE16,,,,,ES48005,PT,ES48005,59.0
2021,EU_EMP_LFS,Y_GE16,,,,,ES48005,PT,ES48005,58.0
2010,EU_EMP_LFS,Y_GE16,,,,,ES48005,PT,ES48005,58.4
2015,EU_EMP_LFS,Y_GE16,,,,,ES48005,PT,ES48005,54.0
2018,EU_EMP_LFS,Y_GE16,,,,,ES48005,PT,ES48005,60.2
2023,EU_EMP_LFS,Y_GE16,,,,,ES48005,PT,ES48005,64.2
2022,EU_EMP_LFS,Y_GE16,,,,,ES20012,PT,ES20012,52.7
2016,EU_EMP_LFS,Y_GE16,,,,,ES20012,PT,ES20012,55.6
2019,EU_EMP_LFS,Y_GE16,,,,,ES20012,PT,ES20012,55.0
2018,EU_EMP_LFS,Y_GE16,,,,,ES20012,PT,ES20012,58.4
2020,EU_EMP_LFS,Y_GE16,,,,,ES20012,PT,ES20012,56.7
2015,EU_EMP_LFS,Y_GE16,,,,,ES20012,PT,ES20012,54.1
2023,EU_EMP_LFS,Y_GE16,,,,,ES20012,PT,ES20012,57.5
2010,EU_EMP_LFS,Y_GE16,,,,,ES20012,PT,ES20012,53.5
2021,EU_EMP_LFS,Y_GE16,,,,,ES20012,PT,ES20012,53.3
2019,EU_EMP_LFS,Y_GE16,,,,,ES01003,PT,ES01003,55.3
2023,EU_EMP_LFS,Y_GE16,,,,,ES01003,PT,ES01003,53.8
2016,EU_EMP_LFS,Y_GE16,,,,,ES01003,PT,ES01003,52.9
2010,EU_EMP_LFS,Y_GE16,,,,,ES01003,PT,ES01003,55.9
2015,EU_EMP_LFS,Y_GE16,,,,,ES01003,PT,ES01003,52.9
2018,EU_EMP_LFS,Y_GE16,,,,,ES01003,PT,ES01003,54.8
2022,EU_EMP_LFS,Y_GE16,,,,,ES01003,PT,ES01003,53.1
2021,EU_EMP_LFS,Y_GE16,,,,,ES01003,PT,ES01003,51.5
2020,EU_EMP_LFS,Y_GE16,,,,,ES01003,PT,ES01003,53.6
2010,EU_EMP_LFS,Y_GE16,,,,,ES48006,PT,ES48006,52.7
2020,EU_EMP_LFS,Y_GE16,,,,,ES48006,PT,ES48006,54.1
2018,EU_EMP_LFS,Y_GE16,,,,,ES48006,PT,ES48006,53.5
2022,EU_EMP_LFS,Y_GE16,,,,,ES48006,PT,ES48006,53.3
2019,EU_EMP_LFS,Y_GE16,,,,,ES48006,PT,ES48006,54.2
2021,EU_EMP_LFS,Y_GE16,,,,,ES48006,PT,ES48006,51.1
2016,EU_EMP_LFS,Y_GE16,,,,,ES48006,PT,ES48006,54.3
2023,EU_EMP_LFS,Y_GE16,,,,,ES48006,PT,ES48006,55.1
2015,EU_EMP_LFS,Y_GE16,,,,,ES48006,PT,ES48006,53.4
2015,EU_EMP_LFS,Y_GE16,,,,,ES48093,PT,ES48093,51.0
2016,EU_EMP_LFS,Y_GE16,,,,,ES48093,PT,ES48093,51.4
2019,EU_EMP_LFS,Y_GE16,,,,,ES48093,PT,ES48093,55.8
2010,EU_EMP_LFS,Y_GE16,,,,,ES48093,PT,ES48093,51.8
2021,EU_EMP_LFS,Y_GE16,,,,,ES48093,PT,ES48093,51.7
2022,EU_EMP_LFS,Y_GE16,,,,,ES48093,PT,ES48093,53.5
2018,EU_EMP_LFS,Y_GE16,,,,,ES48093,PT,ES48093,54.0
2020,EU_EMP_LFS,Y_GE16,,,,,ES48093,PT,ES48093,54.1
2023,EU_EMP_LFS,Y_GE16,,,,,ES48093,PT,ES48093,56.0
2016,EU_EMP_LFS,Y_GE16,,,,,ES20013,PT,ES20013,53.1
2015,EU_EMP_LFS,Y_GE16,,,,,ES20013,PT,ES20013,52.6
2020,EU_EMP_LFS,Y_GE16,,,,,ES20013,PT,ES20013,54.6
2010,EU_EMP_LFS,Y_GE16,,,,,ES20013,PT,ES20013,55.2
2021,EU_EMP_LFS,Y_GE16,,,,,ES20013,PT,ES20013,53.2
2018,EU_EMP_LFS,Y_GE16,,,,,ES20013,PT,ES20013,54.2
2019,EU_EMP_LFS,Y_GE16,,,,,ES20013,PT,ES20013,54.2
2022,EU_EMP_LFS,Y_GE16,,,,,ES20013,PT,ES20013,54.4
2023,EU_EMP_LFS,Y_GE16,,,,,ES20013,PT,ES20013,55.3
2015,EU_EMP_LFS,Y_GE16,,,,,ES01006,PT,ES01006,62.3
2018,EU_EMP_LFS,Y_GE16,,,,,ES01006,PT,ES01006,63.4
2021,EU_EMP_LFS,Y_GE16,,,,,ES01006,PT,ES01006,58.9
2010,EU_EMP_LFS,Y_GE16,,,,,ES01006,PT,ES01006,53.2
2022,EU_EMP_LFS,Y_GE16,,,,,ES01006,PT,ES01006,64.2
2019,EU_EMP_LFS,Y_GE16,,,,,ES01006,PT,ES01006,62.9
2020,EU_EMP_LFS,Y_GE16,,,,,ES01006,PT,ES01006,61.5
2023,EU_EMP_LFS,Y_GE16,,,,,ES01006,PT,ES01006,59.7
2016,EU_EMP_LFS,Y_GE16,,,,,ES01006,PT,ES01006,61.6
2022,EU_EMP_LFS,Y_GE16,,,,,ES01037,PT,ES01037,58.6
