Year,Province,Units,Value
2019,,PT,1.8
2022,,PT,5.6
2021,,PT,6.4
2018,,PT,2.8
2023,,PT,2.2
2017,,PT,2.5
2015,,PT,2.9
2012,,PT,-2.2
2016,,PT,3.3
2011,,PT,-0.1
2014,,PT,1.8
2013,,PT,-1.6
2010,,PT,0.3
2020,,PT,-9.6
2012,Araba/Álava,PT,-2.8
2013,Araba/Álava,PT,-1.5
2014,Araba/Álava,PT,1.8
2010,Araba/Álava,PT,0.2
2018,Araba/Álava,PT,1.5
2017,Araba/Álava,PT,1.6
2011,Araba/Álava,PT,-0.1
2020,Araba/Álava,PT,-10.7
2021,Araba/Álava,PT,7.3
2015,Araba/Álava,PT,2.5
2019,Araba/Álava,PT,1.3
2022,Araba/Álava,PT,3.9
2016,Araba/Álava,PT,2.8
2023,Araba/Álava,PT,2.2
2013,Bizkaia,PT,-1.2
2015,Bizkaia,PT,2.8
2016,Bizkaia,PT,3.6
2017,Bizkaia,PT,2.9
2019,Bizkaia,PT,1.8
2020,Bizkaia,PT,-8.8
2021,Bizkaia,PT,6.3
2023,Bizkaia,PT,1.9
2010,Bizkaia,PT,0.4
2011,Bizkaia,PT,0.0
2012,Bizkaia,PT,-2.3
2022,Bizkaia,PT,6.9
2018,Bizkaia,PT,2.8
2014,Bizkaia,PT,1.8
2022,Gipuzkoa,PT,4.6
2023,Gipuzkoa,PT,2.6
2010,Gipuzkoa,PT,0.3
2011,Gipuzkoa,PT,-0.3
2012,Gipuzkoa,PT,-1.8
2013,Gipuzkoa,PT,-2.2
2014,Gipuzkoa,PT,1.6
2015,Gipuzkoa,PT,3.3
2016,Gipuzkoa,PT,3.1
2017,Gipuzkoa,PT,2.4
2018,Gipuzkoa,PT,3.5
2019,Gipuzkoa,PT,2.2
2020,Gipuzkoa,PT,-10.1
2021,Gipuzkoa,PT,6.2
