Year,Series,Units,Value
2015,CO2 emissions,Tons,14537114.24
2011,CO2 emissions,Tons,14931958.24
2012,CO2 emissions,Tons,15792128.77
2020,CO2 emissions,Tons,13639720.49
2017,CO2 emissions,Tons,15166249.88
2021,CO2 emissions,Tons,14760223.12
2022,CO2 emissions,Tons,15802683.91
2019,CO2 emissions,Tons,15484145.53
2018,CO2 emissions,Tons,14723125.09
2014,CO2 emissions,Tons,14251428.57
2023,CO2 emissions,Tons,13605046.24
2010,CO2 emissions,Tons,16684857.85
2013,CO2 emissions,Tons,14391247.37
2016,CO2 emissions,Tons,14504152.61
2010,CO2 emissions per unit of value added,Kg of CO2 per euro,0.22
2011,CO2 emissions per unit of value added,Kg of CO2 per euro,0.2
2012,CO2 emissions per unit of value added,Kg of CO2 per euro,0.21
2013,CO2 emissions per unit of value added,Kg of CO2 per euro,0.2
2014,CO2 emissions per unit of value added,Kg of CO2 per euro,0.19
2022,CO2 emissions per unit of value added,Kg of CO2 per euro,0.18
2015,CO2 emissions per unit of value added,Kg of CO2 per euro,0.19
2018,CO2 emissions per unit of value added,Kg of CO2 per euro,0.18
2016,CO2 emissions per unit of value added,Kg of CO2 per euro,0.18
2019,CO2 emissions per unit of value added,Kg of CO2 per euro,0.18
2020,CO2 emissions per unit of value added,Kg of CO2 per euro,0.18
2021,CO2 emissions per unit of value added,Kg of CO2 per euro,0.18
2017,CO2 emissions per unit of value added,Kg of CO2 per euro,0.19
2023,CO2 emissions per unit of value added,Kg of CO2 per euro,0.15
2010,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 per euro,0.43
2011,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 per euro,0.41
2012,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 per euro,0.4
2013,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 per euro,0.41
2014,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 per euro,0.38
2015,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 per euro,0.37
2016,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 per euro,0.37
2017,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 per euro,0.35
2018,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 per euro,0.36
2019,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 per euro,0.34
2020,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 per euro,0.37
2021,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 per euro,0.3
2022,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 per euro,0.33
2023,CO2 emissions from the manufacturing sector per unit of manufacturing value added,Kg of CO2 per euro,0.32
