Year,Sex,Units,Value
2018,,PT,12.8
2014,,PT,13.0
2013,,PT,14.5
2023,,PT,14.0
2011,,PT,15.3
2017,,PT,13.8
2019,,PT,13.5
2011,Female,PT,15.3
2013,Female,PT,13.8
2014,Female,PT,11.9
2017,Female,PT,13.5
2019,Female,PT,13.5
2018,Female,PT,11.7
2023,Female,PT,13.5
2023,Male,PT,14.6
2017,Male,PT,14.2
2013,Male,PT,15.2
2011,Male,PT,15.2
2018,Male,PT,14.0
2019,Male,PT,13.5
2014,Male,PT,14.2
