Year,Series,Units,Value
2022,Proportion of Regional and local government revenue from taxes,%,85.0
2013,Proportion of Regional and local government revenue from taxes,%,80.3
2021,Proportion of Regional and local government revenue from taxes,%,77.1
2017,Proportion of Regional and local government revenue from taxes,%,83.6
2012,Proportion of Regional and local government revenue from taxes,%,75.5
2015,Proportion of Regional and local government revenue from taxes,%,80.8
2016,Proportion of Regional and local government revenue from taxes,%,81.1
2018,Proportion of Regional and local government revenue from taxes,%,83.0
2010,Proportion of Regional and local government revenue from taxes,%,69.8
2023,Proportion of Regional and local government revenue from taxes,%,82.6
2020,Proportion of Regional and local government revenue from taxes,%,75.7
2011,Proportion of Regional and local government revenue from taxes,%,74.6
2019,Proportion of Regional and local government revenue from taxes,%,86.0
2014,Proportion of Regional and local government revenue from taxes,%,82.2
2010,Proportion of non-financial revenue of Regional and local governments from taxes,%,82.2
2011,Proportion of non-financial revenue of Regional and local governments from taxes,%,82.0
2013,Proportion of non-financial revenue of Regional and local governments from taxes,%,89.9
2014,Proportion of non-financial revenue of Regional and local governments from taxes,%,90.9
2022,Proportion of non-financial revenue of Regional and local governments from taxes,%,87.7
2015,Proportion of non-financial revenue of Regional and local governments from taxes,%,89.1
2016,Proportion of non-financial revenue of Regional and local governments from taxes,%,88.9
2017,Proportion of non-financial revenue of Regional and local governments from taxes,%,90.1
2018,Proportion of non-financial revenue of Regional and local governments from taxes,%,90.6
2012,Proportion of non-financial revenue of Regional and local governments from taxes,%,83.4
2019,Proportion of non-financial revenue of Regional and local governments from taxes,%,91.4
2020,Proportion of non-financial revenue of Regional and local governments from taxes,%,88.0
2021,Proportion of non-financial revenue of Regional and local governments from taxes,%,84.6
2023,Proportion of non-financial revenue of Regional and local governments from taxes,%,88.8
