Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2010,SP_ACS_BSRVH2O,,,ES20003,PT,ES20003,99.6
2016,SP_ACS_BSRVH2O,,,ES48911,PT,ES48911,100.0
2020,SP_ACS_BSRVH2O,,,ES48911,PT,ES48911,100.0
2021,SP_ACS_BSRVH2O,,,ES48911,PT,ES48911,100.0
2023,SP_ACS_BSRVH2O,,,ES48911,PT,ES48911,100.0
2013,SP_ACS_BSRVH2O,,,ES48911,PT,ES48911,100.0
2022,SP_ACS_BSRVH2O,,,ES48911,PT,ES48911,100.0
2018,SP_ACS_BSRVH2O,,,ES48911,PT,ES48911,100.0
2010,SP_ACS_BSRVH2O,,,ES48911,PT,ES48911,100.0
2019,SP_ACS_BSRVH2O,,,ES48911,PT,ES48911,100.0
2015,SP_ACS_BSRVH2O,,,ES48911,PT,ES48911,100.0
2014,SP_ACS_BSRVH2O,,,ES48911,PT,ES48911,100.0
2018,SP_ACS_BSRVH2O,,,ES20004,PT,ES20004,100.0
2020,SP_ACS_BSRVH2O,,,ES20004,PT,ES20004,100.0
2023,SP_ACS_BSRVH2O,,,ES20004,PT,ES20004,100.0
2013,SP_ACS_BSRVH2O,,,ES20004,PT,ES20004,100.0
2021,SP_ACS_BSRVH2O,,,ES20004,PT,ES20004,100.0
2019,SP_ACS_BSRVH2O,,,ES20004,PT,ES20004,100.0
2022,SP_ACS_BSRVH2O,,,ES20004,PT,ES20004,100.0
2015,SP_ACS_BSRVH2O,,,ES20004,PT,ES20004,100.0
2016,SP_ACS_BSRVH2O,,,ES20004,PT,ES20004,100.0
2014,SP_ACS_BSRVH2O,,,ES20004,PT,ES20004,100.0
2010,SP_ACS_BSRVH2O,,,ES20004,PT,ES20004,100.0
2023,SP_ACS_BSRVH2O,,,ES20005,PT,ES20005,100.0
2015,SP_ACS_BSRVH2O,,,ES20005,PT,ES20005,100.0
2010,SP_ACS_BSRVH2O,,,ES20005,PT,ES20005,100.0
2018,SP_ACS_BSRVH2O,,,ES20005,PT,ES20005,100.0
2016,SP_ACS_BSRVH2O,,,ES20005,PT,ES20005,100.0
2019,SP_ACS_BSRVH2O,,,ES20005,PT,ES20005,100.0
2013,SP_ACS_BSRVH2O,,,ES20005,PT,ES20005,100.0
2021,SP_ACS_BSRVH2O,,,ES20005,PT,ES20005,100.0
2014,SP_ACS_BSRVH2O,,,ES20005,PT,ES20005,100.0
2020,SP_ACS_BSRVH2O,,,ES20005,PT,ES20005,100.0
2022,SP_ACS_BSRVH2O,,,ES20005,PT,ES20005,100.0
2022,SP_ACS_BSRVH2O,,,ES01001,PT,ES01001,99.9
2014,SP_ACS_BSRVH2O,,,ES01001,PT,ES01001,99.9
2018,SP_ACS_BSRVH2O,,,ES01001,PT,ES01001,99.9
2021,SP_ACS_BSRVH2O,,,ES01001,PT,ES01001,100.0
2015,SP_ACS_BSRVH2O,,,ES01001,PT,ES01001,99.9
2010,SP_ACS_BSRVH2O,,,ES01001,PT,ES01001,99.8
2016,SP_ACS_BSRVH2O,,,ES01001,PT,ES01001,99.9
2013,SP_ACS_BSRVH2O,,,ES01001,PT,ES01001,99.9
2023,SP_ACS_BSRVH2O,,,ES01001,PT,ES01001,99.9
2019,SP_ACS_BSRVH2O,,,ES01001,PT,ES01001,99.9
2020,SP_ACS_BSRVH2O,,,ES01001,PT,ES01001,99.9
2022,SP_ACS_BSRVH2O,,,ES20006,PT,ES20006,100.0
2018,SP_ACS_BSRVH2O,,,ES20006,PT,ES20006,100.0
2023,SP_ACS_BSRVH2O,,,ES20006,PT,ES20006,100.0
2016,SP_ACS_BSRVH2O,,,ES20006,PT,ES20006,100.0
2019,SP_ACS_BSRVH2O,,,ES20006,PT,ES20006,100.0
2010,SP_ACS_BSRVH2O,,,ES20006,PT,ES20006,100.0
2020,SP_ACS_BSRVH2O,,,ES20006,PT,ES20006,100.0
2015,SP_ACS_BSRVH2O,,,ES20006,PT,ES20006,100.0
2014,SP_ACS_BSRVH2O,,,ES20006,PT,ES20006,100.0
2021,SP_ACS_BSRVH2O,,,ES20006,PT,ES20006,100.0
2013,SP_ACS_BSRVH2O,,,ES20006,PT,ES20006,100.0
2023,SP_ACS_BSRVH2O,,,ES48912,PT,ES48912,99.4
2018,SP_ACS_BSRVH2O,,,ES48912,PT,ES48912,99.5
2021,SP_ACS_BSRVH2O,,,ES48912,PT,ES48912,99.5
2016,SP_ACS_BSRVH2O,,,ES48912,PT,ES48912,99.5
2010,SP_ACS_BSRVH2O,,,ES48912,PT,ES48912,99.4
2019,SP_ACS_BSRVH2O,,,ES48912,PT,ES48912,99.4
2022,SP_ACS_BSRVH2O,,,ES48912,PT,ES48912,99.4
2013,SP_ACS_BSRVH2O,,,ES48912,PT,ES48912,99.4
2015,SP_ACS_BSRVH2O,,,ES48912,PT,ES48912,99.4
2020,SP_ACS_BSRVH2O,,,ES48912,PT,ES48912,99.5
2014,SP_ACS_BSRVH2O,,,ES48912,PT,ES48912,99.4
2010,SP_ACS_BSRVH2O,,,ES20906,PT,ES20906,100.0
2018,SP_ACS_BSRVH2O,,,ES20906,PT,ES20906,100.0
2023,SP_ACS_BSRVH2O,,,ES20906,PT,ES20906,100.0
2016,SP_ACS_BSRVH2O,,,ES20906,PT,ES20906,100.0
2019,SP_ACS_BSRVH2O,,,ES20906,PT,ES20906,100.0
2013,SP_ACS_BSRVH2O,,,ES20906,PT,ES20906,100.0
2015,SP_ACS_BSRVH2O,,,ES20906,PT,ES20906,100.0
2022,SP_ACS_BSRVH2O,,,ES20906,PT,ES20906,100.0
2021,SP_ACS_BSRVH2O,,,ES20906,PT,ES20906,100.0
2020,SP_ACS_BSRVH2O,,,ES20906,PT,ES20906,100.0
2014,SP_ACS_BSRVH2O,,,ES20906,PT,ES20906,100.0
2019,SP_ACS_BSRVH2O,,,ES20007,PT,ES20007,100.0
2015,SP_ACS_BSRVH2O,,,ES20007,PT,ES20007,100.0
2014,SP_ACS_BSRVH2O,,,ES20007,PT,ES20007,100.0
2023,SP_ACS_BSRVH2O,,,ES20007,PT,ES20007,100.0
2018,SP_ACS_BSRVH2O,,,ES20007,PT,ES20007,100.0
2013,SP_ACS_BSRVH2O,,,ES20007,PT,ES20007,100.0
2022,SP_ACS_BSRVH2O,,,ES20007,PT,ES20007,100.0
2020,SP_ACS_BSRVH2O,,,ES20007,PT,ES20007,100.0
2021,SP_ACS_BSRVH2O,,,ES20007,PT,ES20007,100.0
2010,SP_ACS_BSRVH2O,,,ES20007,PT,ES20007,100.0
2016,SP_ACS_BSRVH2O,,,ES20007,PT,ES20007,100.0
