Year,Series,Province,Units,Value
2015,Proportion of municipal waste recycled,,%,36.4
2016,Proportion of municipal waste recycled,,%,38.0
2019,Proportion of municipal waste recycled,,%,44.7
2013,Proportion of municipal waste recycled,,%,28.2
2018,Proportion of municipal waste recycled,,%,41.5
2010,Proportion of municipal waste recycled,,%,24.7
2020,Proportion of municipal waste recycled,,%,47.2
2011,Proportion of municipal waste recycled,,%,25.6
2014,Proportion of municipal waste recycled,,%,33.3
2017,Proportion of municipal waste recycled,,%,39.3
2012,Proportion of municipal waste recycled,,%,28.5
2014,Proportion of municipal waste recycled,Araba/Álava,%,27.0
2013,Proportion of municipal waste recycled,Araba/Álava,%,24.2
2020,Proportion of municipal waste recycled,Araba/Álava,%,39.2
2017,Proportion of municipal waste recycled,Araba/Álava,%,31.3
2016,Proportion of municipal waste recycled,Araba/Álava,%,33.7
2018,Proportion of municipal waste recycled,Araba/Álava,%,31.5
2019,Proportion of municipal waste recycled,Araba/Álava,%,38.4
2015,Proportion of municipal waste recycled,Araba/Álava,%,30.6
2013,Proportion of municipal waste recycled,Bizkaia,%,26.6
2015,Proportion of municipal waste recycled,Bizkaia,%,28.7
2018,Proportion of municipal waste recycled,Bizkaia,%,35.8
2014,Proportion of municipal waste recycled,Bizkaia,%,28.2
2017,Proportion of municipal waste recycled,Bizkaia,%,34.8
2019,Proportion of municipal waste recycled,Bizkaia,%,37.9
2016,Proportion of municipal waste recycled,Bizkaia,%,31.2
2020,Proportion of municipal waste recycled,Bizkaia,%,38.1
2020,Proportion of municipal waste recycled,Gipuzkoa,%,69.3
2015,Proportion of municipal waste recycled,Gipuzkoa,%,48.3
2017,Proportion of municipal waste recycled,Gipuzkoa,%,48.7
2018,Proportion of municipal waste recycled,Gipuzkoa,%,52.9
2019,Proportion of municipal waste recycled,Gipuzkoa,%,59.3
2014,Proportion of municipal waste recycled,Gipuzkoa,%,41.9
2013,Proportion of municipal waste recycled,Gipuzkoa,%,31.9
2016,Proportion of municipal waste recycled,Gipuzkoa,%,48.4
