Year,Province,Units,Value
2017,,%,6.3
2011,,%,10.2
2014,,%,7.3
2020,,%,13.9
2010,,%,10.7
2018,,%,9.5
2013,,%,14.1
2015,,%,4.8
2023,,%,11.2
2019,,%,12.7
2016,,%,4.8
2012,,%,9.6
