Year,Series,Sexo,Territorio,Units,Value
2016,SI_COV_PENSN,,,PT,82.8
2021,SI_COV_PENSN,,,PT,82.5
2012,SI_COV_PENSN,,,PT,82.3
2013,SI_COV_PENSN,,ES211,PT,80.6
2024,SI_COV_PENSN,,ES211,PT,81.4
2017,SI_COV_PENSN,,ES211,PT,81.5
2022,SI_COV_PENSN,,ES211,PT,80.7
2015,SI_COV_PENSN,,ES211,PT,80.8
2014,SI_COV_PENSN,,ES211,PT,80.9
2016,SI_COV_PENSN,,ES211,PT,81.0
2010,SI_COV_PENSN,,ES211,PT,79.9
2018,SI_COV_PENSN,,ES211,PT,81.7
2019,SI_COV_PENSN,,ES211,PT,82.0
2012,SI_COV_PENSN,,ES211,PT,80.0
2023,SI_COV_PENSN,,ES211,PT,80.3
2020,SI_COV_PENSN,,ES211,PT,81.7
2011,SI_COV_PENSN,,ES211,PT,80.0
2021,SI_COV_PENSN,,ES211,PT,81.3
2015,SI_COV_PENSN,,ES213,PT,81.2
2017,SI_COV_PENSN,,ES213,PT,81.2
2010,SI_COV_PENSN,,ES213,PT,80.8
2019,SI_COV_PENSN,,ES213,PT,81.3
2014,SI_COV_PENSN,,ES213,PT,81.4
2020,SI_COV_PENSN,,ES213,PT,81.1
2013,SI_COV_PENSN,,ES213,PT,81.4
2024,SI_COV_PENSN,,ES213,PT,81.0
2021,SI_COV_PENSN,,ES213,PT,80.9
2018,SI_COV_PENSN,,ES213,PT,81.2
2023,SI_COV_PENSN,,ES213,PT,80.3
2012,SI_COV_PENSN,,ES213,PT,80.9
2022,SI_COV_PENSN,,ES213,PT,80.5
2011,SI_COV_PENSN,,ES213,PT,80.9
2016,SI_COV_PENSN,,ES213,PT,81.2
2015,SI_COV_PENSN,,ES212,PT,86.1
2017,SI_COV_PENSN,,ES212,PT,86.0
2013,SI_COV_PENSN,,ES212,PT,86.1
2022,SI_COV_PENSN,,ES212,PT,85.4
2019,SI_COV_PENSN,,ES212,PT,86.2
2012,SI_COV_PENSN,,ES212,PT,85.8
2016,SI_COV_PENSN,,ES212,PT,86.2
2018,SI_COV_PENSN,,ES212,PT,86.1
2010,SI_COV_PENSN,,ES212,PT,86.1
2023,SI_COV_PENSN,,ES212,PT,85.0
2021,SI_COV_PENSN,,ES212,PT,85.6
2014,SI_COV_PENSN,,ES212,PT,86.2
2024,SI_COV_PENSN,,ES212,PT,85.4
2011,SI_COV_PENSN,,ES212,PT,85.9
2020,SI_COV_PENSN,,ES212,PT,86.2
2018,SI_COV_PENSN,F,,PT,70.5
2019,SI_COV_PENSN,F,,PT,71.0
2013,SI_COV_PENSN,F,,PT,69.6
2016,SI_COV_PENSN,F,,PT,69.9
2022,SI_COV_PENSN,F,,PT,71.6
2010,SI_COV_PENSN,F,,PT,69.1
2021,SI_COV_PENSN,F,,PT,71.5
2014,SI_COV_PENSN,F,,PT,69.6
2020,SI_COV_PENSN,F,,PT,71.2
2024,SI_COV_PENSN,F,,PT,72.8
2017,SI_COV_PENSN,F,,PT,70.1
2023,SI_COV_PENSN,F,,PT,71.9
2011,SI_COV_PENSN,F,,PT,69.2
2015,SI_COV_PENSN,F,,PT,69.7
2012,SI_COV_PENSN,F,,PT,69.2
2014,SI_COV_PENSN,F,ES211,PT,66.2
2012,SI_COV_PENSN,F,ES211,PT,65.5
2022,SI_COV_PENSN,F,ES211,PT,69.5
2019,SI_COV_PENSN,F,ES211,PT,68.8
2015,SI_COV_PENSN,F,ES211,PT,66.3
2018,SI_COV_PENSN,F,ES211,PT,68.0
2020,SI_COV_PENSN,F,ES211,PT,69.0
2013,SI_COV_PENSN,F,ES211,PT,66.0
2016,SI_COV_PENSN,F,ES211,PT,66.8
2010,SI_COV_PENSN,F,ES211,PT,65.4
2011,SI_COV_PENSN,F,ES211,PT,65.5
2021,SI_COV_PENSN,F,ES211,PT,69.5
2023,SI_COV_PENSN,F,ES211,PT,69.9
2024,SI_COV_PENSN,F,ES211,PT,71.2
2017,SI_COV_PENSN,F,ES211,PT,67.4
2023,SI_COV_PENSN,F,ES213,PT,69.7
2021,SI_COV_PENSN,F,ES213,PT,69.3
2018,SI_COV_PENSN,F,ES213,PT,68.2
2011,SI_COV_PENSN,F,ES213,PT,67.0
2016,SI_COV_PENSN,F,ES213,PT,67.6
2017,SI_COV_PENSN,F,ES213,PT,67.9
2014,SI_COV_PENSN,F,ES213,PT,67.5
2013,SI_COV_PENSN,F,ES213,PT,67.5
2010,SI_COV_PENSN,F,ES213,PT,66.9
2020,SI_COV_PENSN,F,ES213,PT,68.9
2019,SI_COV_PENSN,F,ES213,PT,68.6
2012,SI_COV_PENSN,F,ES213,PT,67.1
2015,SI_COV_PENSN,F,ES213,PT,67.5
2024,SI_COV_PENSN,F,ES213,PT,70.6
2022,SI_COV_PENSN,F,ES213,PT,69.2
2018,SI_COV_PENSN,F,ES212,PT,75.4
2023,SI_COV_PENSN,F,ES212,PT,76.4
2022,SI_COV_PENSN,F,ES212,PT,76.3
2019,SI_COV_PENSN,F,ES212,PT,75.9
2020,SI_COV_PENSN,F,ES212,PT,76.1
2017,SI_COV_PENSN,F,ES212,PT,75.1
2015,SI_COV_PENSN,F,ES212,PT,74.8
2010,SI_COV_PENSN,F,ES212,PT,74.4
2024,SI_COV_PENSN,F,ES212,PT,77.1
2013,SI_COV_PENSN,F,ES212,PT,74.5
