Year,Series,Sex,Units,Value
2013,"Tuberculosis incidence per 100,000 population.",,"Per 100,000",14.8
2015,"Tuberculosis incidence per 100,000 population.",,"Per 100,000",11.8
2023,"Tuberculosis incidence per 100,000 population.",,"Per 100,000",11.0
2022,"Tuberculosis incidence per 100,000 population.",,"Per 100,000",10.8
2012,"Tuberculosis incidence per 100,000 population.",,"Per 100,000",15.8
2021,"Tuberculosis incidence per 100,000 population.",,"Per 100,000",8.4
2019,"Tuberculosis incidence per 100,000 population.",,"Per 100,000",9.0
2014,"Tuberculosis incidence per 100,000 population.",,"Per 100,000",14.8
2016,"Tuberculosis incidence per 100,000 population.",,"Per 100,000",12.7
2017,"Tuberculosis incidence per 100,000 population.",,"Per 100,000",10.5
2018,"Tuberculosis incidence per 100,000 population.",,"Per 100,000",9.9
2020,"Tuberculosis incidence per 100,000 population.",,"Per 100,000",10.7
2016,"Tuberculosis incidence per 100,000 population.",Female,"Per 100,000",9.6
2018,"Tuberculosis incidence per 100,000 population.",Female,"Per 100,000",6.9
2017,"Tuberculosis incidence per 100,000 population.",Female,"Per 100,000",8.5
2020,"Tuberculosis incidence per 100,000 population.",Female,"Per 100,000",7.8
2015,"Tuberculosis incidence per 100,000 population.",Female,"Per 100,000",9.7
2021,"Tuberculosis incidence per 100,000 population.",Female,"Per 100,000",6.7
2023,"Tuberculosis incidence per 100,000 population.",Female,"Per 100,000",8.2
2019,"Tuberculosis incidence per 100,000 population.",Female,"Per 100,000",6.6
2022,"Tuberculosis incidence per 100,000 population.",Female,"Per 100,000",8.5
2012,"Tuberculosis incidence per 100,000 population.",Female,"Per 100,000",12.5
2013,"Tuberculosis incidence per 100,000 population.",Female,"Per 100,000",12.2
2014,"Tuberculosis incidence per 100,000 population.",Female,"Per 100,000",12.1
2018,"Tuberculosis incidence per 100,000 population.",Male,"Per 100,000",13.1
2012,"Tuberculosis incidence per 100,000 population.",Male,"Per 100,000",19.3
2021,"Tuberculosis incidence per 100,000 population.",Male,"Per 100,000",10.1
2014,"Tuberculosis incidence per 100,000 population.",Male,"Per 100,000",17.7
2023,"Tuberculosis incidence per 100,000 population.",Male,"Per 100,000",14.0
2020,"Tuberculosis incidence per 100,000 population.",Male,"Per 100,000",13.9
2016,"Tuberculosis incidence per 100,000 population.",Male,"Per 100,000",15.9
2013,"Tuberculosis incidence per 100,000 population.",Male,"Per 100,000",17.5
2015,"Tuberculosis incidence per 100,000 population.",Male,"Per 100,000",14.0
2017,"Tuberculosis incidence per 100,000 population.",Male,"Per 100,000",12.6
2019,"Tuberculosis incidence per 100,000 population.",Male,"Per 100,000",11.6
2022,"Tuberculosis incidence per 100,000 population.",Male,"Per 100,000",13.3
