Year,Series,Province,County,Municipality,Units,GeoCode,Value
2021,Forest area as a proportion of total area,,,Alegría-Dulantzi,%,Alegría-Dulantzi,32.9
2022,Forest area as a proportion of total area,,,Alegría-Dulantzi,%,Alegría-Dulantzi,32.9
2020,Forest area as a proportion of total area,,,Alegría-Dulantzi,%,Alegría-Dulantzi,32.9
2016,Forest area as a proportion of total area,,,Alegría-Dulantzi,%,Alegría-Dulantzi,32.9
2010,Forest area as a proportion of total area,,,Alegría-Dulantzi,%,Alegría-Dulantzi,33.6
2018,Forest area as a proportion of total area,,,Alkiza,%,Alkiza,68.0
2021,Forest area as a proportion of total area,,,Alkiza,%,Alkiza,68.0
2016,Forest area as a proportion of total area,,,Alkiza,%,Alkiza,68.9
2010,Forest area as a proportion of total area,,,Alkiza,%,Alkiza,70.4
2020,Forest area as a proportion of total area,,,Alkiza,%,Alkiza,68.0
2022,Forest area as a proportion of total area,,,Alkiza,%,Alkiza,67.9
2019,Forest area as a proportion of total area,,,Alkiza,%,Alkiza,68.1
2018,Forest area as a proportion of total area,,,Alonsotegi,%,Alonsotegi,52.4
2019,Forest area as a proportion of total area,,,Alonsotegi,%,Alonsotegi,52.1
2022,Forest area as a proportion of total area,,,Alonsotegi,%,Alonsotegi,54.5
2021,Forest area as a proportion of total area,,,Alonsotegi,%,Alonsotegi,54.5
2016,Forest area as a proportion of total area,,,Alonsotegi,%,Alonsotegi,51.5
2010,Forest area as a proportion of total area,,,Alonsotegi,%,Alonsotegi,47.6
2020,Forest area as a proportion of total area,,,Alonsotegi,%,Alonsotegi,54.6
2019,Forest area as a proportion of total area,,,Altzaga,%,Altzaga,61.1
2018,Forest area as a proportion of total area,,,Altzaga,%,Altzaga,61.1
2020,Forest area as a proportion of total area,,,Altzaga,%,Altzaga,61.1
2021,Forest area as a proportion of total area,,,Altzaga,%,Altzaga,61.8
2010,Forest area as a proportion of total area,,,Altzaga,%,Altzaga,60.4
2016,Forest area as a proportion of total area,,,Altzaga,%,Altzaga,62.6
2022,Forest area as a proportion of total area,,,Altzaga,%,Altzaga,61.8
2020,Forest area as a proportion of total area,,,Altzo,%,Altzo,65.6
2018,Forest area as a proportion of total area,,,Altzo,%,Altzo,65.2
2021,Forest area as a proportion of total area,,,Altzo,%,Altzo,65.7
2016,Forest area as a proportion of total area,,,Altzo,%,Altzo,68.7
2010,Forest area as a proportion of total area,,,Altzo,%,Altzo,69.1
2022,Forest area as a proportion of total area,,,Altzo,%,Altzo,65.8
2019,Forest area as a proportion of total area,,,Altzo,%,Altzo,65.6
2022,Forest area as a proportion of total area,,,Amezketa,%,Amezketa,61.4
2016,Forest area as a proportion of total area,,,Amezketa,%,Amezketa,62.8
2018,Forest area as a proportion of total area,,,Amezketa,%,Amezketa,60.7
2010,Forest area as a proportion of total area,,,Amezketa,%,Amezketa,62.9
2021,Forest area as a proportion of total area,,,Amezketa,%,Amezketa,61.0
2019,Forest area as a proportion of total area,,,Amezketa,%,Amezketa,61.1
2020,Forest area as a proportion of total area,,,Amezketa,%,Amezketa,61.1
2010,Forest area as a proportion of total area,,,Amorebieta-Etxano,%,Amorebieta-Etxano,64.4
2021,Forest area as a proportion of total area,,,Amorebieta-Etxano,%,Amorebieta-Etxano,62.8
2018,Forest area as a proportion of total area,,,Amorebieta-Etxano,%,Amorebieta-Etxano,61.8
2016,Forest area as a proportion of total area,,,Amorebieta-Etxano,%,Amorebieta-Etxano,63.7
2020,Forest area as a proportion of total area,,,Amorebieta-Etxano,%,Amorebieta-Etxano,62.3
2019,Forest area as a proportion of total area,,,Amorebieta-Etxano,%,Amorebieta-Etxano,61.8
2022,Forest area as a proportion of total area,,,Amorebieta-Etxano,%,Amorebieta-Etxano,62.8
2010,Forest area as a proportion of total area,,,Amoroto,%,Amoroto,83.3
2020,Forest area as a proportion of total area,,,Amoroto,%,Amoroto,82.8
2018,Forest area as a proportion of total area,,,Amoroto,%,Amoroto,82.3
2022,Forest area as a proportion of total area,,,Amoroto,%,Amoroto,83.6
2016,Forest area as a proportion of total area,,,Amoroto,%,Amoroto,82.9
2019,Forest area as a proportion of total area,,,Amoroto,%,Amoroto,82.2
2021,Forest area as a proportion of total area,,,Amoroto,%,Amoroto,83.6
2021,Forest area as a proportion of total area,,,Amurrio,%,Amurrio,59.0
2016,Forest area as a proportion of total area,,,Amurrio,%,Amurrio,58.0
2018,Forest area as a proportion of total area,,,Amurrio,%,Amurrio,58.0
2020,Forest area as a proportion of total area,,,Amurrio,%,Amurrio,59.0
2019,Forest area as a proportion of total area,,,Amurrio,%,Amurrio,58.4
2022,Forest area as a proportion of total area,,,Amurrio,%,Amurrio,59.1
2010,Forest area as a proportion of total area,,,Amurrio,%,Amurrio,57.8
2018,Forest area as a proportion of total area,,,Andoain,%,Andoain,57.0
2019,Forest area as a proportion of total area,,,Andoain,%,Andoain,57.0
2022,Forest area as a proportion of total area,,,Andoain,%,Andoain,57.4
2016,Forest area as a proportion of total area,,,Andoain,%,Andoain,58.0
2010,Forest area as a proportion of total area,,,Andoain,%,Andoain,57.5
2020,Forest area as a proportion of total area,,,Andoain,%,Andoain,57.0
2021,Forest area as a proportion of total area,,,Andoain,%,Andoain,57.4
2021,Forest area as a proportion of total area,,,Anoeta,%,Anoeta,50.5
2016,Forest area as a proportion of total area,,,Anoeta,%,Anoeta,52.0
2019,Forest area as a proportion of total area,,,Anoeta,%,Anoeta,50.5
2020,Forest area as a proportion of total area,,,Anoeta,%,Anoeta,50.5
2022,Forest area as a proportion of total area,,,Anoeta,%,Anoeta,50.5
2010,Forest area as a proportion of total area,,,Anoeta,%,Anoeta,53.7
2018,Forest area as a proportion of total area,,,Anoeta,%,Anoeta,50.5
2021,Forest area as a proportion of total area,,,Antzuola,%,Antzuola,75.1
2018,Forest area as a proportion of total area,,,Antzuola,%,Antzuola,75.0
2019,Forest area as a proportion of total area,,,Antzuola,%,Antzuola,75.0
2022,Forest area as a proportion of total area,,,Antzuola,%,Antzuola,75.1
2010,Forest area as a proportion of total area,,,Antzuola,%,Antzuola,80.6
2020,Forest area as a proportion of total area,,,Antzuola,%,Antzuola,75.0
2016,Forest area as a proportion of total area,,,Antzuola,%,Antzuola,77.7
2010,Forest area as a proportion of total area,,,Añana,%,Añana,43.2
2019,Forest area as a proportion of total area,,,Añana,%,Añana,46.2
2022,Forest area as a proportion of total area,,,Añana,%,Añana,46.3
2018,Forest area as a proportion of total area,,,Añana,%,Añana,45.7
2021,Forest area as a proportion of total area,,,Añana,%,Añana,46.2
2016,Forest area as a proportion of total area,,,Añana,%,Añana,45.7
2020,Forest area as a proportion of total area,,,Añana,%,Añana,46.2
2020,Forest area as a proportion of total area,,,Arakaldo,%,Arakaldo,74.9
2019,Forest area as a proportion of total area,,,Arakaldo,%,Arakaldo,74.9
2022,Forest area as a proportion of total area,,,Arakaldo,%,Arakaldo,75.0
2016,Forest area as a proportion of total area,,,Arakaldo,%,Arakaldo,75.8
2021,Forest area as a proportion of total area,,,Arakaldo,%,Arakaldo,74.9
2018,Forest area as a proportion of total area,,,Arakaldo,%,Arakaldo,74.9
2010,Forest area as a proportion of total area,,,Arakaldo,%,Arakaldo,79.6
2021,Forest area as a proportion of total area,,,Arama,%,Arama,51.4
2020,Forest area as a proportion of total area,,,Arama,%,Arama,51.4
2018,Forest area as a proportion of total area,,,Arama,%,Arama,51.3
2019,Forest area as a proportion of total area,,,Arama,%,Arama,51.4
2010,Forest area as a proportion of total area,,,Arama,%,Arama,60.0
2022,Forest area as a proportion of total area,,,Arama,%,Arama,51.5
2016,Forest area as a proportion of total area,,,Arama,%,Arama,54.7
2022,Forest area as a proportion of total area,,,Aramaio,%,Aramaio,78.9
2018,Forest area as a proportion of total area,,,Aramaio,%,Aramaio,78.5
2019,Forest area as a proportion of total area,,,Aramaio,%,Aramaio,78.6
2010,Forest area as a proportion of total area,,,Aramaio,%,Aramaio,77.7
2016,Forest area as a proportion of total area,,,Aramaio,%,Aramaio,78.9
2020,Forest area as a proportion of total area,,,Aramaio,%,Aramaio,78.7
2021,Forest area as a proportion of total area,,,Aramaio,%,Aramaio,78.8
2018,Forest area as a proportion of total area,,,Arantzazu,%,Arantzazu,58.3
2021,Forest area as a proportion of total area,,,Arantzazu,%,Arantzazu,61.0
2020,Forest area as a proportion of total area,,,Arantzazu,%,Arantzazu,60.6
2010,Forest area as a proportion of total area,,,Arantzazu,%,Arantzazu,64.2
2016,Forest area as a proportion of total area,,,Arantzazu,%,Arantzazu,59.9
2022,Forest area as a proportion of total area,,,Arantzazu,%,Arantzazu,61.0
2019,Forest area as a proportion of total area,,,Arantzazu,%,Arantzazu,60.6
2016,Forest area as a proportion of total area,,,Areatza,%,Areatza,86.2
2019,Forest area as a proportion of total area,,,Areatza,%,Areatza,83.6
2021,Forest area as a proportion of total area,,,Areatza,%,Areatza,86.3
2010,Forest area as a proportion of total area,,,Areatza,%,Areatza,89.6
2020,Forest area as a proportion of total area,,,Areatza,%,Areatza,85.4
2022,Forest area as a proportion of total area,,,Areatza,%,Areatza,86.3
2018,Forest area as a proportion of total area,,,Areatza,%,Areatza,83.2
2021,Forest area as a proportion of total area,,,Aretxabaleta,%,Aretxabaleta,55.6
2010,Forest area as a proportion of total area,,,Aretxabaleta,%,Aretxabaleta,51.2
2016,Forest area as a proportion of total area,,,Aretxabaleta,%,Aretxabaleta,55.8
2022,Forest area as a proportion of total area,,,Aretxabaleta,%,Aretxabaleta,55.6
2018,Forest area as a proportion of total area,,,Aretxabaleta,%,Aretxabaleta,54.8
2020,Forest area as a proportion of total area,,,Aretxabaleta,%,Aretxabaleta,55.6
2019,Forest area as a proportion of total area,,,Aretxabaleta,%,Aretxabaleta,55.5
2021,Forest area as a proportion of total area,,,Armiñón,%,Armiñón,6.6
2020,Forest area as a proportion of total area,,,Armiñón,%,Armiñón,6.6
2010,Forest area as a proportion of total area,,,Armiñón,%,Armiñón,8.4
2022,Forest area as a proportion of total area,,,Armiñón,%,Armiñón,6.6
2016,Forest area as a proportion of total area,,,Armiñón,%,Armiñón,6.6
2019,Forest area as a proportion of total area,,,Armiñón,%,Armiñón,6.6
2018,Forest area as a proportion of total area,,,Armiñón,%,Armiñón,6.6
2021,Forest area as a proportion of total area,,,Arraia-Maeztu,%,Arraia-Maeztu,62.6
2020,Forest area as a proportion of total area,,,Arraia-Maeztu,%,Arraia-Maeztu,62.5
2019,Forest area as a proportion of total area,,,Arraia-Maeztu,%,Arraia-Maeztu,62.1
2016,Forest area as a proportion of total area,,,Arraia-Maeztu,%,Arraia-Maeztu,62.1
2022,Forest area as a proportion of total area,,,Arraia-Maeztu,%,Arraia-Maeztu,62.6
2010,Forest area as a proportion of total area,,,Arraia-Maeztu,%,Arraia-Maeztu,61.8
2018,Forest area as a proportion of total area,,,Arraia-Maeztu,%,Arraia-Maeztu,62.1
2016,Forest area as a proportion of total area,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,73.3
2019,Forest area as a proportion of total area,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,72.5
2018,Forest area as a proportion of total area,,,Arrankudiaga-Zollo,%,Arrankudiaga-Zollo,72.6
