Year,Series,Sex,Age,Province,Units,Value
2022,Participation rate in educational activities in the last 12 months,,18-64 years,,%,52.9
2016,Participation rate in educational activities in the last 12 months,,18-64 years,,%,48.1
2011,Participation rate in educational activities in the last 12 months,,18-64 years,,%,46.2
2011,Participation rate in educational activities in the last 12 months,Female,18-64 years,,%,49.9
2022,Participation rate in educational activities in the last 12 months,Female,18-64 years,,%,54.8
2016,Participation rate in educational activities in the last 12 months,Female,18-64 years,,%,48.0
2022,Participation rate in educational activities in the last 12 months,Male,18-64 years,,%,51.0
2011,Participation rate in educational activities in the last 12 months,Male,18-64 years,,%,42.5
2016,Participation rate in educational activities in the last 12 months,Male,18-64 years,,%,48.1
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,,%,81.3
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,,%,81.1
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,,%,75.3
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,,%,80.6
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,,%,79.3
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,,%,79.3
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,,%,79.2
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,,%,71.9
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,,%,79.1
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,,%,81.3
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,,%,72.2
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,,%,75.7
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,,%,80.0
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,,%,80.5
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,,%,83.0
2012,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Araba/Álava,%,71.7
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Araba/Álava,%,80.9
2011,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Araba/Álava,%,68.0
2022,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Araba/Álava,%,79.3
2010,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Araba/Álava,%,69.2
2019,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Araba/Álava,%,81.7
2020,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Araba/Álava,%,78.1
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Araba/Álava,%,80.8
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Araba/Álava,%,79.4
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Araba/Álava,%,76.2
2017,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Araba/Álava,%,76.6
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Araba/Álava,%,76.5
2015,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Araba/Álava,%,81.3
2023,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Araba/Álava,%,76.9
2024,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Araba/Álava,%,80.2
2021,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Bizkaia,%,82.2
2013,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Bizkaia,%,76.7
2018,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Bizkaia,%,79.5
2016,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Bizkaia,%,82.2
2014,Participation rate in formal and non-formal education and training in the last 4 weeks,,15-24 years,Bizkaia,%,79.7
