Year,Units,Value
2010,Index,27.77
2011,Index,14.35
2012,Index,20.93
2013,Index,10.21
2014,Index,9.14
2015,Index,11.32
2016,Index,11.07
2017,Index,16.14
2018,Index,12.75
2019,Index,18.58
2020,Index,4.45
2021,Index,13.03
2022,Index,21.02
2023,Index,4.19
