Year,Occupation,Province,Units,Value
2019,Businesswoman,Araba/Álava,PT,34.6
2015,Businesswoman,Araba/Álava,PT,36.7
2013,Businesswoman,Araba/Álava,PT,31.8
2010,Businesswoman,Araba/Álava,PT,35.2
2012,Businesswoman,Araba/Álava,PT,33.6
2014,Businesswoman,Araba/Álava,PT,33.3
2018,Businesswoman,Araba/Álava,PT,36.0
2016,Businesswoman,Araba/Álava,PT,34.9
2020,Businesswoman,Araba/Álava,PT,30.9
2021,Businesswoman,Araba/Álava,PT,31.3
2023,Businesswoman,Araba/Álava,PT,27.8
2018,Businesswoman,Bizkaia,PT,35.0
2023,Businesswoman,Bizkaia,PT,37.0
2022,Businesswoman,Bizkaia,PT,34.6
2021,Businesswoman,Bizkaia,PT,33.5
2019,Businesswoman,Bizkaia,PT,34.9
2017,Businesswoman,Bizkaia,PT,33.8
2020,Businesswoman,Bizkaia,PT,35.8
2016,Businesswoman,Bizkaia,PT,34.0
2015,Businesswoman,Bizkaia,PT,33.0
2014,Businesswoman,Bizkaia,PT,34.9
2013,Businesswoman,Bizkaia,PT,35.7
2012,Businesswoman,Bizkaia,PT,36.9
2011,Businesswoman,Bizkaia,PT,36.6
2010,Businesswoman,Bizkaia,PT,33.5
2012,Businesswoman,Gipuzkoa,PT,35.6
2016,Businesswoman,Gipuzkoa,PT,35.6
2013,Businesswoman,Gipuzkoa,PT,34.5
2019,Businesswoman,Gipuzkoa,PT,35.6
2021,Businesswoman,Gipuzkoa,PT,34.3
2020,Businesswoman,Gipuzkoa,PT,33.4
2023,Businesswoman,Gipuzkoa,PT,35.5
2022,Businesswoman,Gipuzkoa,PT,32.0
2018,Businesswoman,Gipuzkoa,PT,35.7
2017,Businesswoman,Gipuzkoa,PT,36.2
2015,Businesswoman,Gipuzkoa,PT,33.2
2014,Businesswoman,Gipuzkoa,PT,36.4
2011,Businesswoman,Gipuzkoa,PT,32.6
2010,Businesswoman,Gipuzkoa,PT,30.5
