Year,Series,Alimento,Territorio,Units,Value
2013,AG_FPA_CFPI,ECOICOP011,ES212,IX,-0.2
2020,AG_FPA_CFPI,ECOICOP011,ES212,IX,-0.3
2009,AG_FPA_CFPI,ECOICOP011,ES212,IX,-1.0
2004,AG_FPA_CFPI,ECOICOP011,ES212,IX,0.3
2023,AG_FPA_CFPI,ECOICOP011,ES212,IX,1.9
2022,AG_FPA_CFPI,ECOICOP011,ES212,IX,2.6
2017,AG_FPA_CFPI,ECOICOP011,ES212,IX,-0.5
2012,AG_FPA_CFPI,ECOICOP011,ES212,IX,0.0
2005,AG_FPA_CFPI,ECOICOP011,ES212,IX,0.1
2021,AG_FPA_CFPI,ECOICOP011,ES212,IX,-0.3
2007,AG_FPA_CFPI,ECOICOP011,ES212,IX,0.5
2010,AG_FPA_CFPI,ECOICOP011,ES212,IX,-1.0
2006,AG_FPA_CFPI,ECOICOP011,ES212,IX,0.2
2024,AG_FPA_CFPI,ECOICOP011,ES212,IX,0.1
2014,AG_FPA_CFPI,ECOICOP011,ES212,IX,-0.9
2014,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,97.1
2019,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,98.4
2009,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,92.7
2017,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,95.5
2020,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,99.9
2002,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,70.2
2004,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,75.3
2010,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,92.2
2012,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,97.0
2007,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,84.1
2022,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,113.9
2018,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,96.9
2003,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,72.4
2016,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,97.2
2021,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,100.0
2011,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,95.0
2008,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,91.9
2006,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,80.4
2013,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,98.3
2023,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,126.4
2024,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,129.5
2015,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,96.8
2005,EU_FPA_IPC,ECOICOP_RUB_01_02,,IX,78.0
2012,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,-0.3
2004,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,1.0
2008,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,0.9
2003,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,0.8
2010,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,-0.6
2024,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,0.0
2014,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,-0.8
2016,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,-0.9
2009,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,-0.6
2005,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,0.6
2018,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,-0.3
2015,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,-0.7
2013,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,-0.6
2019,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,0.1
2020,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,-0.3
2006,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,0.3
2022,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,2.0
2023,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,0.6
2021,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,-0.9
2011,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,-0.1
2017,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,-1.0
2007,AG_FPA_CFPI,ECOICOP_RUB_02,,IX,1.3
2003,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,-0.4
2007,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,0.1
2004,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,-0.2
2022,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,2.6
2009,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,-0.4
2011,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,0.3
2020,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,-0.3
2008,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,1.2
2015,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,-0.5
2023,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,1.6
2016,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,-0.2
2014,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,-0.8
2021,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,-0.1
2010,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,-0.7
2024,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,0.0
2013,AG_FPA_CFPI,ECOICOP_RUB_01,,IX,-0.1
