Year,Units,Value
2015,"Per 100,000",6.5
2016,"Per 100,000",14.4
2017,"Per 100,000",15.9
2018,"Per 100,000",16.1
2019,"Per 100,000",17.6
2020,"Per 100,000",15.9
2021,"Per 100,000",18.3
2022,"Per 100,000",21.1
2023,"Per 100,000",30.0
