Year,Sex,Units,Value
2018,,PT,17.7
2014,,PT,18.5
2012,,PT,15.4
2022,,PT,16.5
2008,,PT,14.8
2016,,PT,16.4
2020,,PT,17.8
2008,Female,PT,16.6
2012,Female,PT,16.7
2014,Female,PT,19.4
2016,Female,PT,17.6
2020,Female,PT,18.9
2018,Female,PT,18.8
2022,Female,PT,17.7
2022,Male,PT,15.2
2016,Male,PT,15.1
2012,Male,PT,14.0
2008,Male,PT,12.9
2018,Male,PT,16.5
2020,Male,PT,16.6
2014,Male,PT,17.6
