Year,Series,Erakundea,Lurralde historikoa,Units,Value
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Bizkaia,Ratioa,1.12
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Bizkaia,Ratioa,1.14
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Bizkaia,Ratioa,1.14
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Bizkaia,Ratioa,1.1
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Bizkaia,Ratioa,1.11
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Bizkaia,Ratioa,1.11
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Bizkaia,Ratioa,1.29
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Bizkaia,Ratioa,1.2
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Bizkaia,Ratioa,1.12
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Bizkaia,Ratioa,1.13
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Bizkaia,Ratioa,1.19
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Bizkaia,Ratioa,1.21
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Gipuzkoa,Ratioa,1.24
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Gipuzkoa,Ratioa,1.15
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Gipuzkoa,Ratioa,1.23
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Gipuzkoa,Ratioa,1.18
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Gipuzkoa,Ratioa,1.17
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Gipuzkoa,Ratioa,1.14
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Gipuzkoa,Ratioa,1.23
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Gipuzkoa,Ratioa,1.18
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Gipuzkoa,Ratioa,1.21
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Gipuzkoa,Ratioa,1.25
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Gipuzkoa,Ratioa,1.17
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Gipuzkoa,Ratioa,1.31
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Gipuzkoa,Ratioa,1.19
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",,Gipuzkoa,Ratioa,1.17
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,,Ratioa,1.4
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,,Ratioa,1.34
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Sektore publiko autonomikoa,,Ratioa,1.34
