Year,Series,Erakundea,Lurralde historikoa,Units,Value
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,,Ratioa,0.65
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,,Ratioa,0.65
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,,Ratioa,0.65
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,,Ratioa,0.63
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,,Ratioa,0.64
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,,Ratioa,0.63
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,,Ratioa,0.65
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,,Ratioa,0.63
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Araba / Álava,Ratioa,0.57
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Araba / Álava,Ratioa,0.6
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Araba / Álava,Ratioa,0.58
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Araba / Álava,Ratioa,0.55
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Araba / Álava,Ratioa,0.58
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Araba / Álava,Ratioa,0.58
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Araba / Álava,Ratioa,0.61
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Araba / Álava,Ratioa,0.6
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Araba / Álava,Ratioa,0.58
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Araba / Álava,Ratioa,0.57
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Araba / Álava,Ratioa,0.62
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Araba / Álava,Ratioa,0.57
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Araba / Álava,Ratioa,0.56
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Araba / Álava,Ratioa,0.57
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Bizkaia,Ratioa,0.7
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Bizkaia,Ratioa,0.7
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Bizkaia,Ratioa,0.67
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Bizkaia,Ratioa,0.7
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Bizkaia,Ratioa,0.68
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Bizkaia,Ratioa,0.72
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Bizkaia,Ratioa,0.7
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Bizkaia,Ratioa,0.69
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Bizkaia,Ratioa,0.7
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Bizkaia,Ratioa,0.7
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Bizkaia,Ratioa,0.67
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Bizkaia,Ratioa,0.66
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Bizkaia,Ratioa,0.68
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Bizkaia,Ratioa,0.69
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Gipuzkoa,Ratioa,0.62
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Gipuzkoa,Ratioa,0.61
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Gipuzkoa,Ratioa,0.68
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Gipuzkoa,Ratioa,0.62
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Gipuzkoa,Ratioa,0.62
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Gipuzkoa,Ratioa,0.62
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Gipuzkoa,Ratioa,0.6
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Gipuzkoa,Ratioa,0.63
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Gipuzkoa,Ratioa,0.6
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Gipuzkoa,Ratioa,0.6
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Gipuzkoa,Ratioa,0.6
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Gipuzkoa,Ratioa,0.63
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Gipuzkoa,Ratioa,0.61
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Estatuko sektore publikoa,Gipuzkoa,Ratioa,0.57
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,,Ratioa,1.5
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,,Ratioa,1.49
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,,Ratioa,1.54
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,,Ratioa,1.53
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,,Ratioa,1.57
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,,Ratioa,1.56
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,,Ratioa,1.55
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,,Ratioa,1.53
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,,Ratioa,1.57
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,,Ratioa,1.57
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,,Ratioa,1.56
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,,Ratioa,1.51
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,,Ratioa,1.53
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,,Ratioa,1.47
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Araba / Álava,Ratioa,1.53
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Araba / Álava,Ratioa,1.57
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Araba / Álava,Ratioa,1.55
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Araba / Álava,Ratioa,1.54
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Araba / Álava,Ratioa,1.54
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Araba / Álava,Ratioa,1.57
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Araba / Álava,Ratioa,1.54
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Araba / Álava,Ratioa,1.55
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Araba / Álava,Ratioa,1.55
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Araba / Álava,Ratioa,1.56
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Araba / Álava,Ratioa,1.55
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Araba / Álava,Ratioa,1.53
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Araba / Álava,Ratioa,1.55
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Araba / Álava,Ratioa,1.55
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Bizkaia,Ratioa,1.54
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Bizkaia,Ratioa,1.54
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Bizkaia,Ratioa,1.49
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Bizkaia,Ratioa,1.46
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Bizkaia,Ratioa,1.5
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Bizkaia,Ratioa,1.42
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Bizkaia,Ratioa,1.51
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Bizkaia,Ratioa,1.48
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Bizkaia,Ratioa,1.55
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Bizkaia,Ratioa,1.52
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Bizkaia,Ratioa,1.46
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Bizkaia,Ratioa,1.53
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Bizkaia,Ratioa,1.5
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Bizkaia,Ratioa,1.56
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Gipuzkoa,Ratioa,1.56
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Gipuzkoa,Ratioa,1.61
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Gipuzkoa,Ratioa,1.62
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Gipuzkoa,Ratioa,1.48
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Gipuzkoa,Ratioa,1.59
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Gipuzkoa,Ratioa,1.54
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Gipuzkoa,Ratioa,1.61
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Gipuzkoa,Ratioa,1.59
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Gipuzkoa,Ratioa,1.61
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Gipuzkoa,Ratioa,1.62
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Gipuzkoa,Ratioa,1.53
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Gipuzkoa,Ratioa,1.58
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Gipuzkoa,Ratioa,1.6
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Osasun erakunde autonomikoak,Gipuzkoa,Ratioa,1.58
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,,Ratioa,1.48
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,,Ratioa,1.48
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,,Ratioa,1.48
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,,Ratioa,1.5
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,,Ratioa,1.48
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,,Ratioa,1.48
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,,Ratioa,1.49
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,,Ratioa,1.48
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,,Ratioa,1.48
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,,Ratioa,1.47
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,,Ratioa,1.49
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,,Ratioa,1.49
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,,Ratioa,1.46
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,,Ratioa,1.49
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Araba / Álava,Ratioa,1.48
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Araba / Álava,Ratioa,1.48
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Araba / Álava,Ratioa,1.44
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Araba / Álava,Ratioa,1.47
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Araba / Álava,Ratioa,1.47
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Araba / Álava,Ratioa,1.47
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Araba / Álava,Ratioa,1.47
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Araba / Álava,Ratioa,1.47
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Araba / Álava,Ratioa,1.46
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Araba / Álava,Ratioa,1.45
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Araba / Álava,Ratioa,1.47
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Araba / Álava,Ratioa,1.47
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Araba / Álava,Ratioa,1.47
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Araba / Álava,Ratioa,1.46
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Bizkaia,Ratioa,1.5
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Bizkaia,Ratioa,1.49
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Bizkaia,Ratioa,1.5
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Bizkaia,Ratioa,1.46
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Bizkaia,Ratioa,1.49
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Bizkaia,Ratioa,1.49
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Bizkaia,Ratioa,1.5
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Bizkaia,Ratioa,1.49
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Bizkaia,Ratioa,1.5
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Bizkaia,Ratioa,1.51
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Bizkaia,Ratioa,1.49
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Bizkaia,Ratioa,1.51
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Bizkaia,Ratioa,1.49
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Bizkaia,Ratioa,1.5
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Gipuzkoa,Ratioa,1.46
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Gipuzkoa,Ratioa,1.48
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Gipuzkoa,Ratioa,1.49
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Gipuzkoa,Ratioa,1.48
2015,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Gipuzkoa,Ratioa,1.48
2014,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Gipuzkoa,Ratioa,1.47
2019,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Gipuzkoa,Ratioa,1.5
2012,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Gipuzkoa,Ratioa,1.47
2013,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Gipuzkoa,Ratioa,1.46
2018,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Gipuzkoa,Ratioa,1.47
2017,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Gipuzkoa,Ratioa,1.49
2010,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Gipuzkoa,Ratioa,1.45
2016,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Gipuzkoa,Ratioa,1.47
2011,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Unibertsitateaz kanpoko ikastetxe autonomikoak,Gipuzkoa,Ratioa,1.46
2021,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Foru-aldundiak,,Ratioa,1.27
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Foru-aldundiak,,Ratioa,1.29
2022,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Foru-aldundiak,,Ratioa,1.29
2020,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Foru-aldundiak,,Ratioa,1.27
2023,"Administrazio publikoko emakumeen proportzioa, biztanlerian dauden emakumeen proportzioari dagokionez",Foru-aldundiak,Araba / Álava,Ratioa,1.37
