Year,Series,Territorio histórico,Units,Value
2019,Proporción del PIB generada por el trabajo,,Porcentaje,47.1
2011,Proporción del PIB generada por el trabajo,,Porcentaje,50.0
2016,Proporción del PIB generada por el trabajo,,Porcentaje,47.5
2010,Proporción del PIB generada por el trabajo,,Porcentaje,50.2
2015,Proporción del PIB generada por el trabajo,,Porcentaje,47.9
2021,Proporción del PIB generada por el trabajo,,Porcentaje,47.4
2012,Proporción del PIB generada por el trabajo,,Porcentaje,49.2
2014,Proporción del PIB generada por el trabajo,,Porcentaje,48.2
2020,Proporción del PIB generada por el trabajo,,Porcentaje,49.8
2013,Proporción del PIB generada por el trabajo,,Porcentaje,49.0
2018,Proporción del PIB generada por el trabajo,,Porcentaje,46.9
2017,Proporción del PIB generada por el trabajo,,Porcentaje,47.3
2013,Proporción del PIB generada por el trabajo,Araba/Álava,Porcentaje,50.9
2019,Proporción del PIB generada por el trabajo,Araba/Álava,Porcentaje,48.5
2012,Proporción del PIB generada por el trabajo,Araba/Álava,Porcentaje,50.8
2018,Proporción del PIB generada por el trabajo,Araba/Álava,Porcentaje,48.3
2014,Proporción del PIB generada por el trabajo,Araba/Álava,Porcentaje,49.4
2011,Proporción del PIB generada por el trabajo,Araba/Álava,Porcentaje,51.7
2021,Proporción del PIB generada por el trabajo,Araba/Álava,Porcentaje,49.3
2020,Proporción del PIB generada por el trabajo,Araba/Álava,Porcentaje,51.3
2016,Proporción del PIB generada por el trabajo,Araba/Álava,Porcentaje,48.0
2017,Proporción del PIB generada por el trabajo,Araba/Álava,Porcentaje,48.6
2010,Proporción del PIB generada por el trabajo,Araba/Álava,Porcentaje,54.1
2015,Proporción del PIB generada por el trabajo,Araba/Álava,Porcentaje,48.3
2015,Proporción del PIB generada por el trabajo,Bizkaia,Porcentaje,47.3
2011,Proporción del PIB generada por el trabajo,Bizkaia,Porcentaje,49.5
2010,Proporción del PIB generada por el trabajo,Bizkaia,Porcentaje,49.4
2021,Proporción del PIB generada por el trabajo,Bizkaia,Porcentaje,47.0
2012,Proporción del PIB generada por el trabajo,Bizkaia,Porcentaje,48.7
2017,Proporción del PIB generada por el trabajo,Bizkaia,Porcentaje,46.5
2014,Proporción del PIB generada por el trabajo,Bizkaia,Porcentaje,47.4
2019,Proporción del PIB generada por el trabajo,Bizkaia,Porcentaje,46.5
2016,Proporción del PIB generada por el trabajo,Bizkaia,Porcentaje,46.8
2018,Proporción del PIB generada por el trabajo,Bizkaia,Porcentaje,46.3
2013,Proporción del PIB generada por el trabajo,Bizkaia,Porcentaje,48.4
2020,Proporción del PIB generada por el trabajo,Bizkaia,Porcentaje,49.4
2021,Proporción del PIB generada por el trabajo,Gipuzkoa,Porcentaje,47.2
2010,Proporción del PIB generada por el trabajo,Gipuzkoa,Porcentaje,49.7
2013,Proporción del PIB generada por el trabajo,Gipuzkoa,Porcentaje,48.8
2017,Proporción del PIB generada por el trabajo,Gipuzkoa,Porcentaje,48.0
2012,Proporción del PIB generada por el trabajo,Gipuzkoa,Porcentaje,49.1
2015,Proporción del PIB generada por el trabajo,Gipuzkoa,Porcentaje,48.7
2014,Proporción del PIB generada por el trabajo,Gipuzkoa,Porcentaje,49.0
2016,Proporción del PIB generada por el trabajo,Gipuzkoa,Porcentaje,48.2
2019,Proporción del PIB generada por el trabajo,Gipuzkoa,Porcentaje,47.2
2018,Proporción del PIB generada por el trabajo,Gipuzkoa,Porcentaje,47.3
2020,Proporción del PIB generada por el trabajo,Gipuzkoa,Porcentaje,49.5
2011,Proporción del PIB generada por el trabajo,Gipuzkoa,Porcentaje,49.8
