Year,Series,Profesión,Sexo,Territorio histórico,Units,Value
2017,Densidad y distribución del personal sanitario,Médico/a,,Gipuzkoa,Por 10.000 habitantes,57.0
2016,Densidad y distribución del personal sanitario,Médico/a,,Gipuzkoa,Por 10.000 habitantes,56.1
2011,Densidad y distribución del personal sanitario,Médico/a,,Gipuzkoa,Por 10.000 habitantes,52.0
2021,Densidad y distribución del personal sanitario,Médico/a,,Gipuzkoa,Por 10.000 habitantes,62.8
2019,Densidad y distribución del personal sanitario,Médico/a,,Gipuzkoa,Por 10.000 habitantes,59.6
2015,Densidad y distribución del personal sanitario,Médico/a,,Gipuzkoa,Por 10.000 habitantes,55.4
2013,Densidad y distribución del personal sanitario,Médico/a,,Gipuzkoa,Por 10.000 habitantes,53.8
2022,Densidad y distribución del personal sanitario,Médico/a,,Gipuzkoa,Por 10.000 habitantes,64.7
2023,Densidad y distribución del personal sanitario,Médico/a,,Gipuzkoa,Por 10.000 habitantes,65.5
2020,Densidad y distribución del personal sanitario,Médico/a,,Gipuzkoa,Por 10.000 habitantes,61.1
2014,Densidad y distribución del personal sanitario,Médico/a,,Gipuzkoa,Por 10.000 habitantes,54.9
2023,Densidad y distribución del personal sanitario,Médico/a,Mujer,,Por 10.000 habitantes,80.7
2015,Densidad y distribución del personal sanitario,Médico/a,Mujer,,Por 10.000 habitantes,61.6
2019,Densidad y distribución del personal sanitario,Médico/a,Mujer,,Por 10.000 habitantes,69.8
2020,Densidad y distribución del personal sanitario,Médico/a,Mujer,,Por 10.000 habitantes,72.3
2012,Densidad y distribución del personal sanitario,Médico/a,Mujer,,Por 10.000 habitantes,56.8
2016,Densidad y distribución del personal sanitario,Médico/a,Mujer,,Por 10.000 habitantes,63.3
2011,Densidad y distribución del personal sanitario,Médico/a,Mujer,,Por 10.000 habitantes,54.6
2018,Densidad y distribución del personal sanitario,Médico/a,Mujer,,Por 10.000 habitantes,67.1
2022,Densidad y distribución del personal sanitario,Médico/a,Mujer,,Por 10.000 habitantes,78.1
2017,Densidad y distribución del personal sanitario,Médico/a,Mujer,,Por 10.000 habitantes,65.1
2013,Densidad y distribución del personal sanitario,Médico/a,Mujer,,Por 10.000 habitantes,58.5
2010,Densidad y distribución del personal sanitario,Médico/a,Mujer,,Por 10.000 habitantes,52.5
2021,Densidad y distribución del personal sanitario,Médico/a,Mujer,,Por 10.000 habitantes,75.2
2014,Densidad y distribución del personal sanitario,Médico/a,Mujer,,Por 10.000 habitantes,60.1
2019,Densidad y distribución del personal sanitario,Médico/a,Mujer,Araba/Álava,Por 10.000 habitantes,66.3
2020,Densidad y distribución del personal sanitario,Médico/a,Mujer,Araba/Álava,Por 10.000 habitantes,67.6
2022,Densidad y distribución del personal sanitario,Médico/a,Mujer,Araba/Álava,Por 10.000 habitantes,72.5
2018,Densidad y distribución del personal sanitario,Médico/a,Mujer,Araba/Álava,Por 10.000 habitantes,64.5
2011,Densidad y distribución del personal sanitario,Médico/a,Mujer,Araba/Álava,Por 10.000 habitantes,55.2
