Year,Province,County,Municipality,Units,GeoCode,Value
2021,,,Areatza,PT,Areatza,3.5
2017,,,Areatza,PT,Areatza,2.1
2014,,,Areatza,PT,Areatza,1.7
2015,,,Areatza,PT,Areatza,1.7
2017,,,Aretxabaleta,PT,Aretxabaleta,0.5
2018,,,Aretxabaleta,PT,Aretxabaleta,0.3
2016,,,Aretxabaleta,PT,Aretxabaleta,0.4
2019,,,Aretxabaleta,PT,Aretxabaleta,0.4
2015,,,Aretxabaleta,PT,Aretxabaleta,0.3
2014,,,Aretxabaleta,PT,Aretxabaleta,0.3
2021,,,Aretxabaleta,PT,Aretxabaleta,0.4
2020,,,Aretxabaleta,PT,Aretxabaleta,0.4
2018,,,Armiñón,PT,Armiñón,6.5
2015,,,Armiñón,PT,Armiñón,6.6
2014,,,Armiñón,PT,Armiñón,6.0
2021,,,Armiñón,PT,Armiñón,10.0
2020,,,Armiñón,PT,Armiñón,8.6
2019,,,Armiñón,PT,Armiñón,7.3
2017,,,Armiñón,PT,Armiñón,6.7
2016,,,Armiñón,PT,Armiñón,8.2
2020,,,Arraia-Maeztu,PT,Arraia-Maeztu,10.8
2014,,,Arraia-Maeztu,PT,Arraia-Maeztu,11.4
2016,,,Arraia-Maeztu,PT,Arraia-Maeztu,11.4
2015,,,Arraia-Maeztu,PT,Arraia-Maeztu,9.9
2019,,,Arraia-Maeztu,PT,Arraia-Maeztu,10.9
2021,,,Arraia-Maeztu,PT,Arraia-Maeztu,12.8
2017,,,Arraia-Maeztu,PT,Arraia-Maeztu,12.1
2018,,,Arraia-Maeztu,PT,Arraia-Maeztu,12.1
2020,,,Arrankudiaga-Zollo,PT,Arrankudiaga-Zollo,1.6
2015,,,Arrankudiaga-Zollo,PT,Arrankudiaga-Zollo,1.8
2021,,,Arrankudiaga-Zollo,PT,Arrankudiaga-Zollo,1.9
2019,,,Arrankudiaga-Zollo,PT,Arrankudiaga-Zollo,1.7
2017,,,Arrankudiaga-Zollo,PT,Arrankudiaga-Zollo,1.5
2018,,,Arrankudiaga-Zollo,PT,Arrankudiaga-Zollo,1.3
2014,,,Arrankudiaga-Zollo,PT,Arrankudiaga-Zollo,2.0
2016,,,Arrankudiaga-Zollo,PT,Arrankudiaga-Zollo,1.9
2017,,,Arrasate/Mondragón,PT,Arrasate/Mondragón,0.2
2014,,,Arrasate/Mondragón,PT,Arrasate/Mondragón,0.1
2020,,,Arrasate/Mondragón,PT,Arrasate/Mondragón,0.1
2016,,,Arrasate/Mondragón,PT,Arrasate/Mondragón,0.1
2019,,,Arrasate/Mondragón,PT,Arrasate/Mondragón,0.2
2018,,,Arrasate/Mondragón,PT,Arrasate/Mondragón,0.1
2021,,,Arrasate/Mondragón,PT,Arrasate/Mondragón,0.2
2015,,,Arrasate/Mondragón,PT,Arrasate/Mondragón,0.1
2018,,,Arratzu,PT,Arratzu,10.1
2021,,,Arratzu,PT,Arratzu,10.8
2016,,,Arratzu,PT,Arratzu,11.8
2020,,,Arratzu,PT,Arratzu,10.7
2014,,,Arratzu,PT,Arratzu,10.1
2019,,,Arratzu,PT,Arratzu,11.6
2015,,,Arratzu,PT,Arratzu,12.2
2017,,,Arratzu,PT,Arratzu,11.6
2018,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,6.8
2021,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,6.4
2016,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,8.1
2020,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,5.8
2015,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,8.4
2014,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,9.6
2019,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,6.1
2017,,,Arratzua-Ubarrundia,PT,Arratzua-Ubarrundia,8.0
2021,,,Arrieta,PT,Arrieta,13.8
2020,,,Arrieta,PT,Arrieta,12.4
2014,,,Arrieta,PT,Arrieta,12.6
2016,,,Arrieta,PT,Arrieta,14.0
2017,,,Arrieta,PT,Arrieta,13.6
2019,,,Arrieta,PT,Arrieta,11.0
2018,,,Arrieta,PT,Arrieta,12.2
2015,,,Arrieta,PT,Arrieta,14.2
2015,,,Arrigorriaga,PT,Arrigorriaga,0.2
2018,,,Arrigorriaga,PT,Arrigorriaga,0.2
2019,,,Arrigorriaga,PT,Arrigorriaga,0.3
2014,,,Arrigorriaga,PT,Arrigorriaga,0.2
2016,,,Arrigorriaga,PT,Arrigorriaga,0.2
2017,,,Arrigorriaga,PT,Arrigorriaga,0.2
2020,,,Arrigorriaga,PT,Arrigorriaga,0.3
2021,,,Arrigorriaga,PT,Arrigorriaga,0.4
2014,,,Artea,PT,Artea,1.5
2017,,,Artea,PT,Artea,1.8
2016,,,Artea,PT,Artea,1.9
2021,,,Artea,PT,Artea,2.1
2015,,,Artea,PT,Artea,1.9
2018,,,Artea,PT,Artea,1.6
2019,,,Artea,PT,Artea,1.7
2020,,,Artea,PT,Artea,1.9
2021,,,Artzentales,PT,Artzentales,17.7
2017,,,Artzentales,PT,Artzentales,11.3
2014,,,Artzentales,PT,Artzentales,11.0
2016,,,Artzentales,PT,Artzentales,10.9
2020,,,Artzentales,PT,Artzentales,13.5
2015,,,Artzentales,PT,Artzentales,9.1
2018,,,Artzentales,PT,Artzentales,12.2
2019,,,Artzentales,PT,Artzentales,12.2
2015,,,Artziniega,PT,Artziniega,2.0
2014,,,Artziniega,PT,Artziniega,2.6
2021,,,Artziniega,PT,Artziniega,2.5
2017,,,Artziniega,PT,Artziniega,2.1
2018,,,Artziniega,PT,Artziniega,2.4
2020,,,Artziniega,PT,Artziniega,1.5
2016,,,Artziniega,PT,Artziniega,1.9
2019,,,Artziniega,PT,Artziniega,1.8
2017,,,Asparrena,PT,Asparrena,1.5
2015,,,Asparrena,PT,Asparrena,2.8
2021,,,Asparrena,PT,Asparrena,1.4
2018,,,Asparrena,PT,Asparrena,1.4
2014,,,Asparrena,PT,Asparrena,3.1
2019,,,Asparrena,PT,Asparrena,1.2
2016,,,Asparrena,PT,Asparrena,2.2
2020,,,Asparrena,PT,Asparrena,1.5
2014,,,Asteasu,PT,Asteasu,2.0
2019,,,Asteasu,PT,Asteasu,1.3
2017,,,Asteasu,PT,Asteasu,1.4
2020,,,Asteasu,PT,Asteasu,1.3
2018,,,Asteasu,PT,Asteasu,1.2
2015,,,Asteasu,PT,Asteasu,1.9
2021,,,Asteasu,PT,Asteasu,1.1
2016,,,Asteasu,PT,Asteasu,1.5
2014,,,Astigarraga,PT,Astigarraga,0.1
2018,,,Astigarraga,PT,Astigarraga,0.1
2016,,,Astigarraga,PT,Astigarraga,0.1
2020,,,Astigarraga,PT,Astigarraga,0.2
2019,,,Astigarraga,PT,Astigarraga,0.2
2015,,,Astigarraga,PT,Astigarraga,0.1
2017,,,Astigarraga,PT,Astigarraga,0.1
2021,,,Astigarraga,PT,Astigarraga,0.3
2014,,,Ataun,PT,Ataun,7.6
2017,,,Ataun,PT,Ataun,7.1
2016,,,Ataun,PT,Ataun,6.5
2015,,,Ataun,PT,Ataun,6.8
2021,,,Ataun,PT,Ataun,7.6
2020,,,Ataun,PT,Ataun,6.5
2018,,,Ataun,PT,Ataun,5.5
2019,,,Ataun,PT,Ataun,6.9
2019,,,Atxondo,PT,Atxondo,1.0
2014,,,Atxondo,PT,Atxondo,0.7
2021,,,Atxondo,PT,Atxondo,1.2
2017,,,Atxondo,PT,Atxondo,0.8
2018,,,Atxondo,PT,Atxondo,0.9
2016,,,Atxondo,PT,Atxondo,0.8
2015,,,Atxondo,PT,Atxondo,0.6
2020,,,Atxondo,PT,Atxondo,0.9
2014,,,Aulesti,PT,Aulesti,5.3
2018,,,Aulesti,PT,Aulesti,7.1
2019,,,Aulesti,PT,Aulesti,7.9
2015,,,Aulesti,PT,Aulesti,5.6
2017,,,Aulesti,PT,Aulesti,7.4
2021,,,Aulesti,PT,Aulesti,9.4
2020,,,Aulesti,PT,Aulesti,6.5
2016,,,Aulesti,PT,Aulesti,7.5
2018,,,Ayala/Aiara,PT,Ayala/Aiara,7.0
2020,,,Ayala/Aiara,PT,Ayala/Aiara,5.4
2021,,,Ayala/Aiara,PT,Ayala/Aiara,6.9
2016,,,Ayala/Aiara,PT,Ayala/Aiara,7.1
2015,,,Ayala/Aiara,PT,Ayala/Aiara,8.3
2014,,,Ayala/Aiara,PT,Ayala/Aiara,10.7
2017,,,Ayala/Aiara,PT,Ayala/Aiara,7.6
2019,,,Ayala/Aiara,PT,Ayala/Aiara,5.5
2019,,,Azkoitia,PT,Azkoitia,0.8
2015,,,Azkoitia,PT,Azkoitia,0.5
2021,,,Azkoitia,PT,Azkoitia,0.8
2016,,,Azkoitia,PT,Azkoitia,0.6
2018,,,Azkoitia,PT,Azkoitia,0.6
2014,,,Azkoitia,PT,Azkoitia,0.5
2020,,,Azkoitia,PT,Azkoitia,0.7
2017,,,Azkoitia,PT,Azkoitia,0.8
2014,,,Azpeitia,PT,Azpeitia,0.5
2021,,,Azpeitia,PT,Azpeitia,0.9
2015,,,Azpeitia,PT,Azpeitia,0.6
2016,,,Azpeitia,PT,Azpeitia,0.7
2018,,,Azpeitia,PT,Azpeitia,0.6
2017,,,Azpeitia,PT,Azpeitia,0.8
2020,,,Azpeitia,PT,Azpeitia,0.8
2019,,,Azpeitia,PT,Azpeitia,0.8
2021,,,Bakio,PT,Bakio,3.3
2019,,,Bakio,PT,Bakio,2.6
2016,,,Bakio,PT,Bakio,3.6
2014,,,Bakio,PT,Bakio,4.5
2017,,,Bakio,PT,Bakio,3.0
2020,,,Bakio,PT,Bakio,2.8
2018,,,Bakio,PT,Bakio,2.4
2015,,,Bakio,PT,Bakio,4.4
2018,,,Baliarrain,PT,Baliarrain,5.6
2015,,,Baliarrain,PT,Baliarrain,7.4
2021,,,Baliarrain,PT,Baliarrain,4.6
2019,,,Baliarrain,PT,Baliarrain,6.1
2014,,,Baliarrain,PT,Baliarrain,8.6
2016,,,Baliarrain,PT,Baliarrain,6.5
2017,,,Baliarrain,PT,Baliarrain,6.4
2020,,,Baliarrain,PT,Baliarrain,5.6
2017,,,Balmaseda,PT,Balmaseda,0.8
2018,,,Balmaseda,PT,Balmaseda,0.8
2020,,,Balmaseda,PT,Balmaseda,0.9
2016,,,Balmaseda,PT,Balmaseda,0.8
2014,,,Balmaseda,PT,Balmaseda,0.6
2021,,,Balmaseda,PT,Balmaseda,1.2
2015,,,Balmaseda,PT,Balmaseda,0.6
2019,,,Balmaseda,PT,Balmaseda,0.8
2016,,,Baños de Ebro/Mañueta,PT,Baños de Ebro/Mañueta,30.7
2014,,,Baños de Ebro/Mañueta,PT,Baños de Ebro/Mañueta,24.0
2017,,,Baños de Ebro/Mañueta,PT,Baños de Ebro/Mañueta,31.1
2019,,,Baños de Ebro/Mañueta,PT,Baños de Ebro/Mañueta,32.1
2015,,,Baños de Ebro/Mañueta,PT,Baños de Ebro/Mañueta,29.4
2018,,,Baños de Ebro/Mañueta,PT,Baños de Ebro/Mañueta,33.4
2021,,,Baños de Ebro/Mañueta,PT,Baños de Ebro/Mañueta,32.6
2020,,,Baños de Ebro/Mañueta,PT,Baños de Ebro/Mañueta,35.6
2016,,,Barakaldo,PT,Barakaldo,0.0
2014,,,Barakaldo,PT,Barakaldo,0.0
2017,,,Barakaldo,PT,Barakaldo,0.0
2021,,,Barakaldo,PT,Barakaldo,0.0
2020,,,Barakaldo,PT,Barakaldo,0.0
2015,,,Barakaldo,PT,Barakaldo,0.0
2019,,,Barakaldo,PT,Barakaldo,0.0
2018,,,Barakaldo,PT,Barakaldo,0.0
2019,,,Barrika,PT,Barrika,1.6
2016,,,Barrika,PT,Barrika,1.4
2018,,,Barrika,PT,Barrika,1.5
2020,,,Barrika,PT,Barrika,1.8
2021,,,Barrika,PT,Barrika,1.6
2015,,,Barrika,PT,Barrika,1.2
2017,,,Barrika,PT,Barrika,1.7
2014,,,Barrika,PT,Barrika,1.0
2014,,,Barrundia,PT,Barrundia,27.9
2016,,,Barrundia,PT,Barrundia,24.5
2021,,,Barrundia,PT,Barrundia,27.4
2017,,,Barrundia,PT,Barrundia,25.4
2015,,,Barrundia,PT,Barrundia,23.3
2020,,,Barrundia,PT,Barrundia,24.0
2019,,,Barrundia,PT,Barrundia,23.9
2018,,,Barrundia,PT,Barrundia,24.8
2014,,,Basauri,PT,Basauri,0.1
2015,,,Basauri,PT,Basauri,0.1
2019,,,Basauri,PT,Basauri,0.0
2017,,,Basauri,PT,Basauri,0.0
2021,,,Basauri,PT,Basauri,0.0
2020,,,Basauri,PT,Basauri,0.0
2018,,,Basauri,PT,Basauri,0.0
2016,,,Basauri,PT,Basauri,0.0
2019,,,Beasain,PT,Beasain,0.1
2015,,,Beasain,PT,Beasain,0.2
2018,,,Beasain,PT,Beasain,0.1
2016,,,Beasain,PT,Beasain,0.2
2021,,,Beasain,PT,Beasain,0.2
2014,,,Beasain,PT,Beasain,0.2
2017,,,Beasain,PT,Beasain,0.2
2020,,,Beasain,PT,Beasain,0.1
2016,,,Bedia,PT,Bedia,2.1
2017,,,Bedia,PT,Bedia,2.3
2014,,,Bedia,PT,Bedia,2.0
2019,,,Bedia,PT,Bedia,2.3
2018,,,Bedia,PT,Bedia,2.3
2015,,,Bedia,PT,Bedia,1.9
2021,,,Bedia,PT,Bedia,2.9
2020,,,Bedia,PT,Bedia,2.7
2021,,,Beizama,PT,Beizama,22.2
2014,,,Beizama,PT,Beizama,14.1
2017,,,Beizama,PT,Beizama,18.0
2018,,,Beizama,PT,Beizama,16.7
2016,,,Beizama,PT,Beizama,17.3
2015,,,Beizama,PT,Beizama,14.9
2020,,,Beizama,PT,Beizama,18.5
2019,,,Beizama,PT,Beizama,21.4
2020,,,Belauntza,PT,Belauntza,0.9
2019,,,Belauntza,PT,Belauntza,1.0
2017,,,Belauntza,PT,Belauntza,1.1
2016,,,Belauntza,PT,Belauntza,1.2
2021,,,Belauntza,PT,Belauntza,0.9
2018,,,Belauntza,PT,Belauntza,0.8
2015,,,Belauntza,PT,Belauntza,1.3
2014,,,Belauntza,PT,Belauntza,1.5
2014,,,Berango,PT,Berango,1.0
2018,,,Berango,PT,Berango,0.5
2016,,,Berango,PT,Berango,0.7
2020,,,Berango,PT,Berango,0.4
2019,,,Berango,PT,Berango,0.4
2021,,,Berango,PT,Berango,0.3
2017,,,Berango,PT,Berango,0.6
2015,,,Berango,PT,Berango,0.8
2014,,,Berantevilla,PT,Berantevilla,3.7
2019,,,Berantevilla,PT,Berantevilla,3.5
2015,,,Berantevilla,PT,Berantevilla,5.4
2020,,,Berantevilla,PT,Berantevilla,3.9
2017,,,Berantevilla,PT,Berantevilla,3.6
2016,,,Berantevilla,PT,Berantevilla,4.4
2018,,,Berantevilla,PT,Berantevilla,3.9
2021,,,Berantevilla,PT,Berantevilla,5.4
2019,,,Berastegi,PT,Berastegi,3.3
2020,,,Berastegi,PT,Berastegi,2.8
2016,,,Berastegi,PT,Berastegi,2.6
2015,,,Berastegi,PT,Berastegi,2.5
2014,,,Berastegi,PT,Berastegi,2.4
2021,,,Berastegi,PT,Berastegi,2.9
2017,,,Berastegi,PT,Berastegi,3.3
2018,,,Berastegi,PT,Berastegi,2.4
2015,,,Bergara,PT,Bergara,0.7
2018,,,Bergara,PT,Bergara,0.5
2016,,,Bergara,PT,Bergara,0.7
2021,,,Bergara,PT,Bergara,0.7
2014,,,Bergara,PT,Bergara,0.6
2017,,,Bergara,PT,Bergara,0.8
2019,,,Bergara,PT,Bergara,0.7
2020,,,Bergara,PT,Bergara,0.6
