Year,Series,SectorEmisor,Units,Value
2022,EN_ATM_GHGT_AIP,INDUSTRIA,TCO2E,3227390.65
2016,EN_ATM_GHGT_AIP,ENERGETIKO,TCO2E,6244747.83
2010,EN_ATM_GHGT_AIP,,TCO2E,21745903.02
2012,EN_ATM_GHGT_AIP,ENERGETIKO,TCO2E,7865261.61
2021,EN_ATM_GHGT_AIP,ZERBITZU,TCO2E,387872.45
2019,EN_ATM_GHGT_AIP,ENERGETIKO,TCO2E,6091976.38
2012,EN_ATM_GHGT_AIP,,TCO2E,20446954.85
2020,EN_ATM_GHGT_AIP,GARRAIO,TCO2E,5699307.41
2011,EN_ATM_GHGT_AIP,EGOITZA,TCO2E,777149.33
2013,EN_ATM_GHGT_AIP,GARRAIO,TCO2E,5462200.41
2021,EN_ATM_GHGT_AIP,EGOITZA,TCO2E,881426.86
2014,EN_ATM_GHGT_AIP,GARRAIO,TCO2E,5649654.36
2013,EN_ATM_GHGT_AIP,NEKAZARI,TCO2E,846985.75
2012,EN_ATM_GHGT_AIP,GARRAIO,TCO2E,5394772.62
2016,EN_ATM_GHGT_AIP,ZERBITZU,TCO2E,408565.73
2021,EN_ATM_GHGT_AIP,GARRAIO,TCO2E,6037990.74
2016,EN_ATM_GHGT_AIP,NEKAZARI,TCO2E,805621.19
2017,EN_ATM_GHGT_AIP,GARRAIO,TCO2E,6499841.73
2017,EN_ATM_GHGT_AIP,,TCO2E,19738340.42
2023,EN_ATM_GHGT_AIP,GARRAIO,TCO2E,6091518.96
2012,EN_ATM_GHGT_AIP,HONDAKIN,TCO2E,1055861.33
2010,EN_ATM_GHGT_AIP,HONDAKIN,TCO2E,1085275.74
2020,EN_ATM_GHGT_AIP,,TCO2E,16458399.66
2023,EN_ATM_GHGT_AIP,EGOITZA,TCO2E,603362.27
2016,EN_ATM_GHGT_AIP,HONDAKIN,TCO2E,934225.94
2019,EN_ATM_GHGT_AIP,NEKAZARI,TCO2E,698728.13
2013,EN_ATM_GHGT_AIP,,TCO2E,18813755.08
2015,EN_ATM_GHGT_AIP,INDUSTRIA,TCO2E,3625123.77
2017,EN_ATM_GHGGDP,,KG_CO2_EQ_PER_GDP_EUR,0.24
2010,EN_ATM_GHGGDP,,KG_CO2_EQ_PER_GDP_EUR,0.29
2019,EN_ATM_GHGGDP,,KG_CO2_EQ_PER_GDP_EUR,0.22
2020,EN_ATM_GHGGDP,,KG_CO2_EQ_PER_GDP_EUR,0.21
2012,EN_ATM_GHGGDP,,KG_CO2_EQ_PER_GDP_EUR,0.28
2011,EN_ATM_GHGGDP,,KG_CO2_EQ_PER_GDP_EUR,0.27
2023,EN_ATM_GHGGDP,,KG_CO2_EQ_PER_GDP_EUR,0.18
2015,EN_ATM_GHGGDP,,KG_CO2_EQ_PER_GDP_EUR,0.26
2014,EN_ATM_GHGGDP,,KG_CO2_EQ_PER_GDP_EUR,0.25
2013,EN_ATM_GHGGDP,,KG_CO2_EQ_PER_GDP_EUR,0.26
2021,EN_ATM_GHGGDP,,KG_CO2_EQ_PER_GDP_EUR,0.21
2022,EN_ATM_GHGGDP,,KG_CO2_EQ_PER_GDP_EUR,0.21
2016,EN_ATM_GHGGDP,,KG_CO2_EQ_PER_GDP_EUR,0.24
2018,EN_ATM_GHGGDP,,KG_CO2_EQ_PER_GDP_EUR,0.23
2021,EN_ATM_GHGPC,,T_CO2_PER_CAPITA,8.04
2019,EN_ATM_GHGPC,,T_CO2_PER_CAPITA,8.48
2016,EN_ATM_GHGPC,,T_CO2_PER_CAPITA,8.62
2017,EN_ATM_GHGPC,,T_CO2_PER_CAPITA,9.06
2023,EN_ATM_GHGPC,,T_CO2_PER_CAPITA,7.36
2018,EN_ATM_GHGPC,,T_CO2_PER_CAPITA,8.74
2010,EN_ATM_GHGPC,,T_CO2_PER_CAPITA,10.01
2012,EN_ATM_GHGPC,,T_CO2_PER_CAPITA,9.38
2014,EN_ATM_GHGPC,,T_CO2_PER_CAPITA,8.67
2015,EN_ATM_GHGPC,,T_CO2_PER_CAPITA,8.96
2013,EN_ATM_GHGPC,,T_CO2_PER_CAPITA,8.65
2020,EN_ATM_GHGPC,,T_CO2_PER_CAPITA,7.49
