Year,Sexua,Units,Value
2016,,%,0.0
2023,,%,1.2
2022,,%,0.7
2010,,%,0.1
2020,,%,0.1
2017,,%,0.0
2015,,%,0.0
2013,,%,0.2
2014,,%,0.4
2024,,%,1.3
2021,,%,0.7
2019,,%,1.1
2012,,%,0.7
2011,,%,0.2
2018,,%,1.1
2010,Emakumea,%,0.1
2011,Emakumea,%,0.2
2012,Emakumea,%,0.4
2014,Emakumea,%,0.4
2015,Emakumea,%,0.0
2016,Emakumea,%,0.0
2017,Emakumea,%,0.0
2019,Emakumea,%,1.3
2013,Emakumea,%,0.2
2020,Emakumea,%,0.2
2021,Emakumea,%,0.7
2022,Emakumea,%,0.9
2018,Emakumea,%,0.9
2023,Emakumea,%,1.3
2024,Emakumea,%,1.7
2024,Gizona,%,0.9
2017,Gizona,%,0.0
2013,Gizona,%,0.2
2010,Gizona,%,0.1
2018,Gizona,%,1.3
2019,Gizona,%,0.9
2011,Gizona,%,0.2
2014,Gizona,%,0.4
2020,Gizona,%,0.0
2021,Gizona,%,0.6
2015,Gizona,%,0.0
2012,Gizona,%,1.1
2022,Gizona,%,0.5
2023,Gizona,%,1.0
2016,Gizona,%,0.0
