Year,Sexo,Units,Value
2018,,Porcentaje,33.4
2023,,Porcentaje,36.1
2013,,Porcentaje,35.6
2013,Mujer,Porcentaje,36.4
2018,Mujer,Porcentaje,30.3
2023,Mujer,Porcentaje,34.3
2023,Hombre,Porcentaje,37.7
2018,Hombre,Porcentaje,34.1
2013,Hombre,Porcentaje,35.0
