Year,Series,Territorio histórico,Units,Value
2020,Pasajeros transportados por vía aérea,,Miles de pasajeros,1817.6
2012,Pasajeros transportados por vía aérea,,Miles de pasajeros,4458.2
2011,Pasajeros transportados por vía aérea,,Miles de pasajeros,4322.4
2022,Pasajeros transportados por vía aérea,,Miles de pasajeros,5748.5
2025,Pasajeros transportados por vía aérea,,Miles de pasajeros,7842.5
2024,Pasajeros transportados por vía aérea,,Miles de pasajeros,7528.0
2016,Pasajeros transportados por vía aérea,,Miles de pasajeros,4889.7
2023,Pasajeros transportados por vía aérea,,Miles de pasajeros,7129.0
2015,Pasajeros transportados por vía aérea,,Miles de pasajeros,4544.0
2019,Pasajeros transportados por vía aérea,,Miles de pasajeros,6400.3
2021,Pasajeros transportados por vía aérea,,Miles de pasajeros,2864.8
2018,Pasajeros transportados por vía aérea,,Miles de pasajeros,5899.7
2017,Pasajeros transportados por vía aérea,,Miles de pasajeros,5339.9
2010,Pasajeros transportados por vía aérea,,Miles de pasajeros,4217.1
2013,Pasajeros transportados por vía aérea,,Miles de pasajeros,4052.7
2014,Pasajeros transportados por vía aérea,,Miles de pasajeros,4267.8
2024,Pasajeros transportados por vía aérea,Araba/Álava,Miles de pasajeros,263.9
2021,Pasajeros transportados por vía aérea,Araba/Álava,Miles de pasajeros,128.4
2023,Pasajeros transportados por vía aérea,Araba/Álava,Miles de pasajeros,309.9
2022,Pasajeros transportados por vía aérea,Araba/Álava,Miles de pasajeros,235.4
2018,Pasajeros transportados por vía aérea,Araba/Álava,Miles de pasajeros,140.9
2025,Pasajeros transportados por vía aérea,Araba/Álava,Miles de pasajeros,307.2
2017,Pasajeros transportados por vía aérea,Araba/Álava,Miles de pasajeros,84.3
2014,Pasajeros transportados por vía aérea,Araba/Álava,Miles de pasajeros,7.1
2015,Pasajeros transportados por vía aérea,Araba/Álava,Miles de pasajeros,11.2
2016,Pasajeros transportados por vía aérea,Araba/Álava,Miles de pasajeros,36.9
2020,Pasajeros transportados por vía aérea,Araba/Álava,Miles de pasajeros,43.8
2019,Pasajeros transportados por vía aérea,Araba/Álava,Miles de pasajeros,174.0
2011,Pasajeros transportados por vía aérea,Araba/Álava,Miles de pasajeros,28.2
2013,Pasajeros transportados por vía aérea,Araba/Álava,Miles de pasajeros,6.9
2012,Pasajeros transportados por vía aérea,Araba/Álava,Miles de pasajeros,24.4
2010,Pasajeros transportados por vía aérea,Araba/Álava,Miles de pasajeros,42.1
2015,Pasajeros transportados por vía aérea,Bizkaia,Miles de pasajeros,4277.7
2020,Pasajeros transportados por vía aérea,Bizkaia,Miles de pasajeros,1690.0
2019,Pasajeros transportados por vía aérea,Bizkaia,Miles de pasajeros,5905.8
2013,Pasajeros transportados por vía aérea,Bizkaia,Miles de pasajeros,3800.8
2018,Pasajeros transportados por vía aérea,Bizkaia,Miles de pasajeros,5469.4
2012,Pasajeros transportados por vía aérea,Bizkaia,Miles de pasajeros,4171.1
2010,Pasajeros transportados por vía aérea,Bizkaia,Miles de pasajeros,3889.0
2016,Pasajeros transportados por vía aérea,Bizkaia,Miles de pasajeros,4588.3
2024,Pasajeros transportados por vía aérea,Bizkaia,Miles de pasajeros,6777.6
2011,Pasajeros transportados por vía aérea,Bizkaia,Miles de pasajeros,4046.2
2021,Pasajeros transportados por vía aérea,Bizkaia,Miles de pasajeros,2581.1
2022,Pasajeros transportados por vía aérea,Bizkaia,Miles de pasajeros,5129.6
2023,Pasajeros transportados por vía aérea,Bizkaia,Miles de pasajeros,6336.4
2025,Pasajeros transportados por vía aérea,Bizkaia,Miles de pasajeros,7062.7
2014,Pasajeros transportados por vía aérea,Bizkaia,Miles de pasajeros,4015.4
2017,Pasajeros transportados por vía aérea,Bizkaia,Miles de pasajeros,4973.8
2022,Pasajeros transportados por vía aérea,Gipuzkoa,Miles de pasajeros,383.6
2011,Pasajeros transportados por vía aérea,Gipuzkoa,Miles de pasajeros,248.1
2025,Pasajeros transportados por vía aérea,Gipuzkoa,Miles de pasajeros,472.7
2024,Pasajeros transportados por vía aérea,Gipuzkoa,Miles de pasajeros,486.5
2020,Pasajeros transportados por vía aérea,Gipuzkoa,Miles de pasajeros,83.9
2023,Pasajeros transportados por vía aérea,Gipuzkoa,Miles de pasajeros,482.7
2021,Pasajeros transportados por vía aérea,Gipuzkoa,Miles de pasajeros,155.3
2019,Pasajeros transportados por vía aérea,Gipuzkoa,Miles de pasajeros,320.4
2018,Pasajeros transportados por vía aérea,Gipuzkoa,Miles de pasajeros,289.4
