Year,Sexo,Edad,Residencia,Personas sin y con discapacidad,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2015,,16 años y más,,,,,,%,,15.7
2019,,16 años y más,,,,,,%,,9.8
2012,,16 años y más,,,,,,%,,11.8
2014,,16 años y más,,,,,,%,,16.1
2010,,16 años y más,,,,,,%,,9.2
2016,,16 años y más,,,,,,%,,13.8
2018,,16 años y más,,,,,,%,,10.5
2017,,16 años y más,,,,,,%,,11.6
2011,,16 años y más,,,,,,%,,10.8
2021,,16 años y más,,,,,,%,,10.0
2023,,16 años y más,,,,,,%,,7.8
2013,,16 años y más,,,,,,%,,15.1
2022,,16 años y más,,,,,,%,,8.6
2020,,16 años y más,,,,,,%,,10.6
2016,,16 años y más,,,,,Abadiño,%,Abadiño,12.0
2021,,16 años y más,,,,,Abadiño,%,Abadiño,10.7
2018,,16 años y más,,,,,Abadiño,%,Abadiño,9.7
2019,,16 años y más,,,,,Abadiño,%,Abadiño,9.1
2020,,16 años y más,,,,,Abadiño,%,Abadiño,8.7
2010,,16 años y más,,,,,Abadiño,%,Abadiño,9.2
2015,,16 años y más,,,,,Abadiño,%,Abadiño,13.9
2019,,16 años y más,,,,,Abaltzisketa,%,Abaltzisketa,5.0
2020,,16 años y más,,,,,Abaltzisketa,%,Abaltzisketa,2.9
2010,,16 años y más,,,,,Abaltzisketa,%,Abaltzisketa,7.1
2021,,16 años y más,,,,,Abaltzisketa,%,Abaltzisketa,3.0
2016,,16 años y más,,,,,Abaltzisketa,%,Abaltzisketa,7.5
2018,,16 años y más,,,,,Abaltzisketa,%,Abaltzisketa,10.1
2015,,16 años y más,,,,,Abaltzisketa,%,Abaltzisketa,6.6
2021,,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,14.3
2018,,16 años y más,,,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,14.1
