Year,Units,Value
2010,Index,27.8
2011,Index,14.36
2012,Index,20.94
2013,Index,10.21
2014,Index,9.1
2015,Index,11.36
2016,Index,11.09
2017,Index,16.19
2018,Index,12.84
2019,Index,18.75
2020,Index,4.52
2021,Index,13.46
2022,Index,22.47
