Year,Series,Sexo,Territorio histórico,Units,Value
2019,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,31.3
2017,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,29.0
2016,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,27.2
2015,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,39.5
2020,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,29.9
2021,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,30.0
2023,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,27.8
2018,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,41.1
2022,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,,Por 100.000,37.1
2020,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,26.3
2015,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,34.8
2019,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,26.9
2021,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,23.0
2023,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,21.0
2018,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,35.5
2022,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,31.4
2017,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,23.7
2016,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Araba/Álava,Por 100.000,23.9
2019,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,36.2
2017,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,35.4
2018,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,46.1
2015,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,45.5
2016,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,33.2
2022,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,43.5
2021,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,36.7
2020,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,36.2
2023,Tasa de mortalidad prematura por exposición a partículas finas por 100.000 habitantes,,Bizkaia,Por 100.000,34.6
