Year,Sex,Units,Value
2018,,PT,33.4
2023,,PT,36.1
2013,,PT,35.6
2013,Female,PT,36.4
2018,Female,PT,30.3
2023,Female,PT,34.3
2023,Male,PT,37.7
2018,Male,PT,34.1
2013,Male,PT,35.0
