Year,Territorio,Units,Value
2022,,PT,3.7
2012,,PT,0.9
2021,,PT,4.8
2016,,PT,1.2
2017,,PT,0.8
2013,,PT,0.6
2014,,PT,0.9
2011,,PT,1.5
2023,,PT,1.0
2020,,PT,-7.8
2010,,PT,1.6
2018,,PT,0.9
2019,,PT,1.1
2024,,PT,1.3
2015,,PT,0.9
2013,ES211,PT,0.7
2010,ES211,PT,1.5
2017,ES211,PT,-0.2
2014,ES211,PT,2.5
2018,ES211,PT,0.0
2020,ES211,PT,-8.5
2021,ES211,PT,6.1
2011,ES211,PT,2.4
2024,ES211,PT,0.9
2015,ES211,PT,1.5
2022,ES211,PT,1.8
2023,ES211,PT,1.2
2019,ES211,PT,0.9
2012,ES211,PT,0.8
2016,ES211,PT,0.8
2011,ES213,PT,1.4
2013,ES213,PT,1.0
2014,ES213,PT,0.7
2015,ES213,PT,0.4
2017,ES213,PT,1.3
2018,ES213,PT,0.8
2019,ES213,PT,0.8
2021,ES213,PT,4.3
2022,ES213,PT,5.1
2023,ES213,PT,0.7
2024,ES213,PT,1.4
2010,ES213,PT,1.4
2020,ES213,PT,-7.0
2016,ES213,PT,1.3
2012,ES213,PT,0.7
2024,ES212,PT,1.3
2010,ES212,PT,1.8
2011,ES212,PT,1.0
2012,ES212,PT,1.3
2013,ES212,PT,-0.1
2014,ES212,PT,0.4
2015,ES212,PT,1.2
2016,ES212,PT,1.3
2017,ES212,PT,0.5
2018,ES212,PT,1.4
2019,ES212,PT,1.7
2020,ES212,PT,-8.6
2021,ES212,PT,4.9
2022,ES212,PT,2.5
2023,ES212,PT,1.3
