Year,Series,Units,Value
2012,AG_PRD_FIESMS,PT,7.7
2020,AG_PRD_FIESMS,PT,3.7
2014,AG_PRD_FIESMS,PT,7.5
2018,AG_PRD_FIESMS,PT,3.9
2004,AG_PRD_FIESMS,PT,5.2
2008,AG_PRD_FIESMS,PT,5.7
2022,AG_PRD_FIESMS,PT,3.0
2016,AG_PRD_FIESMS,PT,6.6
2024,AG_PRD_FIESMS,PT,7.9
2000,AG_PRD_FIESMS,PT,3.5
2004,AG_PRD_FIESS,PT,2.7
2000,AG_PRD_FIESS,PT,1.1
2008,AG_PRD_FIESS,PT,2.1
2014,AG_PRD_FIESS,PT,2.9
2012,AG_PRD_FIESS,PT,3.1
2016,AG_PRD_FIESS,PT,3.1
2018,AG_PRD_FIESS,PT,1.8
2020,AG_PRD_FIESS,PT,1.8
2022,AG_PRD_FIESS,PT,1.1
2024,AG_PRD_FIESS,PT,2.6
