Year,Dimensión de la pobreza,Sexo,Units,Value
2014,,,%,22.7
2020,,,%,19.9
2008,,,%,17.9
2018,,,%,20.7
2004,,,%,19.6
2022,,,%,19.5
2012,,,%,19.9
2016,,,%,20.6
2004,Riesgo de pobreza (monetaria),,%,16.5
2022,Riesgo de pobreza (monetaria),,%,16.5
2014,Riesgo de pobreza (monetaria),,%,18.5
2008,Riesgo de pobreza (monetaria),,%,14.8
2016,Riesgo de pobreza (monetaria),,%,16.4
2018,Riesgo de pobreza (monetaria),,%,17.7
2012,Riesgo de pobreza (monetaria),,%,15.4
2020,Riesgo de pobreza (monetaria),,%,17.8
2008,Carencia material y social severa,,%,2.7
2018,Carencia material y social severa,,%,5.6
2014,Carencia material y social severa,,%,5.2
2012,Carencia material y social severa,,%,5.8
2004,Carencia material y social severa,,%,3.6
2022,Carencia material y social severa,,%,4.7
2020,Carencia material y social severa,,%,4.1
2016,Carencia material y social severa,,%,6.4
2012,Baja intensidad de trabajo,,%,9.9
2020,Baja intensidad de trabajo,,%,7.6
2018,Baja intensidad de trabajo,,%,9.1
2014,Baja intensidad de trabajo,,%,12.0
2004,Baja intensidad de trabajo,,%,6.4
2008,Baja intensidad de trabajo,,%,5.6
2022,Baja intensidad de trabajo,,%,7.8
2016,Baja intensidad de trabajo,,%,10.2
2012,,Mujer,%,21.0
2020,,Mujer,%,21.0
2018,,Mujer,%,21.7
2004,,Mujer,%,22.0
2014,,Mujer,%,23.3
2008,,Mujer,%,20.3
2016,,Mujer,%,21.5
2022,,Mujer,%,20.5
2016,Riesgo de pobreza (monetaria),Mujer,%,17.6
2004,Riesgo de pobreza (monetaria),Mujer,%,18.6
2012,Riesgo de pobreza (monetaria),Mujer,%,16.7
2018,Riesgo de pobreza (monetaria),Mujer,%,18.8
2014,Riesgo de pobreza (monetaria),Mujer,%,19.4
2022,Riesgo de pobreza (monetaria),Mujer,%,17.7
2020,Riesgo de pobreza (monetaria),Mujer,%,18.9
2008,Riesgo de pobreza (monetaria),Mujer,%,16.6
2022,Carencia material y social severa,Mujer,%,4.7
2020,Carencia material y social severa,Mujer,%,4.3
2018,Carencia material y social severa,Mujer,%,5.7
2016,Carencia material y social severa,Mujer,%,6.5
2014,Carencia material y social severa,Mujer,%,5.2
2012,Carencia material y social severa,Mujer,%,5.6
2008,Carencia material y social severa,Mujer,%,3.0
2004,Carencia material y social severa,Mujer,%,3.8
2022,Baja intensidad de trabajo,Mujer,%,8.1
2014,Baja intensidad de trabajo,Mujer,%,11.9
2008,Baja intensidad de trabajo,Mujer,%,6.4
2004,Baja intensidad de trabajo,Mujer,%,7.3
2012,Baja intensidad de trabajo,Mujer,%,9.9
2016,Baja intensidad de trabajo,Mujer,%,10.3
2020,Baja intensidad de trabajo,Mujer,%,7.6
2018,Baja intensidad de trabajo,Mujer,%,9.6
2018,,Hombre,%,19.6
2008,,Hombre,%,15.4
2020,,Hombre,%,18.8
2004,,Hombre,%,17.0
2016,,Hombre,%,19.6
2012,,Hombre,%,18.8
2014,,Hombre,%,22.0
2022,,Hombre,%,18.3
2018,Riesgo de pobreza (monetaria),Hombre,%,16.5
2022,Riesgo de pobreza (monetaria),Hombre,%,15.2
2020,Riesgo de pobreza (monetaria),Hombre,%,16.6
2014,Riesgo de pobreza (monetaria),Hombre,%,17.6
2008,Riesgo de pobreza (monetaria),Hombre,%,12.9
2012,Riesgo de pobreza (monetaria),Hombre,%,14.0
2016,Riesgo de pobreza (monetaria),Hombre,%,15.1
2004,Riesgo de pobreza (monetaria),Hombre,%,14.3
2008,Carencia material y social severa,Hombre,%,2.5
2004,Carencia material y social severa,Hombre,%,3.3
2022,Carencia material y social severa,Hombre,%,4.7
2020,Carencia material y social severa,Hombre,%,4.0
2018,Carencia material y social severa,Hombre,%,5.4
2016,Carencia material y social severa,Hombre,%,6.3
2014,Carencia material y social severa,Hombre,%,5.3
2012,Carencia material y social severa,Hombre,%,6.0
2022,Baja intensidad de trabajo,Hombre,%,7.4
2020,Baja intensidad de trabajo,Hombre,%,7.7
2018,Baja intensidad de trabajo,Hombre,%,8.5
2016,Baja intensidad de trabajo,Hombre,%,10.1
2014,Baja intensidad de trabajo,Hombre,%,12.1
2012,Baja intensidad de trabajo,Hombre,%,9.9
2008,Baja intensidad de trabajo,Hombre,%,4.8
2004,Baja intensidad de trabajo,Hombre,%,5.6
