Year,Units,Value
2010,PT,7.8
2011,PT,9.7
2012,PT,10.8
2013,PT,7.1
2014,PT,7.4
2015,PT,8.4
2016,PT,6.5
2017,PT,7.2
2018,PT,6.3
2019,PT,7.8
2020,PT,7.6
2021,PT,7.6
2022,PT,8.7
2023,PT,7.3
2024,PT,6.8
