Year,Sexo,Units,Value
2021,,Porcentaje,99.2
2016,,Porcentaje,98.7
2016,Mujer,Porcentaje,99.1
2021,Mujer,Porcentaje,98.9
2021,Hombre,Porcentaje,99.6
2016,Hombre,Porcentaje,98.2
