Year,Series,Units,Value
2017,SG_REG_CENSUSN,BOOL_YES_NO,1
2018,SG_REG_CENSUSN,BOOL_YES_NO,1
2019,SG_REG_CENSUSN,BOOL_YES_NO,1
2012,SG_REG_CENSUSN,BOOL_YES_NO,1
2020,SG_REG_CENSUSN,BOOL_YES_NO,1
2014,SG_REG_CENSUSN,BOOL_YES_NO,1
2016,SG_REG_CENSUSN,BOOL_YES_NO,1
2022,SG_REG_CENSUSN,BOOL_YES_NO,1
2015,SG_REG_CENSUSN,BOOL_YES_NO,1
2021,SG_REG_CENSUSN,BOOL_YES_NO,1
2010,SG_REG_CENSUSN,BOOL_YES_NO,1
2013,SG_REG_CENSUSN,BOOL_YES_NO,1
2011,SG_REG_CENSUSN,BOOL_YES_NO,1
2023,SG_REG_CENSUSN,BOOL_YES_NO,1
2020,SG_REG_BRTH100N,BOOL_YES_NO,1
2017,SG_REG_BRTH100N,BOOL_YES_NO,1
2011,SG_REG_BRTH100N,BOOL_YES_NO,1
2010,SG_REG_BRTH100N,BOOL_YES_NO,1
2015,SG_REG_BRTH100N,BOOL_YES_NO,1
2022,SG_REG_BRTH100N,BOOL_YES_NO,1
2016,SG_REG_BRTH100N,BOOL_YES_NO,1
2018,SG_REG_BRTH100N,BOOL_YES_NO,1
2013,SG_REG_BRTH100N,BOOL_YES_NO,1
2012,SG_REG_BRTH100N,BOOL_YES_NO,1
2021,SG_REG_BRTH100N,BOOL_YES_NO,1
2019,SG_REG_BRTH100N,BOOL_YES_NO,1
2023,SG_REG_BRTH100N,BOOL_YES_NO,1
2014,SG_REG_BRTH100N,BOOL_YES_NO,1
