Year,Units,Value
2010,Index,-17.17
2011,Index,-25.87
2012,Index,-21.6
2013,Index,-28.55
2014,Index,-29.25
2015,Index,-27.83
2016,Index,-27.99
2017,Index,-24.71
2018,Index,-26.91
2019,Index,-23.13
2020,Index,-32.28
2021,Index,-26.72
2022,Index,-21.55
2023,Index,-32.46
