Year,Series,Province,County,Municipality,Units,GeoCode,Value
2010,Proportion of households with running water,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.8
2021,Proportion of households with running water,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.7
2013,Proportion of households with a toilet,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.2
2019,Proportion of households with a toilet,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.1
2023,Proportion of households with running water,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.7
2015,Proportion of households with a toilet,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.1
2022,Proportion of households with running water,,,Abanto y Ciérvana-Abanto Zierbena,%,Abanto y Ciérvana-Abanto Zierbena,99.7
2015,Proportion of households with a toilet,,,Aduna,%,Aduna,97.2
2016,Proportion of households with a toilet,,,Aduna,%,Aduna,97.2
2018,Proportion of households with a toilet,,,Aduna,%,Aduna,97.1
2014,Proportion of households with running water,,,Aduna,%,Aduna,100.0
2020,Proportion of households with a toilet,,,Aduna,%,Aduna,96.5
2023,Proportion of households with a toilet,,,Aduna,%,Aduna,96.7
2023,Proportion of households with running water,,,Aduna,%,Aduna,100.0
2019,Proportion of households with running water,,,Aduna,%,Aduna,100.0
2022,Proportion of households with a toilet,,,Aduna,%,Aduna,96.6
2016,Proportion of households with running water,,,Aduna,%,Aduna,100.0
2010,Proportion of households with running water,,,Aduna,%,Aduna,100.0
2010,Proportion of households with a toilet,,,Aduna,%,Aduna,96.9
2013,Proportion of households with running water,,,Aduna,%,Aduna,100.0
2013,Proportion of households with a toilet,,,Aduna,%,Aduna,97.1
2019,Proportion of households with a toilet,,,Aduna,%,Aduna,96.4
2021,Proportion of households with running water,,,Aduna,%,Aduna,100.0
2022,Proportion of households with running water,,,Aduna,%,Aduna,100.0
2021,Proportion of households with a toilet,,,Aduna,%,Aduna,96.6
2020,Proportion of households with running water,,,Aduna,%,Aduna,100.0
2018,Proportion of households with running water,,,Aduna,%,Aduna,100.0
2015,Proportion of households with running water,,,Aduna,%,Aduna,100.0
2014,Proportion of households with a toilet,,,Aduna,%,Aduna,97.1
2016,Proportion of households with a toilet,,,Agurain/Salvatierra,%,Agurain/Salvatierra,99.9
2015,Proportion of households with a toilet,,,Agurain/Salvatierra,%,Agurain/Salvatierra,99.9
2013,Proportion of households with running water,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2013,Proportion of households with a toilet,,,Agurain/Salvatierra,%,Agurain/Salvatierra,99.8
2018,Proportion of households with a toilet,,,Agurain/Salvatierra,%,Agurain/Salvatierra,99.9
2010,Proportion of households with running water,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2022,Proportion of households with a toilet,,,Agurain/Salvatierra,%,Agurain/Salvatierra,99.9
2018,Proportion of households with running water,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2015,Proportion of households with running water,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2021,Proportion of households with running water,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2020,Proportion of households with running water,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
2022,Proportion of households with running water,,,Agurain/Salvatierra,%,Agurain/Salvatierra,100.0
