Year,Units,Value
2015,"Per 100,000",3.9
2016,"Per 100,000",3.0
2017,"Per 100,000",3.3
2018,"Per 100,000",4.5
2019,"Per 100,000",5.1
2020,"Per 100,000",6.6
2021,"Per 100,000",30.9
2022,"Per 100,000",56.8
