Year,Series,Territorio,Comarca,Municipio,Units,GeoCode,Value
2020,AG_LND_FRST,,,ES20906,PT,ES20906,61.1
2021,AG_LND_FRST,,,ES20906,PT,ES20906,61.8
2010,AG_LND_FRST,,,ES20906,PT,ES20906,60.4
2016,AG_LND_FRST,,,ES20906,PT,ES20906,62.6
2022,AG_LND_FRST,,,ES20906,PT,ES20906,61.8
2020,AG_LND_FRST,,,ES20007,PT,ES20007,65.6
2018,AG_LND_FRST,,,ES20007,PT,ES20007,65.2
2021,AG_LND_FRST,,,ES20007,PT,ES20007,65.7
2016,AG_LND_FRST,,,ES20007,PT,ES20007,68.7
2010,AG_LND_FRST,,,ES20007,PT,ES20007,69.1
2022,AG_LND_FRST,,,ES20007,PT,ES20007,65.8
2019,AG_LND_FRST,,,ES20007,PT,ES20007,65.6
2022,AG_LND_FRST,,,ES20008,PT,ES20008,61.4
2016,AG_LND_FRST,,,ES20008,PT,ES20008,62.8
2018,AG_LND_FRST,,,ES20008,PT,ES20008,60.7
2010,AG_LND_FRST,,,ES20008,PT,ES20008,62.9
2021,AG_LND_FRST,,,ES20008,PT,ES20008,61.0
2019,AG_LND_FRST,,,ES20008,PT,ES20008,61.1
2020,AG_LND_FRST,,,ES20008,PT,ES20008,61.1
2010,AG_LND_FRST,,,ES48003,PT,ES48003,64.4
2021,AG_LND_FRST,,,ES48003,PT,ES48003,62.8
2018,AG_LND_FRST,,,ES48003,PT,ES48003,61.8
2016,AG_LND_FRST,,,ES48003,PT,ES48003,63.7
2020,AG_LND_FRST,,,ES48003,PT,ES48003,62.3
2019,AG_LND_FRST,,,ES48003,PT,ES48003,61.8
2022,AG_LND_FRST,,,ES48003,PT,ES48003,62.8
2010,AG_LND_FRST,,,ES48004,PT,ES48004,83.3
2020,AG_LND_FRST,,,ES48004,PT,ES48004,82.8
2018,AG_LND_FRST,,,ES48004,PT,ES48004,82.3
2022,AG_LND_FRST,,,ES48004,PT,ES48004,83.6
2016,AG_LND_FRST,,,ES48004,PT,ES48004,82.9
2019,AG_LND_FRST,,,ES48004,PT,ES48004,82.2
2021,AG_LND_FRST,,,ES48004,PT,ES48004,83.6
2021,AG_LND_FRST,,,ES01002,PT,ES01002,59.0
2016,AG_LND_FRST,,,ES01002,PT,ES01002,58.0
2018,AG_LND_FRST,,,ES01002,PT,ES01002,58.0
2020,AG_LND_FRST,,,ES01002,PT,ES01002,59.0
2019,AG_LND_FRST,,,ES01002,PT,ES01002,58.4
2022,AG_LND_FRST,,,ES01002,PT,ES01002,59.1
2010,AG_LND_FRST,,,ES01002,PT,ES01002,57.8
2018,AG_LND_FRST,,,ES20009,PT,ES20009,57.0
2019,AG_LND_FRST,,,ES20009,PT,ES20009,57.0
2022,AG_LND_FRST,,,ES20009,PT,ES20009,57.4
2016,AG_LND_FRST,,,ES20009,PT,ES20009,58.0
2010,AG_LND_FRST,,,ES20009,PT,ES20009,57.5
2020,AG_LND_FRST,,,ES20009,PT,ES20009,57.0
2021,AG_LND_FRST,,,ES20009,PT,ES20009,57.4
2021,AG_LND_FRST,,,ES20010,PT,ES20010,50.5
2016,AG_LND_FRST,,,ES20010,PT,ES20010,52.0
2019,AG_LND_FRST,,,ES20010,PT,ES20010,50.5
2020,AG_LND_FRST,,,ES20010,PT,ES20010,50.5
2022,AG_LND_FRST,,,ES20010,PT,ES20010,50.5
2010,AG_LND_FRST,,,ES20010,PT,ES20010,53.7
2018,AG_LND_FRST,,,ES20010,PT,ES20010,50.5
2021,AG_LND_FRST,,,ES20011,PT,ES20011,75.1
2018,AG_LND_FRST,,,ES20011,PT,ES20011,75.0
2019,AG_LND_FRST,,,ES20011,PT,ES20011,75.0
2022,AG_LND_FRST,,,ES20011,PT,ES20011,75.1
2010,AG_LND_FRST,,,ES20011,PT,ES20011,80.6
2020,AG_LND_FRST,,,ES20011,PT,ES20011,75.0
2016,AG_LND_FRST,,,ES20011,PT,ES20011,77.7
2010,AG_LND_FRST,,,ES01049,PT,ES01049,43.2
2019,AG_LND_FRST,,,ES01049,PT,ES01049,46.2
2022,AG_LND_FRST,,,ES01049,PT,ES01049,46.3
2018,AG_LND_FRST,,,ES01049,PT,ES01049,45.7
2021,AG_LND_FRST,,,ES01049,PT,ES01049,46.2
2016,AG_LND_FRST,,,ES01049,PT,ES01049,45.7
2020,AG_LND_FRST,,,ES01049,PT,ES01049,46.2
2020,AG_LND_FRST,,,ES48005,PT,ES48005,74.9
2019,AG_LND_FRST,,,ES48005,PT,ES48005,74.9
2022,AG_LND_FRST,,,ES48005,PT,ES48005,75.0
2016,AG_LND_FRST,,,ES48005,PT,ES48005,75.8
2021,AG_LND_FRST,,,ES48005,PT,ES48005,74.9
2018,AG_LND_FRST,,,ES48005,PT,ES48005,74.9
2010,AG_LND_FRST,,,ES48005,PT,ES48005,79.6
2021,AG_LND_FRST,,,ES20012,PT,ES20012,51.4
2020,AG_LND_FRST,,,ES20012,PT,ES20012,51.4
2018,AG_LND_FRST,,,ES20012,PT,ES20012,51.3
2019,AG_LND_FRST,,,ES20012,PT,ES20012,51.4
2010,AG_LND_FRST,,,ES20012,PT,ES20012,60.0
2022,AG_LND_FRST,,,ES20012,PT,ES20012,51.5
2016,AG_LND_FRST,,,ES20012,PT,ES20012,54.7
2022,AG_LND_FRST,,,ES01003,PT,ES01003,78.9
2018,AG_LND_FRST,,,ES01003,PT,ES01003,78.5
2019,AG_LND_FRST,,,ES01003,PT,ES01003,78.6
2010,AG_LND_FRST,,,ES01003,PT,ES01003,77.7
2016,AG_LND_FRST,,,ES01003,PT,ES01003,78.9
2020,AG_LND_FRST,,,ES01003,PT,ES01003,78.7
2021,AG_LND_FRST,,,ES01003,PT,ES01003,78.8
2018,AG_LND_FRST,,,ES48006,PT,ES48006,58.3
2021,AG_LND_FRST,,,ES48006,PT,ES48006,61.0
2020,AG_LND_FRST,,,ES48006,PT,ES48006,60.6
2010,AG_LND_FRST,,,ES48006,PT,ES48006,64.2
2016,AG_LND_FRST,,,ES48006,PT,ES48006,59.9
2022,AG_LND_FRST,,,ES48006,PT,ES48006,61.0
2019,AG_LND_FRST,,,ES48006,PT,ES48006,60.6
2016,AG_LND_FRST,,,ES48093,PT,ES48093,86.2
2019,AG_LND_FRST,,,ES48093,PT,ES48093,83.6
2021,AG_LND_FRST,,,ES48093,PT,ES48093,86.3
2010,AG_LND_FRST,,,ES48093,PT,ES48093,89.6
2020,AG_LND_FRST,,,ES48093,PT,ES48093,85.4
2022,AG_LND_FRST,,,ES48093,PT,ES48093,86.3
2018,AG_LND_FRST,,,ES48093,PT,ES48093,83.2
2021,AG_LND_FRST,,,ES20013,PT,ES20013,55.6
2010,AG_LND_FRST,,,ES20013,PT,ES20013,51.2
2016,AG_LND_FRST,,,ES20013,PT,ES20013,55.8
2022,AG_LND_FRST,,,ES20013,PT,ES20013,55.6
2018,AG_LND_FRST,,,ES20013,PT,ES20013,54.8
2020,AG_LND_FRST,,,ES20013,PT,ES20013,55.6
2019,AG_LND_FRST,,,ES20013,PT,ES20013,55.5
2021,AG_LND_FRST,,,ES01006,PT,ES01006,6.6
2020,AG_LND_FRST,,,ES01006,PT,ES01006,6.6
2010,AG_LND_FRST,,,ES01006,PT,ES01006,8.4
2022,AG_LND_FRST,,,ES01006,PT,ES01006,6.6
2016,AG_LND_FRST,,,ES01006,PT,ES01006,6.6
2019,AG_LND_FRST,,,ES01006,PT,ES01006,6.6
2018,AG_LND_FRST,,,ES01006,PT,ES01006,6.6
2021,AG_LND_FRST,,,ES01037,PT,ES01037,62.6
2020,AG_LND_FRST,,,ES01037,PT,ES01037,62.5
2019,AG_LND_FRST,,,ES01037,PT,ES01037,62.1
2016,AG_LND_FRST,,,ES01037,PT,ES01037,62.1
2022,AG_LND_FRST,,,ES01037,PT,ES01037,62.6
2010,AG_LND_FRST,,,ES01037,PT,ES01037,61.8
2018,AG_LND_FRST,,,ES01037,PT,ES01037,62.1
2016,AG_LND_FRST,,,ES48009,PT,ES48009,73.3
2019,AG_LND_FRST,,,ES48009,PT,ES48009,72.5
2018,AG_LND_FRST,,,ES48009,PT,ES48009,72.6
2010,AG_LND_FRST,,,ES48009,PT,ES48009,73.4
2022,AG_LND_FRST,,,ES48009,PT,ES48009,73.6
2021,AG_LND_FRST,,,ES48009,PT,ES48009,73.4
2020,AG_LND_FRST,,,ES48009,PT,ES48009,73.0
2016,AG_LND_FRST,,,ES20055,PT,ES20055,65.5
2022,AG_LND_FRST,,,ES20055,PT,ES20055,64.0
2018,AG_LND_FRST,,,ES20055,PT,ES20055,63.5
2020,AG_LND_FRST,,,ES20055,PT,ES20055,64.0
2021,AG_LND_FRST,,,ES20055,PT,ES20055,64.0
2010,AG_LND_FRST,,,ES20055,PT,ES20055,64.6
2019,AG_LND_FRST,,,ES20055,PT,ES20055,64.0
2016,AG_LND_FRST,,,ES48914,PT,ES48914,71.1
2010,AG_LND_FRST,,,ES48914,PT,ES48914,70.9
