Year,Sexo,Territorio,Units,Value
2014,F,ES212,PER_1000_LIVE_BIRTHS,2.88
2013,F,ES212,PER_1000_LIVE_BIRTHS,2.61
2012,F,ES212,PER_1000_LIVE_BIRTHS,3.7
2011,F,ES212,PER_1000_LIVE_BIRTHS,2.91
2010,F,ES212,PER_1000_LIVE_BIRTHS,3.66
2021,M,,PER_1000_LIVE_BIRTHS,3.1
2023,M,,PER_1000_LIVE_BIRTHS,3.19
2019,M,,PER_1000_LIVE_BIRTHS,3.8
2013,M,,PER_1000_LIVE_BIRTHS,2.95
2020,M,,PER_1000_LIVE_BIRTHS,3.27
2016,M,,PER_1000_LIVE_BIRTHS,3.43
2015,M,,PER_1000_LIVE_BIRTHS,3.49
2010,M,,PER_1000_LIVE_BIRTHS,3.24
2018,M,,PER_1000_LIVE_BIRTHS,3.52
2017,M,,PER_1000_LIVE_BIRTHS,3.29
2012,M,,PER_1000_LIVE_BIRTHS,2.8
2022,M,,PER_1000_LIVE_BIRTHS,4.7
2014,M,,PER_1000_LIVE_BIRTHS,2.94
2011,M,,PER_1000_LIVE_BIRTHS,2.51
2021,M,ES211,PER_1000_LIVE_BIRTHS,4.05
2022,M,ES211,PER_1000_LIVE_BIRTHS,6.8
2012,M,ES211,PER_1000_LIVE_BIRTHS,2.3
2015,M,ES211,PER_1000_LIVE_BIRTHS,3.67
2013,M,ES211,PER_1000_LIVE_BIRTHS,4.33
2020,M,ES211,PER_1000_LIVE_BIRTHS,4.85
2011,M,ES211,PER_1000_LIVE_BIRTHS,2.29
2018,M,ES211,PER_1000_LIVE_BIRTHS,5.77
2016,M,ES211,PER_1000_LIVE_BIRTHS,3.88
2014,M,ES211,PER_1000_LIVE_BIRTHS,3.58
2010,M,ES211,PER_1000_LIVE_BIRTHS,3.45
2023,M,ES211,PER_1000_LIVE_BIRTHS,6.85
2017,M,ES211,PER_1000_LIVE_BIRTHS,3.34
2019,M,ES211,PER_1000_LIVE_BIRTHS,2.29
2023,M,ES213,PER_1000_LIVE_BIRTHS,3.22
2022,M,ES213,PER_1000_LIVE_BIRTHS,4.31
2021,M,ES213,PER_1000_LIVE_BIRTHS,2.76
2020,M,ES213,PER_1000_LIVE_BIRTHS,2.88
2019,M,ES213,PER_1000_LIVE_BIRTHS,3.76
2018,M,ES213,PER_1000_LIVE_BIRTHS,3.22
2016,M,ES213,PER_1000_LIVE_BIRTHS,3.83
2017,M,ES213,PER_1000_LIVE_BIRTHS,3.17
