Year,Sexo,Units,Value
2022,,PER_100000,21.2
2018,,PER_100000,16.0
2016,,PER_100000,14.3
2021,,PER_100000,18.2
2020,,PER_100000,15.9
2017,,PER_100000,15.8
2015,,PER_100000,6.5
2023,,PER_100000,30.0
2019,,PER_100000,17.5
2016,F,PER_100000,19.5
2017,F,PER_100000,20.4
2015,F,PER_100000,9.2
2018,F,PER_100000,19.7
2019,F,PER_100000,22.0
2021,F,PER_100000,24.9
2020,F,PER_100000,21.0
2022,F,PER_100000,27.2
2023,F,PER_100000,39.3
2018,M,PER_100000,12.1
2016,M,PER_100000,8.9
2015,M,PER_100000,3.7
2022,M,PER_100000,14.8
2023,M,PER_100000,20.1
2019,M,PER_100000,12.8
2020,M,PER_100000,10.6
2017,M,PER_100000,10.9
2021,M,PER_100000,11.2
