Year,Territorio,Units,Value
2020,,PT,25.8
2015,,PT,24.3
2018,,PT,25.4
2016,,PT,24.5
2013,,PT,24.1
2014,,PT,24.6
2010,,PT,24.2
2019,,PT,25.2
2012,,PT,23.6
2021,,PT,27.2
2017,,PT,26.7
2011,,PT,23.6
2021,ES211,PT,25.5
2010,ES211,PT,24.7
2012,ES211,PT,24.4
2016,ES211,PT,23.0
2011,ES211,PT,22.9
2019,ES211,PT,23.7
2013,ES211,PT,22.2
2018,ES211,PT,23.9
2017,ES211,PT,25.0
2014,ES211,PT,22.3
2020,ES211,PT,24.3
2015,ES211,PT,22.6
2010,ES213,PT,23.6
2017,ES213,PT,24.3
2019,ES213,PT,24.0
2020,ES213,PT,24.0
2021,ES213,PT,24.6
2011,ES213,PT,23.5
2012,ES213,PT,22.1
2013,ES213,PT,22.8
2014,ES213,PT,24.1
2015,ES213,PT,22.8
2018,ES213,PT,24.2
2016,ES213,PT,23.4
2018,ES212,PT,23.2
2019,ES212,PT,22.8
2020,ES212,PT,23.2
2021,ES212,PT,24.7
2010,ES212,PT,22.0
2011,ES212,PT,20.9
2012,ES212,PT,20.8
2013,ES212,PT,22.3
2014,ES212,PT,22.5
2015,ES212,PT,22.5
2016,ES212,PT,22.4
2017,ES212,PT,23.8
