Year,Units,Value
2012,Porcentaje,26.2
2014,Porcentaje,27.2
2015,Porcentaje,27.3
2016,Porcentaje,27.0
2017,Porcentaje,26.8
2018,Porcentaje,27.1
2019,Porcentaje,27.7
2020,Porcentaje,27.4
2021,Porcentaje,26.7
2022,Porcentaje,26.0
