Year,Series,Territorio,Units,Value
2016,EU_GPI_TRN,,RO,1.0
2011,EU_GPI_TRN,,RO,1.17
2022,EU_GPI_TRN,,RO,1.07
2016,EU_SESPI,,RO,0.6
2011,EU_SESPI,,RO,0.64
2022,EU_SESPI,,RO,0.6
2024,EU_RUPI_TRN,,RO,0.97
2015,EU_RUPI_TRN,,RO,0.91
2023,EU_RUPI_TRN,,RO,1.02
2016,EU_RUPI_TRN,,RO,0.94
2021,EU_RUPI_TRN,,RO,1.02
2017,EU_RUPI_TRN,,RO,0.92
2018,EU_RUPI_TRN,,RO,0.88
2019,EU_RUPI_TRN,,RO,0.9
2022,EU_RUPI_TRN,,RO,1.01
2020,EU_RUPI_TRN,,RO,0.99
2012,EU_RUPI_TRN,,RO,0.98
2013,EU_RUPI_TRN,,RO,0.93
2010,EU_RUPI_TRN,,RO,0.99
2011,EU_RUPI_TRN,,RO,0.96
2014,EU_RUPI_TRN,,RO,0.91
2011,EU_RUPI_TRN,ES211,RO,0.68
2019,EU_RUPI_TRN,ES211,RO,0.96
2020,EU_RUPI_TRN,ES211,RO,0.85
2024,EU_RUPI_TRN,ES211,RO,0.9
2021,EU_RUPI_TRN,ES211,RO,0.91
2017,EU_RUPI_TRN,ES211,RO,0.84
2013,EU_RUPI_TRN,ES211,RO,0.77
2010,EU_RUPI_TRN,ES211,RO,0.43
2014,EU_RUPI_TRN,ES211,RO,0.7
2023,EU_RUPI_TRN,ES211,RO,0.89
2016,EU_RUPI_TRN,ES211,RO,0.93
2022,EU_RUPI_TRN,ES211,RO,0.85
2018,EU_RUPI_TRN,ES211,RO,1.03
2015,EU_RUPI_TRN,ES211,RO,0.96
2012,EU_RUPI_TRN,ES211,RO,0.8
2019,EU_RUPI_TRN,ES213,RO,0.89
2020,EU_RUPI_TRN,ES213,RO,1.05
2021,EU_RUPI_TRN,ES213,RO,1.05
2024,EU_RUPI_TRN,ES213,RO,0.94
2018,EU_RUPI_TRN,ES213,RO,0.86
2012,EU_RUPI_TRN,ES213,RO,0.98
2010,EU_RUPI_TRN,ES213,RO,1.14
2014,EU_RUPI_TRN,ES213,RO,0.99
2017,EU_RUPI_TRN,ES213,RO,0.95
2011,EU_RUPI_TRN,ES213,RO,1.05
2023,EU_RUPI_TRN,ES213,RO,0.99
2022,EU_RUPI_TRN,ES213,RO,0.99
2013,EU_RUPI_TRN,ES213,RO,0.93
2016,EU_RUPI_TRN,ES213,RO,0.9
2015,EU_RUPI_TRN,ES213,RO,0.88
2021,EU_RUPI_TRN,ES212,RO,1.03
2010,EU_RUPI_TRN,ES212,RO,0.95
2011,EU_RUPI_TRN,ES212,RO,0.91
2012,EU_RUPI_TRN,ES212,RO,1.0
2024,EU_RUPI_TRN,ES212,RO,1.04
2014,EU_RUPI_TRN,ES212,RO,0.9
2015,EU_RUPI_TRN,ES212,RO,0.91
2017,EU_RUPI_TRN,ES212,RO,0.92
2016,EU_RUPI_TRN,ES212,RO,0.99
2018,EU_RUPI_TRN,ES212,RO,0.86
2019,EU_RUPI_TRN,ES212,RO,0.91
2020,EU_RUPI_TRN,ES212,RO,0.94
2013,EU_RUPI_TRN,ES212,RO,1.01
2023,EU_RUPI_TRN,ES212,RO,1.1
2022,EU_RUPI_TRN,ES212,RO,1.11
2022,EU_PI_HEALTH,,RO,0.7
2016,EU_PI_HEALTH,,RO,0.66
