Year,Series,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2010,Superficie forestal en proporción a la superficie total,,,,Porcentaje,,54.9
2022,Superficie forestal en proporción a la superficie total,,,,Porcentaje,,54.8
2020,Superficie forestal en proporción a la superficie total,,,,Porcentaje,,54.7
2018,Superficie forestal en proporción a la superficie total,,,,Porcentaje,,54.2
2019,Superficie forestal en proporción a la superficie total,,,,Porcentaje,,54.5
2021,Superficie forestal en proporción a la superficie total,,,,Porcentaje,,54.8
2016,Superficie forestal en proporción a la superficie total,,,,Porcentaje,,54.9
2021,Superficie forestal en proporción a la superficie total,,,Abadiño,Porcentaje,Abadiño,53.3
2022,Superficie forestal en proporción a la superficie total,,,Abadiño,Porcentaje,Abadiño,53.4
2020,Superficie forestal en proporción a la superficie total,,,Abadiño,Porcentaje,Abadiño,53.3
2018,Superficie forestal en proporción a la superficie total,,,Abadiño,Porcentaje,Abadiño,52.5
2019,Superficie forestal en proporción a la superficie total,,,Abadiño,Porcentaje,Abadiño,52.8
2016,Superficie forestal en proporción a la superficie total,,,Abadiño,Porcentaje,Abadiño,53.5
2010,Superficie forestal en proporción a la superficie total,,,Abadiño,Porcentaje,Abadiño,53.3
2019,Superficie forestal en proporción a la superficie total,,,Abaltzisketa,Porcentaje,Abaltzisketa,50.4
2018,Superficie forestal en proporción a la superficie total,,,Abaltzisketa,Porcentaje,Abaltzisketa,50.4
2016,Superficie forestal en proporción a la superficie total,,,Abaltzisketa,Porcentaje,Abaltzisketa,52.5
2010,Superficie forestal en proporción a la superficie total,,,Abaltzisketa,Porcentaje,Abaltzisketa,53.5
2022,Superficie forestal en proporción a la superficie total,,,Abaltzisketa,Porcentaje,Abaltzisketa,50.4
2020,Superficie forestal en proporción a la superficie total,,,Abaltzisketa,Porcentaje,Abaltzisketa,50.4
2021,Superficie forestal en proporción a la superficie total,,,Abaltzisketa,Porcentaje,Abaltzisketa,50.4
2022,Superficie forestal en proporción a la superficie total,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,29.9
2018,Superficie forestal en proporción a la superficie total,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,35.7
2021,Superficie forestal en proporción a la superficie total,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,29.9
2020,Superficie forestal en proporción a la superficie total,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,29.9
2010,Superficie forestal en proporción a la superficie total,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,35.7
2019,Superficie forestal en proporción a la superficie total,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,29.4
2016,Superficie forestal en proporción a la superficie total,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,35.7
2018,Superficie forestal en proporción a la superficie total,,,Aduna,Porcentaje,Aduna,62.3
2020,Superficie forestal en proporción a la superficie total,,,Aduna,Porcentaje,Aduna,62.2
2016,Superficie forestal en proporción a la superficie total,,,Aduna,Porcentaje,Aduna,65.3
2010,Superficie forestal en proporción a la superficie total,,,Aduna,Porcentaje,Aduna,67.0
2019,Superficie forestal en proporción a la superficie total,,,Aduna,Porcentaje,Aduna,62.2
2022,Superficie forestal en proporción a la superficie total,,,Aduna,Porcentaje,Aduna,62.2
2021,Superficie forestal en proporción a la superficie total,,,Aduna,Porcentaje,Aduna,62.2
2018,Superficie forestal en proporción a la superficie total,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,20.4
2016,Superficie forestal en proporción a la superficie total,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,20.4
2019,Superficie forestal en proporción a la superficie total,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,20.4
2020,Superficie forestal en proporción a la superficie total,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,20.4
