Year,Value,Units,Series
2012,67.7,%,Kolon eta ondesteko minbizia
2024,71.0,%,Kolon eta ondesteko minbizia
2019,71.2,%,Kolon eta ondesteko minbizia
2020,70.9,%,Kolon eta ondesteko minbizia
2015,70.3,%,Kolon eta ondesteko minbizia
2014,70.7,%,Kolon eta ondesteko minbizia
2023,69.7,%,Kolon eta ondesteko minbizia
2021,72.0,%,Kolon eta ondesteko minbizia
2018,72.5,%,Kolon eta ondesteko minbizia
2016,72.4,%,Kolon eta ondesteko minbizia
2025,71.7,%,Kolon eta ondesteko minbizia
2017,72.3,%,Kolon eta ondesteko minbizia
2013,69.7,%,Kolon eta ondesteko minbizia
2022,70.5,%,Kolon eta ondesteko minbizia
2017,76.4,%,Bularreko minbizia
2019,76.4,%,Bularreko minbizia
2012,81.8,%,Bularreko minbizia
2021,76.5,%,Bularreko minbizia
2016,79.4,%,Bularreko minbizia
2023,79.3,%,Bularreko minbizia
2014,79.8,%,Bularreko minbizia
2018,76.8,%,Bularreko minbizia
2015,80.8,%,Bularreko minbizia
2024,79.4,%,Bularreko minbizia
2013,80.3,%,Bularreko minbizia
2022,72.8,%,Bularreko minbizia
2020,74.3,%,Bularreko minbizia
