Year,Value,Units,Series
2010,45.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean
2014,49.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean
2023,49.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean
2016,53.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean
2021,50.7,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean
2024,52.0,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean
2017,53.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean
2011,45.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean
2022,50.7,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean
2015,49.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean
2020,50.7,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean
2012,49.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean
2019,53.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean
2025,53.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean
2013,49.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean
2018,53.3,%,Emakumezkoen proportzioa Eusko Legebiltzarreko legebiltzarkideen artean
2022,45.5,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean
2013,50.0,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean
2011,50.0,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean
2025,46.7,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean
2019,63.6,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean
2014,50.0,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean
2018,41.7,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean
2017,41.7,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean
2021,45.5,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean
2020,45.5,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean
2023,45.5,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean
2012,50.0,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean
2016,50.0,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean
2024,46.7,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean
2015,50.0,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean
2010,45.5,%,Emakumezkoen proportzioa Eusko Jaurlaritzako sailburuen artean
2021,54.2,%,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean
2018,48.1,%,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean
2012,48.4,%,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean
2015,48.1,%,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean
2022,54.2,%,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean
2014,48.4,%,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean
2020,54.2,%,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean
2016,48.1,%,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean
2025,44.4,%,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean
2013,48.4,%,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean
2011,48.4,%,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean
2024,48.4,%,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean
2023,48.4,%,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean
2010,41.2,%,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean
2017,48.1,%,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean
2019,54.2,%,Emakumezkoen proportzioa Batzar Nagusietako batzarkideen artean
2023,66.7,%,Emakumezkoen proportzioa Foru Diputatuen artean
2022,51.7,%,Emakumezkoen proportzioa Foru Diputatuen artean
2021,55.2,%,Emakumezkoen proportzioa Foru Diputatuen artean
2019,55.2,%,Emakumezkoen proportzioa Foru Diputatuen artean
2018,50.0,%,Emakumezkoen proportzioa Foru Diputatuen artean
2017,50.0,%,Emakumezkoen proportzioa Foru Diputatuen artean
2015,50.0,%,Emakumezkoen proportzioa Foru Diputatuen artean
2014,42.3,%,Emakumezkoen proportzioa Foru Diputatuen artean
2013,42.3,%,Emakumezkoen proportzioa Foru Diputatuen artean
